Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.907s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	6.85	2.72	0.00	3.09	0.00	0.86	0.81	0.00	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.94	0.00	0.00	0.00
3.00	6.90	0.00	0.00	0.06	0.38	0.00	0.38	0.00	0.31	0.00	0.00	0.00	2.19	0.00	0.00	3.03	0.00	0.00	0.00	0.00	2.43	0.69	0.00	0.00
4.00	6.90	1.52	0.00	0.00	0.99	3.79	0.46	0.00	3.18	0.00	0.00	0.14	2.30	0.00	0.00	2.00	0.28	0.64	0.24	0.47	2.19	0.40	0.00	0.00
5.00	6.90	2.33	0.00	0.97	0.57	2.50	0.18	4.04	4.68	0.00	0.00	0.85	1.26	1.65	0.00	0.07	0.00	0.98	2.94	0.00	2.11	1.58	0.00	0.00
6.00	6.90	2.61	0.00	6.45	1.78	3.86	0.00	0.00	2.92	0.00	0.00	1.40	2.13	1.46	0.00	2.03	0.32	2.33	2.05	0.69	2.14	1.79	0.00	0.00
7.00	6.90	1.90	0.00	2.14	2.50	3.70	1.66	3.84	0.59	0.00	0.00	0.55	1.84	1.90	0.00	3.60	0.00	2.12	0.64	0.12	2.13	0.35	0.00	0.00
8.00	6.90	1.31	0.00	2.00	3.89	3.40	0.00	2.16	3.51	0.00	0.00	0.92	2.18	0.00	0.00	1.15	0.00	2.87	2.90	0.02	2.47	0.74	0.00	0.00
9.00	6.90	5.85	0.00	6.16	1.47	3.70	1.20	0.45	0.49	0.00	0.00	0.00	1.18	3.43	0.00	0.18	0.00	1.59	2.08	0.00	2.39	1.51	0.00	0.00
10.00	6.90	4.70	0.00	4.38	0.98	2.96	2.36	0.38	2.60	0.00	0.00	0.00	0.65	1.52	0.00	1.18	0.49	1.52	0.00	0.00	2.71	2.78	0.00	0.00
11.00	6.90	2.50	0.00	4.62	0.91	3.65	0.65	0.67	3.91	0.00	0.00	0.00	0.73	0.79	0.00	4.19	0.00	1.05	1.78	0.45	1.39	0.99	0.00	0.00
12.00	6.90	2.71	0.00	4.66	0.38	5.11	0.00	4.79	0.97	0.00	0.00	0.00	3.62	0.80	0.00	4.20	0.00	3.06	2.01	0.04	2.01	1.84	0.00	0.00
13.00	6.90	3.36	0.00	5.90	0.02	2.38	1.61	0.88	2.46	0.00	0.00	0.12	0.94	2.44	0.00	3.70	0.00	1.08	0.58	0.12	1.74	0.62	0.00	0.00
14.00	6.90	4.16	0.00	3.19	1.71	0.06	0.31	3.80	0.65	0.00	0.00	1.25	2.13	1.97	0.00	2.00	0.00	1.19	0.46	0.49	0.25	2.52	0.00	0.00
15.00	6.90	0.80	0.00	5.31	2.37	2.63	1.06	5.65	1.33	0.00	0.00	1.08	0.08	1.10	0.00	1.74	0.00	3.29	2.16	0.01	2.65	2.72	0.00	0.00
16.00	6.90	0.54	0.00	3.06	1.30	4.09	0.00	1.44	4.03	0.00	0.00	0.00	2.13	3.29	0.00	2.58	0.00	2.40	2.39	0.14	2.48	1.27	0.00	0.00
17.00	6.89	0.98	0.00	5.64	1.30	0.79	0.20	3.04	3.76	0.00	0.00	0.65	0.45	3.97	0.00	3.89	0.00	2.96	2.76	0.54	2.71	1.32	0.00	0.00
18.00	6.90	2.98	0.00	3.71	1.61	0.00	0.59	3.47	1.28	0.00	0.00	0.00	1.53	3.71	0.00	3.97	0.00	2.78	2.48	0.19	1.90	2.03	0.00	0.00
19.00	6.90	2.46	0.00	3.96	0.32	1.55	0.01	2.36	1.58	0.00	0.00	2.07	1.27	1.31	0.00	1.21	0.00	2.51	1.80	0.01	1.04	0.93	0.00	0.00
20.00	6.90	2.76	0.00	3.93	0.49	1.17	0.35	2.79	0.00	0.00	0.00	0.55	0.32	0.12	0.00	1.50	0.00	1.51	2.43	0.00	1.90	0.00	0.00	0.00
21.00	6.90	1.06	0.00	3.39	0.49	4.36	0.61	3.87	2.79	0.00	0.00	0.00	1.90	1.44	0.00	3.32	0.00	2.73	0.22	0.60	1.35	1.68	0.00	0.00
22.00	6.90	2.61	0.00	3.80	2.73	4.32	1.91	2.79	3.84	0.00	0.00	0.00	0.48	2.12	0.00	2.01	0.00	0.87	0.49	0.00	1.81	2.32	0.00	0.00
23.00	6.90	0.49	0.00	1.47	3.27	1.72	1.58	4.56	4.32	0.00	0.00	0.00	0.69	1.19	0.00	2.97	0.00	1.08	0.00	0.00	1.21	2.51	0.00	0.00
24.00	6.90	5.62	0.00	2.64	1.53	3.20	0.37	3.74	2.57	0.00	0.00	2.93	0.00	1.24	0.00	4.23	0.00	1.25	1.28	0.79	2.71	2.60	0.00	0.00
25.00	6.90	1.57	0.00	2.46	1.22	0.55	1.27	2.90	0.98	0.00	0.00	1.68	2.27	0.86	0.00	4.10	0.00	0.00	2.32	0.65	2.70	0.61	0.00	0.00
26.00	6.90	1.54	0.00	4.72	2.43	0.00	0.00	2.91	1.58	0.00	0.00	0.00	2.28	2.99	0.00	2.33	0.00	1.31	2.59	1.14	2.58	2.18	0.00	0.00
27.00	6.90	4.75	0.00	6.58	2.86	0.00	1.59	2.51	4.46	0.00	0.00	0.00	2.21	0.45	0.00	1.61	0.00	1.58	1.64	0.02	2.70	2.51	0.00	0.00
28.00	6.90	1.24	0.00	5.86	2.28	0.22	0.16	2.10	1.63	0.00	0.00	0.00	0.19	1.68	0.00	3.51	0.00	0.52	2.71	0.41	1.48	2.59	0.00	0.00
29.00	6.90	2.26	0.00	0.16	1.31	2.31	1.61	1.98	2.59	0.00	0.00	1.48	1.86	2.00	0.00	1.22	0.00	1.72	0.37	0.44	1.15	0.81	0.00	0.00
30.00	6.90	6.49	0.00	5.94	2.20	0.99	0.49	5.13	5.28	0.00	0.00	1.72	4.40	0.44	0.00	1.35	0.00	3.09	1.90	0.14	2.58	2.25	0.00	0.00
31.00	6.90	5.99	0.00	1.40	1.27	0.53	0.87	5.38	4.24	0.00	0.00	4.00	3.10	2.56	0.00	2.19	0.00	3.36	1.12	0.00	2.44	2.03	0.00	0.00
32.00	6.90	5.03	0.00	6.16	0.45	0.00	0.00	1.46	2.44	0.00	0.00	1.01	1.78	2.77	0.00	1.84	0.00	2.93	0.00	1.75	2.70	2.27	0.00	0.00
33.00	6.90	0.19	0.00	6.56	1.80	0.78	0.58	0.12	2.10	0.00	0.00	0.00	4.07	2.63	0.00	2.23	1.04	1.92	3.01	1.86	2.70	2.73	0.00	0.00
34.00	6.89	2.45	0.00	6.08	1.60	1.42	0.00	4.66	3.37	0.00	0.00	0.88	1.88	4.17	0.00	3.31	0.00	3.19	3.00	1.33	2.71	1.15	0.00	0.00
35.00	6.90	3.80	0.00	2.58	1.13	1.86	1.80	1.58	0.01	0.00	0.00	0.49	0.22	0.48	0.00	4.19	0.00	3.04	2.92	0.95	2.70	2.50	0.00	0.00
36.00	6.90	6.22	0.00	6.58	0.46	3.17	0.26	5.69	4.32	0.00	0.00	0.00	1.10	0.44	0.00	3.17	0.00	3.01	2.68	0.45	2.70	1.97	0.00	0.00
37.00	6.90	2.50	0.00	3.43	2.43	2.43	0.42	2.99	2.84	0.00	0.00	0.99	3.44	3.53	0.00	2.77	0.00	1.34	1.94	0.49	1.99	1.63	0.00	0.00
38.00	6.90	5.31	0.00	2.99	0.60	0.61	0.91	4.19	5.03	0.00	0.00	0.00	0.02	2.56	0.00	1.68	0.77	2.10	1.24	0.00	2.64	2.38	0.00	0.00
39.00	6.90	3.59	0.00	5.53	1.38	3.31	3.79	4.56	2.86	0.00	0.00	1.40	0.24	0.54	0.00	1.24	0.00	2.30	2.21	0.09	2.70	1.64	0.00	0.00
40.00	6.90	2.32	0.00	4.70	3.38	1.79	0.05	2.74	0.49	0.00	0.00	1.34	2.31	2.59	0.00	3.29	0.00	1.83	2.93	1.85	2.24	1.73	0.00	0.00
41.00	6.90	5.83	0.00	5.15	1.00	1.91	0.00	0.64	1.20	0.00	0.00	0.48	2.08	0.85	0.00	4.19	0.00	0.00	2.73	0.49	2.70	2.77	0.00	0.00
42.00	6.90	1.86	0.00	5.30	0.00	4.62	1.91	1.58	4.78	0.00	0.00	1.72	3.72	1.00	0.00	1.91	0.00	3.30	1.01	0.00	2.70	2.51	0.00	0.00
43.00	6.90	0.95	0.00	4.78	3.23	1.07	2.64	1.45	0.99	0.00	0.00	0.00	2.98	1.07	0.00	3.26	0.00	2.43	2.32	0.93	0.85	1.67	0.00	0.00
44.00	6.90	3.24	0.00	4.62	0.49	0.68	0.21	5.17	4.71	0.00	0.00	0.00	1.52	0.60	0.00	2.08	0.00	1.26	2.73	0.22	1.81	1.55	0.00	0.00
45.00	6.90	1.63	0.00	2.66	3.14	2.26	1.08	1.32	4.09	0.00	0.00	0.00	0.07	1.54	0.00	3.05	0.00	1.66	2.16	0.00	1.19	2.39	0.00	0.00
46.00	6.90	6.69	0.00	5.08	0.75	0.82	0.00	2.07	3.23	0.00	0.00	0.00	1.35	2.03	0.00	4.22	0.00	3.29	2.92	0.39	2.00	1.67	0.00	0.00
47.00	6.90	5.39	0.00	5.99	1.39	1.33	1.46	2.31	3.24	0.00	0.00	0.06	0.07	2.21	0.00	4.19	0.00	2.50	2.66	0.00	2.47	1.07	0.00	0.00
48.00	6.90	2.72	0.00	5.63	3.83	0.00	0.72	4.59	3.37	0.00	0.00	1.83	0.65	3.17	0.00	2.74	0.00	2.31	2.60	0.00	0.37	2.58	0.00	0.00
49.00	6.90	2.01	0.00	3.60	2.11	1.31	1.26	3.92	1.83	0.00	0.00	0.93	0.49	0.91	0.00	2.16	0.00	1.80	1.21	0.00	2.45	1.47	0.00	0.00
50.00	6.89	2.26	0.00	1.63	0.00	0.84	1.80	5.22	2.12	0.00	0.00	0.28	0.88	1.90	0.00	2.48	0.00	1.10	2.58	0.79	2.47	2.43	0.00	0.00
51.00	6.90	3.05	0.00	5.25	0.00	1.32	2.23	3.77	3.21	0.00	0.00	0.54	2.16	4.20	0.00	2.07	0.00	0.60	2.25	0.49	2.50	0.81	0.00	0.00
52.00	6.90	1.45	0.00	3.49	0.66	4.35	0.00	3.42	0.49	0.00	0.00	0.00	3.49	1.13	0.00	4.20	0.00	2.14	2.44	0.49	2.63	1.70	0.00	0.00
53.00	6.90	5.42	0.00	5.25	0.33	0.05	0.06	0.75	0.01	0.00	0.00	0.00	3.90	0.78	0.00	3.58	0.00	2.40	0.84	0.04	2.11	1.73	0.00	0.00
54.00	6.90	2.89	0.00	2.80	4.98	1.48	0.52	2.11	2.66	0.00	0.00	0.53	1.72	4.20	0.00	2.46	0.00	2.23	2.57	1.11	0.95	1.21	0.00	0.00
55.00	6.90	1.42	0.00	2.51	0.91	0.95	2.01	0.09	0.88	0.00	0.00	1.35	2.57	2.13	0.00	0.00	0.00	2.89	2.72	0.81	1.45	1.54	0.00	0.00
56.00	6.90	0.61	0.00	5.92	2.51	2.46	0.07	2.93	3.11	0.00	0.00	0.44	3.73	0.26	0.00	0.00	0.00	2.18	1.27	1.22	2.52	1.13	0.00	0.00
57.00	6.90	5.09	0.00	5.42	0.32	4.36	0.00	3.00	3.96	0.00	0.00	0.00	0.01	0.46	0.00	3.57	0.00	1.60	1.24	0.55	0.69	0.64	0.00	0.00
58.00	6.90	4.75	0.00	1.44	0.79	4.35	1.18	4.02	3.64	0.00	0.00	0.00	1.06	0.49	0.00	2.20	0.00	2.04	1.64	0.99	2.47	1.87	0.00	0.00
59.00	6.90	2.91	0.00	7.01	2.26	0.75	0.27	4.42	2.41	0.00	0.00	0.00	0.29	1.71	0.00	1.73	0.00	2.67	2.27	0.00	0.97	1.66	0.00	0.00
60.00	6.90	3.13	0.00	6.61	0.99	3.23	4.39	1.02	3.36	0.00	0.00	0.53	2.20	1.15	0.00	3.03	0.00	2.86	1.12	0.25	2.71	2.07	0.00	0.00
61.00	6.90	3.80	0.00	1.90	0.49	1.64	2.54	1.17	4.05	0.00	0.00	0.20	0.45	1.73	0.00	3.98	0.00	3.07	2.92	0.37	2.57	0.33	0.00	0.00
62.00	6.90	2.07	0.00	4.68	0.85	1.07	0.58	0.49	3.76	0.00	0.00	0.68	1.64	1.47	0.00	4.17	0.00	3.00	1.57	1.58	2.33	2.16	0.00	0.00
63.00	6.90	3.16	0.00	6.32	0.49	4.32	0.00	5.36	0.75	0.00	0.00	2.08	0.41	0.00	0.00	4.20	0.00	3.26	2.56	0.00	2.70	2.71	0.00	0.00
64.00	6.90	3.11	0.00	4.58	2.89	3.71	2.16	1.99	2.70	0.00	0.00	0.24	2.04	2.26	0.00	4.16	0.00	2.63	3.00	0.00	2.68	2.70	0.00	0.00
65.00	6.90	3.05	0.00	1.71	1.45	0.00	0.79	0.38	1.74	0.00	0.00	0.00	0.32	1.08	0.00	4.19	0.00	1.72	2.41	0.18	0.57	1.61	0.00	0.00
66.00	6.89	1.17	0.00	5.32	1.50	4.04	1.70	5.75	3.45	0.00	0.00	0.00	1.58	3.42	0.00	4.18	0.00	1.20	1.57	0.59	3.57	0.86	0.00	0.00
67.00	6.90	2.91	0.00	3.40	1.73	2.74	0.68	3.71	4.89	0.00	0.00	0.00	1.20	3.32	0.00	3.29	0.00	1.77	2.13	1.11	2.50	0.97	0.00	0.00
68.00	6.90	1.66	0.00	3.59	1.99	1.74	0.86	1.17	2.38	0.00	0.00	0.00	3.37	1.50	0.00	1.38	0.00	1.45	0.18	0.28	1.20	1.86	0.00	0.00
69.00	6.90	0.89	0.00	1.98	1.40	1.13	1.54	4.22	1.99	0.00	0.00	0.77	2.30	1.04	0.00	4.10	0.00	0.93	1.74	0.54	2.06	2.66	0.00	0.00
70.00	6.90	0.35	0.00	5.31	3.90	0.05	2.08	3.65	1.85	0.00	0.00	0.15	0.06	2.93	0.00	4.02	0.00	2.65	2.14	0.08	2.70	2.12	0.00	0.00
71.00	6.90	5.05	0.00	3.59	0.00	0.93	1.11	4.53	0.49	0.00	0.00	0.00	4.71	1.90	0.00	4.23	0.00	2.00	2.66	0.49	1.77	3.05	0.00	0.00
72.00	6.90	2.97	0.00	2.99	3.73	1.18	1.30	1.05	3.24	0.00	0.00	0.00	3.32	1.79	0.00	4.13	0.00	2.34	2.39	0.00	2.70	2.10	0.00	0.00
73.00	6.90	5.92	0.00	5.56	0.07	4.29	0.02	0.49	2.58	0.00	0.00	0.00	1.50	1.08	0.00	3.18	0.00	1.99	2.74	2.04	2.70	2.01	0.00	0.00
74.00	6.90	5.22	0.00	5.96	0.00	0.99	0.54	3.21	4.62	0.00	0.00	2.41	0.00	1.46	0.00	2.17	0.00	1.55	2.12	0.38	2.71	2.70	0.00	0.00
75.00	6.90	4.69	0.00	5.17	0.93	0.00	0.02	4.42	2.92	0.01	0.00	1.50	2.86	2.96	0.00	2.39	0.00	1.67	0.80	0.06	2.66	2.12	0.00	0.00
76.00	6.90	2.99	0.00	0.00	0.01	3.17	1.55	3.83	0.00	0.00	0.00	2.23	0.00	3.33	0.00	3.21	0.00	1.57	1.01	0.00	2.68	2.14	0.00	0.00
77.00	6.90	0.45	0.00	5.12	3.56	0.93	0.15	5.44	2.57	0.00	0.00	0.00	1.46	3.38	0.00	2.61	0.00	0.82	2.92	0.00	1.50	0.15	0.00	0.00
78.00	6.90	2.89	0.00	5.75	0.49	5.69	0.00	4.90	2.85	0.00	0.00	0.00	3.77	3.60	0.00	3.46	0.00	2.68	3.00	0.37	0.38	1.33	0.00	0.00
79.00	6.90	3.24	0.00	5.72	0.00	3.66	1.67	5.72	5.09	0.00	0.00	0.45	1.94	3.24	0.00	0.80	0.00	3.27	2.99	1.54	2.70	2.25	0.00	0.00
