Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.476s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	7.80	6.85	0.73	0.02	0.00	0.00	1.59	0.16	0.22	0.14	0.00	0.00	2.83	0.00	0.32	0.00	0.98	0.08	0.37	0.00	0.00	0.14	0.13	0.13
3.00	7.80	6.90	0.62	0.79	2.70	0.06	2.21	1.04	2.48	0.58	0.00	2.13	1.65	0.00	0.00	0.00	0.48	0.00	0.29	0.00	0.19	1.07	0.77	1.81
4.00	7.81	6.90	1.87	1.52	1.51	0.18	2.53	0.00	3.20	1.21	0.00	3.97	2.84	1.91	0.00	0.16	0.62	0.58	0.31	0.94	0.05	1.07	0.00	0.69
5.00	7.80	6.90	2.05	1.18	3.12	0.47	2.40	1.11	2.65	1.31	0.00	2.91	3.06	2.44	0.11	1.22	1.47	0.52	0.04	0.00	1.58	0.02	0.08	0.94
6.00	7.80	6.90	1.01	0.12	2.19	0.00	1.54	1.28	0.16	2.97	0.00	3.33	2.26	1.27	0.02	0.28	0.47	0.38	1.68	0.05	0.00	0.77	0.35	0.44
7.00	7.81	6.90	0.95	0.49	1.47	0.00	0.81	1.26	0.19	4.80	0.07	0.95	4.50	0.14	1.94	0.00	3.50	0.00	2.13	0.18	0.01	1.81	1.52	1.06
8.00	7.80	6.90	5.82	0.00	2.64	0.00	1.94	0.00	3.96	3.84	0.00	0.00	4.50	1.74	1.07	0.00	0.24	0.00	2.13	0.68	1.55	1.80	1.40	1.38
9.00	7.80	6.90	3.12	0.00	4.27	0.00	4.36	0.00	5.10	4.43	0.00	1.92	4.25	0.60	1.91	0.00	2.27	0.12	2.65	2.20	0.00	0.88	1.46	1.47
10.00	7.81	6.90	2.12	0.00	2.17	0.00	1.93	0.00	5.10	1.87	0.00	1.75	4.50	3.91	0.98	0.00	2.18	0.00	2.06	2.11	0.00	0.09	0.45	1.47
11.00	7.80	6.90	3.79	1.48	2.32	0.00	1.72	0.99	2.11	3.42	1.74	4.43	3.83	1.42	1.38	0.00	0.38	0.00	2.12	0.21	0.00	0.46	1.48	0.92
12.00	7.81	6.90	0.00	0.00	2.64	0.00	5.41	1.94	0.99	4.53	0.64	3.99	3.71	0.20	2.21	0.34	0.18	0.00	2.03	2.21	0.00	0.49	0.26	0.67
13.00	7.80	6.90	2.30	0.49	1.20	0.00	3.87	0.00	1.48	1.48	1.35	4.00	4.09	1.50	1.00	0.86	0.61	0.99	2.59	0.67	0.00	0.00	0.73	1.11
14.00	7.80	6.90	2.93	2.40	3.26	0.00	3.25	0.00	1.38	3.89	2.18	2.70	3.30	0.95	0.12	0.66	1.55	0.93	2.70	2.41	0.12	1.61	0.22	1.59
15.00	7.81	6.90	2.72	0.65	4.93	0.00	0.37	0.01	2.16	0.53	0.00	4.18	1.83	0.99	0.02	0.00	0.31	0.38	1.93	1.78	0.22	1.79	0.06	1.42
16.00	7.80	6.90	1.41	0.18	3.79	0.00	2.45	0.00	4.35	0.14	1.06	3.59	3.17	0.49	1.08	0.00	1.95	0.00	1.94	2.20	0.00	1.77	0.13	0.66
17.00	7.80	6.89	5.69	0.00	3.23	0.00	3.01	0.00	0.00	0.00	0.00	0.57	4.42	0.00	1.31	0.00	0.72	0.00	1.42	0.80	0.00	0.20	0.72	1.41
18.00	7.81	6.90	2.27	0.37	3.70	0.00	4.49	0.00	0.00	0.32	0.11	1.97	4.40	2.10	0.21	0.00	2.40	0.00	2.04	1.88	0.00	0.92	0.49	0.61
19.00	7.80	6.90	0.25	0.93	2.51	0.00	2.03	0.33	0.00	2.24	1.10	2.36	4.50	1.01	1.48	0.00	0.40	0.00	2.24	1.92	0.00	1.68	1.40	0.92
20.00	7.80	6.90	0.99	0.00	0.44	0.00	4.65	0.94	0.00	3.00	1.66	2.47	3.06	4.49	0.61	0.00	1.51	0.00	2.28	2.68	0.00	1.77	0.00	1.15
21.00	7.81	6.90	3.78	0.00	4.64	0.00	5.39	0.00	1.45	2.27	0.11	1.51	4.51	3.45	0.46	0.00	2.71	0.00	2.73	2.68	0.00	1.83	0.22	0.54
22.00	7.80	6.90	2.98	0.49	4.59	0.00	5.25	0.00	0.00	0.64	0.55	4.45	3.47	2.68	2.00	0.00	0.24	0.00	2.05	2.73	0.00	1.79	0.58	1.50
23.00	7.81	6.90	2.60	0.00	4.44	0.00	4.60	0.00	1.20	2.90	0.12	3.60	4.49	2.10	1.81	0.00	0.05	0.00	1.42	2.30	0.00	1.26	0.26	0.73
24.00	7.80	6.90	1.42	0.49	5.10	0.00	4.62	1.31	3.91	2.13	1.79	4.43	3.47	1.55	0.48	0.00	0.69	0.00	2.27	0.59	0.00	0.94	0.04	1.25
25.00	7.80	6.90	0.33	0.27	4.56	0.00	4.68	0.00	1.30	3.43	0.74	3.93	2.33	2.80	0.53	0.00	1.15	0.00	2.63	1.20	0.49	0.00	1.08	1.11
26.00	7.81	6.90	2.28	0.00	3.21	0.00	5.23	0.00	3.39	4.43	0.94	3.38	3.27	0.68	1.18	0.00	0.57	0.09	1.98	0.58	0.00	1.55	0.37	1.58
27.00	7.80	6.90	0.60	4.86	0.49	0.00	3.47	1.40	0.72	4.68	0.00	4.50	2.31	1.85	0.52	0.00	0.00	0.69	1.11	0.00	0.00	0.00	0.00	1.50
28.00	7.80	6.90	0.00	4.55	1.20	0.00	0.00	0.00	0.00	3.64	0.00	4.43	1.37	0.00	0.00	0.00	2.83	0.00	1.63	0.00	0.00	0.00	0.00	1.51
29.00	7.81	6.90	4.03	3.52	0.61	0.00	0.41	0.00	4.27	4.19	0.06	4.13	2.23	3.92	0.46	0.00	0.45	0.00	1.91	0.65	0.00	0.00	0.59	1.27
30.00	7.80	6.90	0.49	1.08	1.48	0.00	1.58	0.49	5.18	2.92	0.00	2.91	3.98	1.30	0.22	0.00	0.48	0.00	2.20	0.86	1.13	2.84	0.84	1.32
31.00	7.80	6.90	1.17	1.40	3.24	0.00	2.58	0.93	3.54	1.45	0.00	1.30	4.36	2.96	0.60	0.00	1.32	0.01	0.69	1.38	0.92	1.55	1.67	1.42
32.00	7.81	6.90	3.73	0.00	3.10	0.00	1.58	0.00	2.37	4.56	0.78	0.85	4.07	3.06	0.32	0.00	0.01	0.98	0.79	0.22	0.95	1.79	0.01	0.80
33.00	7.80	6.90	3.31	0.99	2.56	0.00	3.62	0.31	4.78	4.73	0.00	0.52	2.92	3.31	1.51	0.00	2.04	0.99	1.75	0.02	0.75	1.81	0.64	1.91
34.00	7.81	6.89	3.89	0.09	3.49	0.00	2.81	0.61	0.00	1.77	0.00	0.75	4.10	2.92	1.45	0.00	1.57	0.77	2.48	1.06	0.00	1.80	0.78	1.26
35.00	7.80	6.90	0.08	0.66	3.57	0.00	4.99	0.49	0.00	0.52	1.21	0.14	4.39	2.43	1.51	0.00	1.05	0.00	1.35	0.55	0.00	1.79	0.00	1.07
36.00	7.80	6.90	2.10	1.85	3.94	0.00	3.32	0.00	0.99	3.24	0.00	3.39	4.22	2.06	0.86	0.00	0.09	0.00	1.14	1.75	0.00	1.51	0.00	1.40
37.00	7.81	6.90	3.44	2.06	4.18	0.00	4.26	0.00	0.00	4.63	0.20	4.51	1.25	0.00	1.40	0.00	1.37	0.00	2.58	1.83	0.00	1.61	1.39	1.11
38.00	7.80	6.90	0.93	3.31	4.27	0.00	2.06	0.00	0.49	2.67	1.35	4.50	0.51	2.79	0.87	0.00	0.01	0.00	1.42	0.20	0.00	1.44	0.00	1.05
39.00	7.80	6.90	1.78	1.06	5.33	0.00	5.16	0.59	0.00	0.84	0.00	4.50	2.50	0.93	1.50	0.00	2.37	0.00	1.60	0.91	0.00	0.34	0.38	0.78
40.00	7.81	6.90	1.84	5.12	5.75	0.00	5.44	0.00	0.00	4.10	0.49	4.46	2.63	0.49	2.43	0.00	0.35	0.00	1.79	2.67	0.00	0.00	0.00	1.38
41.00	7.80	6.90	1.20	2.57	2.04	0.00	3.59	0.00	5.02	2.57	1.04	2.43	3.79	1.30	0.26	0.00	0.68	0.00	1.67	0.26	0.00	0.06	1.21	1.25
42.00	7.80	6.90	2.64	0.00	0.20	0.00	3.86	0.00	5.09	4.19	0.92	4.26	4.46	0.49	1.91	0.00	0.05	0.00	1.25	1.71	0.00	0.00	1.45	1.18
43.00	7.81	6.90	0.22	5.88	0.08	0.00	5.39	0.00	2.78	4.31	0.99	1.57	4.02	0.00	0.21	0.00	1.20	0.00	1.92	2.68	0.00	0.99	0.11	1.50
44.00	7.80	6.90	1.17	0.00	3.84	0.00	3.82	1.48	3.09	1.42	0.65	1.67	3.42	2.59	0.25	0.00	0.07	0.00	2.71	1.53	0.72	1.45	1.50	1.19
45.00	7.81	6.90	1.75	0.00	5.30	0.00	2.45	0.27	4.97	2.77	0.26	2.81	2.26	3.26	0.08	1.25	0.65	0.49	1.59	0.15	0.53	1.74	0.01	1.54
46.00	7.80	6.90	0.35	0.00	5.37	0.00	3.63	0.00	5.10	0.00	0.00	4.50	2.94	3.76	0.91	0.00	1.46	0.00	0.00	2.44	0.00	1.80	0.00	1.48
47.00	7.80	6.90	3.59	0.49	1.92	0.00	5.06	0.00	0.24	0.60	0.49	3.03	3.21	3.13	2.96	0.00	0.77	0.00	2.23	1.40	0.00	1.80	0.45	1.51
48.00	7.81	6.90	2.20	0.89	2.68	0.00	4.98	1.14	2.58	3.72	0.86	3.62	4.13	3.90	1.97	0.00	1.17	0.00	0.74	0.12	0.00	1.67	0.44	0.71
49.00	7.80	6.90	0.00	0.00	2.51	0.00	2.39	0.99	5.10	3.89	2.13	4.33	4.51	3.90	0.81	0.00	0.40	0.00	3.16	0.00	0.00	0.85	0.02	1.79
50.00	7.80	6.89	6.25	3.10	1.77	0.00	1.97	0.00	1.95	3.87	0.51	2.67	4.45	0.59	0.74	0.00	0.00	0.00	1.95	1.73	0.00	2.06	0.49	1.38
51.00	7.81	6.90	2.89	0.00	3.27	0.00	1.95	0.00	0.00	1.97	0.00	2.36	4.49	2.19	3.10	0.00	0.69	0.00	2.70	0.93	0.00	0.78	0.52	1.21
52.00	7.80	6.90	3.42	0.49	4.49	0.00	2.48	0.00	1.61	4.96	1.41	4.18	4.50	2.66	1.80	0.00	0.99	0.00	2.34	1.25	0.00	0.00	1.51	1.13
53.00	7.80	6.90	2.85	0.00	3.00	0.00	2.51	0.00	1.47	3.79	0.00	3.89	3.52	3.92	0.44	0.00	1.18	0.00	2.50	2.32	0.00	2.00	1.07	1.37
54.00	7.81	6.90	0.00	0.06	4.76	0.00	3.78	0.00	1.45	3.87	0.14	4.49	4.18	3.79	2.79	0.00	0.24	0.00	2.60	2.71	0.00	0.98	1.19	1.47
55.00	7.80	6.90	2.53	0.00	5.71	0.00	5.04	0.00	0.00	2.20	0.02	4.27	4.82	2.60	1.45	0.00	0.54	0.00	2.40	0.26	0.00	2.54	1.08	1.15
56.00	7.81	6.90	3.80	0.47	5.20	0.00	2.14	0.00	0.00	3.34	0.60	3.89	3.50	1.53	0.21	0.00	1.50	0.00	1.97	2.67	0.00	1.80	1.52	1.42
57.00	7.80	6.90	2.39	0.31	2.27	0.00	1.25	0.00	0.00	1.33	0.00	3.86	3.18	1.66	0.71	0.00	1.08	0.00	2.04	1.37	0.00	1.80	1.20	1.40
58.00	7.80	6.90	1.05	0.00	3.63	0.00	4.42	0.00	5.77	1.50	0.62	4.42	4.19	0.00	2.30	1.00	0.02	0.00	1.78	0.24	0.00	1.80	0.01	1.13
59.00	7.81	6.90	3.39	0.00	5.66	0.00	4.35	0.00	0.06	3.46	0.00	4.44	2.36	1.27	2.08	0.00	0.61	0.00	0.78	0.57	0.00	1.80	0.00	1.01
60.00	7.80	6.90	1.47	0.00	1.27	0.00	1.55	0.02	5.13	3.09	0.16	3.21	2.43	0.91	0.41	0.00	0.74	0.02	1.06	0.02	0.00	0.49	1.68	1.00
61.00	7.80	6.90	3.47	1.47	0.80	0.00	2.58	0.00	4.91	1.41	0.00	1.02	0.92	1.86	0.68	0.00	0.00	0.00	3.12	1.28	0.00	0.00	1.77	1.46
62.00	7.81	6.90	1.75	0.55	1.50	0.00	5.18	0.00	3.72	1.35	2.96	3.60	3.91	1.57	1.52	0.00	2.01	0.00	0.74	1.94	0.00	0.00	1.83	0.81
63.00	7.80	6.90	2.05	0.00	1.52	0.00	5.30	0.00	0.00	3.63	0.35	3.43	4.10	1.37	0.78	0.00	3.09	0.00	1.14	1.48	0.00	0.00	1.13	1.47
64.00	7.80	6.90	5.81	2.16	1.85	0.00	3.17	0.00	0.00	1.70	0.49	0.95	4.38	0.86	3.25	0.00	0.59	0.00	3.10	1.50	0.00	0.00	0.04	1.50
65.00	7.81	6.90	0.46	4.47	4.64	0.00	3.97	0.00	0.00	3.58	0.00	0.60	3.45	0.00	1.78	0.00	0.33	0.00	2.70	0.58	0.00	0.00	0.00	1.50
66.00	7.80	6.89	1.63	1.37	3.85	0.00	5.18	0.68	0.73	2.26	1.18	2.64	1.53	2.41	0.07	0.00	0.08	0.00	2.45	0.68	0.00	1.26	0.98	1.35
67.00	7.81	6.90	0.06	1.32	0.97	0.00	3.50	0.00	4.84	3.09	0.78	4.69	1.60	0.85	1.90	0.00	1.40	0.00	2.04	0.52	0.00	0.00	1.55	0.42
68.00	7.80	6.90	1.28	0.08	2.50	0.00	2.72	0.00	0.02	4.26	2.37	4.02	0.47	1.22	0.33	0.00	0.69	0.00	2.51	0.01	0.00	0.00	1.54	1.20
69.00	7.80	6.90	0.00	0.00	4.09	0.00	1.10	0.00	2.27	0.04	2.24	3.42	3.98	2.37	0.20	0.00	1.47	0.00	1.08	1.12	0.00	1.46	0.99	1.31
70.00	7.81	6.90	0.49	0.53	1.12	0.00	3.80	0.00	2.65	0.67	0.11	2.50	4.39	0.93	1.54	0.00	0.95	0.00	1.97	1.79	0.38	1.79	0.65	1.22
71.00	7.80	6.90	0.44	0.00	3.04	0.00	4.64	0.00	0.00	1.26	0.81	2.33	4.16	1.11	0.19	0.00	0.00	0.00	2.53	1.86	0.00	1.66	0.25	1.51
72.00	7.80	6.90	2.86	0.08	2.51	0.00	5.19	0.00	1.70	4.79	0.00	4.29	3.16	1.99	1.67	0.05	0.12	0.00	2.60	2.44	0.00	1.47	0.69	1.47
73.00	7.81	6.90	2.67	0.72	2.43	0.00	2.91	0.00	0.00	1.57	0.97	3.64	2.38	2.25	2.18	0.00	0.00	0.00	2.71	2.04	0.00	1.80	0.45	1.12
74.00	7.80	6.90	0.06	0.37	0.19	0.00	2.58	0.00	2.20	1.40	0.33	3.18	3.54	2.63	0.95	0.00	0.00	0.00	1.95	1.30	0.00	1.79	0.67	0.39
75.00	7.80	6.90	2.66	3.21	3.06	0.00	3.18	0.00	5.10	2.56	1.18	4.26	3.67	0.60	1.68	0.00	1.98	0.00	1.77	1.83	0.00	0.71	0.40	0.47
76.00	7.81	6.90	3.71	4.84	5.70	0.00	1.39	0.00	4.32	4.53	0.00	3.14	2.76	3.05	1.84	0.00	0.00	0.00	2.70	2.14	0.00	0.00	0.22	1.97
77.00	7.80	6.90	2.68	0.00	4.09	0.00	0.02	0.00	1.42	1.65	0.00	3.63	3.83	0.00	0.79	0.00	4.02	0.00	2.37	1.87	0.00	0.00	0.00	1.50
78.00	7.81	6.90	0.82	1.58	1.68	0.00	0.00	0.00	0.00	3.62	2.25	4.32	2.54	4.06	0.02	0.00	1.99	0.00	1.64	0.57	0.00	0.00	0.81	0.98
79.00	7.80	6.90	4.46	4.32	3.31	0.00	1.51	0.00	0.00	3.45	0.00	4.50	3.09	0.00	0.97	0.00	1.54	0.00	2.60	2.28	0.00	0.45	0.00	1.27
80.00	7.80	6.90	2.64	0.26	0.01	0.00	2.14	0.00	0.00	1.60	0.00	4.36	3.46	1.00	0.16	0.00	1.44	0.00	2.58	0.45	0.00	0.52	0.53	0.68
81.00	7.81	6.90	3.26	0.91	1.79	0.00	3.82	0.00	0.00	0.57	0.00	4.43	4.50	0.00	3.05	0.00	1.98	0.00	2.14	0.55	0.00	0.00	0.38	0.97
82.00	7.80	6.89	1.66	1.00	3.04	0.00	4.03	0.00	0.00	2.44	1.71	4.38	2.76	0.95	2.30	0.00	1.38	0.00	2.39	0.15	0.00	1.33	0.00	0.49
83.00	7.80	6.90	1.13	0.09	2.06	0.00	2.76	0.00	0.00	0.18	1.51	1.14	2.48	1.48	0.29	0.00	0.59	0.00	2.18	0.00	0.00	0.49	0.02	1.00
84.00	7.81	6.90	1.58	0.47	4.68	0.00	5.73	1.54	2.12	2.11	0.00	4.18	2.20	2.07	0.53	0.00	0.58	0.00	2.71	0.14	0.00	0.49	0.00	1.19
