Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.604s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	8.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.88	0.39	0.16
3.00	8.70	0.35	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	2.87	0.00	1.25	0.61	0.00	0.08	0.22	0.00	0.00	0.00	0.41	0.64	0.05
4.00	8.70	0.01	0.00	1.63	0.04	0.00	0.06	3.12	0.08	4.30	0.18	0.00	0.00	0.00	0.52	1.90	0.22	0.61	0.57	0.04	0.81	2.36	0.35	0.71	0.22
5.00	8.70	0.65	0.00	1.19	0.15	0.32	0.00	1.67	0.00	2.71	2.54	0.00	0.74	0.00	0.24	2.12	0.49	0.00	0.18	0.00	0.08	1.46	0.99	0.42	0.31
6.00	8.69	3.63	0.62	4.53	0.00	0.00	0.22	3.67	1.60	0.75	1.95	0.00	2.40	0.00	0.94	0.53	0.00	0.00	1.19	0.00	0.52	3.38	0.73	1.25	0.62
7.00	8.70	0.20	0.00	0.16	0.01	0.00	0.01	4.03	1.85	2.18	1.91	0.00	2.59	0.00	0.28	3.80	0.57	0.00	0.41	0.00	0.22	1.17	1.60	0.16	0.32
8.00	8.70	6.50	0.20	0.71	0.04	0.00	0.00	4.09	2.60	3.46	1.22	0.00	3.73	0.00	0.13	1.07	0.00	0.02	0.35	0.00	0.22	1.58	0.92	0.32	0.85
9.00	8.70	3.32	0.00	1.01	0.00	0.00	0.26	2.28	0.61	4.49	2.65	0.00	2.32	0.19	1.63	2.67	0.22	0.12	0.32	0.15	0.39	2.50	0.65	0.44	0.88
10.00	8.70	1.39	0.68	1.92	0.00	0.00	0.00	4.33	4.45	4.03	4.50	0.00	3.89	0.00	0.00	3.62	0.00	0.24	0.01	0.00	0.00	2.77	1.86	0.37	0.46
11.00	8.69	3.14	0.00	0.77	0.00	0.60	0.00	2.08	2.24	4.23	4.39	0.00	4.20	0.00	0.25	2.01	0.00	0.00	1.12	0.00	1.00	1.30	2.39	0.68	1.00
12.00	8.70	2.60	0.00	1.64	0.02	0.00	1.94	4.31	1.45	3.57	3.63	0.02	0.99	0.00	1.95	4.26	0.00	1.40	0.34	0.00	0.14	4.15	2.40	1.05	0.97
13.00	8.70	1.15	0.21	3.03	0.89	0.00	0.47	3.21	3.59	4.22	2.07	1.50	1.08	0.21	0.82	3.24	0.00	1.13	0.42	0.00	0.39	2.52	2.40	0.78	0.92
14.00	8.70	1.83	0.08	4.90	0.51	0.00	1.41	4.90	3.74	3.37	3.79	0.01	0.58	0.00	0.11	1.58	0.00	0.51	2.41	0.00	2.00	2.99	2.21	0.13	0.15
