Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.410s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	7.16	6.25	0.07	0.00	1.06	0.42	0.46	0.59	0.00	0.00	1.79	0.00	0.00	0.00	0.06	0.00	0.00	0.00	1.12	0.00	0.00	0.35	0.31	0.73	0.19
3.00	7.20	6.30	3.57	0.68	1.71	3.33	0.00	1.01	1.87	0.84	0.58	0.51	0.78	0.49	0.00	0.00	0.00	0.00	0.49	0.38	2.40	2.91	2.38	0.49	0.00
4.00	7.21	6.30	1.10	0.99	1.22	4.42	0.00	2.03	2.56	0.75	1.59	2.48	2.65	0.91	2.13	0.00	0.00	0.99	0.00	1.63	3.27	2.79	2.48	2.23	0.31
5.00	7.20	6.30	3.44	0.00	4.66	0.00	2.00	3.23	0.80	1.04	0.98	1.11	0.18	1.57	0.02	0.71	0.00	1.30	2.67	2.48	3.30	2.98	2.14	0.74	0.02
6.00	7.21	6.30	0.49	0.04	5.45	0.00	4.22	0.62	0.57	0.00	2.54	3.29	1.39	1.15	0.00	2.47	0.00	1.60	0.00	0.82	3.20	2.60	2.98	2.60	0.75
7.00	7.20	6.30	5.41	3.47	1.88	3.25	3.46	0.98	2.74	0.57	1.52	1.45	4.70	0.69	1.92	2.24	0.00	0.94	1.93	1.21	2.48	3.04	2.10	2.32	0.04
8.00	7.20	6.30	4.19	2.36	2.60	2.19	3.77	1.40	4.06	0.07	3.31	2.63	1.32	1.33	3.54	2.58	0.00	0.07	0.45	1.66	0.97	3.00	2.70	2.07	0.01
9.00	7.21	6.30	3.47	2.13	1.50	2.01	4.13	2.76	1.50	0.00	1.37	2.86	0.00	1.20	1.35	3.18	0.00	0.00	2.48	2.89	1.81	2.92	1.93	1.95	0.00
10.00	7.20	6.30	2.52	1.50	3.64	2.44	2.98	0.99	1.77	0.00	3.40	3.23	3.13	0.44	2.36	0.13	0.00	0.91	3.60	1.95	3.31	3.00	0.98	1.87	0.13
11.00	7.21	6.30	1.53	1.73	0.48	3.74	1.04	4.45	2.40	0.00	0.35	2.60	0.15	2.67	3.14	0.44	0.00	1.79	2.83	2.13	2.92	3.00	0.97	1.28	0.00
12.00	7.20	6.30	1.45	3.76	0.00	0.00	3.09	0.00	4.73	0.99	2.18	2.18	0.75	4.50	0.34	3.01	0.00	0.86	0.00	1.77	3.30	3.00	1.71	2.59	0.00
13.00	7.20	6.30	3.24	0.02	0.00	1.78	2.98	1.70	3.78	0.00	3.72	1.60	1.75	4.31	0.44	0.00	0.00	2.08	1.12	0.99	2.13	2.93	1.20	1.37	0.00
14.00	7.21	6.30	5.90	4.78	0.00	2.71	0.79	0.00	4.71	0.00	4.88	0.49	4.46	1.73	0.62	1.75	0.00	1.10	0.12	1.22	1.53	2.99	0.09	0.16	0.00
