Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.794s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 80.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	9.07	6.04	5.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	9.90	6.61	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	9.89	6.59	6.01	0.39	2.03	0.73	0.04	0.93	0.40	1.59	0.18	1.00	0.92	0.85	0.55	0.69	1.30	0.13	0.59	0.46	1.02	0.02
6.00	9.90	6.61	5.99	2.25	4.50	1.68	0.04	0.00	2.41	3.58	0.00	0.79	0.71	1.84	2.50	0.00	1.30	0.34	0.00	0.64	1.40	0.00
7.00	9.90	6.59	6.01	2.78	3.13	0.55	0.00	0.00	2.59	2.99	1.08	1.80	0.64	1.34	3.32	1.11	1.57	0.53	0.00	1.31	2.43	0.00
8.00	9.89	6.61	5.99	1.73	4.93	0.67	0.00	2.19	1.07	3.49	0.39	2.12	1.39	1.17	3.59	0.49	1.72	0.00	0.33	1.12	1.92	0.35
9.00	9.90	6.59	6.01	0.91	2.89	1.48	0.00	4.16	1.92	2.76	0.66	1.12	2.44	0.18	3.34	0.02	1.59	0.54	0.39	0.78	1.21	0.15
10.00	9.90	6.61	5.99	0.94	2.79	1.27	0.00	4.77	0.91	3.26	1.70	2.54	2.81	1.94	4.51	0.75	1.79	0.37	0.20	0.37	0.61	0.72
11.00	9.89	6.59	6.01	2.13	3.05	2.99	0.00	3.62	0.13	2.25	0.08	2.43	0.39	0.58	2.89	1.05	3.38	0.99	0.00	0.26	0.31	1.61
12.00	9.90	6.61	5.99	1.35	1.63	3.30	0.00	0.42	0.49	2.65	2.84	1.92	0.78	1.80	5.56	0.49	0.93	0.59	0.00	0.52	1.92	1.73
13.00	9.90	6.59	6.01	0.67	3.94	3.19	0.00	0.49	2.41	1.05	0.57	0.00	1.74	1.78	4.50	0.05	0.68	0.08	0.00	0.84	0.00	1.70
14.00	9.90	6.61	5.99	0.00	5.70	1.15	0.00	2.92	0.55	4.82	0.00	1.10	2.72	2.13	4.36	0.49	1.32	0.00	0.09	0.42	1.26	0.91
15.00	9.89	6.59	6.01	0.92	1.81	0.13	0.00	5.04	2.23	1.85	0.08	0.16	0.31	2.24	1.28	1.19	1.68	0.00	0.11	0.80	1.53	0.06
16.00	9.90	6.59	5.99	1.79	3.71	3.06	0.00	4.09	0.00	3.40	0.59	0.11	4.09	0.33	4.02	0.00	2.89	0.98	0.00	0.04	1.15	1.41
17.00	9.90	6.61	6.01	2.61	0.19	0.98	0.00	1.95	1.48	0.92	0.00	1.72	0.66	0.00	4.32	0.00	3.16	0.49	0.20	2.41	1.10	1.00
18.00	9.89	6.59	5.99	1.68	6.05	3.20	0.00	3.31	0.73	3.33	0.00	1.81	1.26	2.10	4.37	0.49	1.98	1.32	0.04	0.69	2.41	1.11
19.00	9.90	6.61	6.01	4.44	0.34	1.81	0.00	1.21	2.51	0.46	0.00	3.87	2.27	0.98	3.18	0.05	3.09	0.95	0.49	0.06	0.28	0.98
20.00	9.90	6.59	5.99	2.94	2.32	0.58	0.00	0.72	2.07	2.68	0.00	1.72	1.25	1.45	4.10	0.00	1.61	0.88	0.41	0.02	2.03	0.52
21.00	9.89	6.61	6.01	4.11	4.91	1.93	0.00	0.42	2.37	3.59	0.00	2.20	2.31	0.04	4.50	0.49	3.63	0.00	0.52	1.77	1.66	0.71
22.00	9.90	6.59	5.99	3.91	1.85	0.81	0.00	2.37	0.49	1.37	0.00	1.24	0.69	0.01	1.37	0.00	2.12	0.00	0.09	1.94	1.42	0.48
