Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.818s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 80.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	6.42	5.88	5.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	7.21	6.61	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	7.20	6.59	6.30	0.04	2.19	0.04	0.39	2.08	0.04	1.66	0.04	2.37	0.07	1.46	0.04	0.99	0.07	0.00	1.44	0.97	0.82	0.93	0.00
6.00	7.21	6.61	6.30	0.88	4.11	0.99	1.64	1.85	3.46	2.99	0.04	5.10	0.00	1.21	0.09	2.59	0.00	0.04	3.30	0.00	0.20	1.31	0.04
7.00	7.20	6.59	6.30	2.46	0.92	1.10	0.18	2.59	2.70	0.35	0.00	4.79	0.00	2.05	1.59	1.51	0.38	1.32	3.45	2.18	0.01	0.67	0.45
8.00	7.20	6.61	6.30	0.41	3.60	3.25	0.19	3.46	2.39	0.72	0.13	2.13	0.00	1.85	0.07	0.88	0.07	0.80	1.14	0.38	0.05	0.93	0.22
9.00	7.21	6.59	6.30	0.00	2.26	0.79	0.49	0.38	0.08	0.41	1.35	1.78	0.00	0.61	0.49	0.00	0.40	0.41	0.39	0.87	0.00	1.00	0.06
10.00	7.20	6.61	6.30	2.19	3.20	3.17	0.71	1.42	0.86	2.14	2.58	1.78	0.00	2.54	0.09	0.82	0.00	0.24	0.86	0.07	0.00	1.66	0.82
11.00	7.21	6.59	6.30	0.49	3.53	3.13	0.00	2.61	3.09	0.52	0.21	2.33	0.00	2.16	0.20	0.72	0.19	2.92	1.15	0.82	0.65	0.33	0.31
12.00	7.20	6.61	6.30	1.37	0.52	1.30	0.00	1.20	3.11	0.26	1.15	4.27	0.00	2.53	0.88	1.52	2.17	0.39	1.37	1.73	0.19	1.67	0.14
13.00	7.20	6.59	6.30	1.00	1.64	2.61	0.49	1.54	0.72	2.76	1.40	3.57	0.00	1.31	0.91	0.26	2.51	1.48	0.00	0.00	0.46	1.74	0.05
14.00	7.21	6.61	6.30	0.00	3.67	0.66	1.19	3.39	0.29	2.30	2.19	4.92	0.00	1.85	1.10	0.65	0.73	0.79	2.25	0.99	1.79	0.69	0.00
15.00	7.20	6.59	6.30	3.92	2.56	4.17	0.99	0.48	4.33	2.37	2.23	4.32	0.00	1.34	0.00	0.00	0.79	0.88	0.84	0.00	0.68	0.07	0.00
16.00	7.21	6.59	6.30	2.60	2.07	1.64	0.67	2.50	3.11	1.38	1.59	4.72	0.00	1.02	0.06	1.59	0.00	0.81	2.27	0.01	0.16	1.45	1.17
17.00	7.20	6.61	6.30	0.60	0.06	6.78	0.00	3.49	0.77	3.76	1.93	2.43	0.00	3.90	1.22	1.17	1.13	1.42	3.00	0.84	0.00	0.00	1.15
18.00	7.21	6.59	6.30	3.57	0.00	2.47	0.85	2.24	1.72	2.52	1.99	4.63	0.00	2.19	0.51	0.01	1.27	2.61	0.00	1.40	0.00	2.24	1.33
19.00	7.20	6.61	6.30	0.59	1.67	2.12	0.27	0.86	2.11	1.18	0.84	0.75	0.00	0.34	0.00	0.65	0.20	2.07	2.72	1.80	1.45	0.42	0.00
20.00	7.20	6.59	6.30	3.16	6.04	2.37	1.00	1.11	2.03	4.10	0.78	5.10	0.00	2.16	0.55	1.14	1.31	1.86	1.38	2.90	0.06	1.84	0.87
21.00	7.21	6.61	6.30	0.00	0.07	0.49	0.35	0.75	0.55	4.26	1.97	0.11	1.17	2.10	3.70	2.61	3.05	0.87	0.85	0.11	1.99	0.00	1.66
22.00	7.20	6.59	6.30	0.00	0.00	2.46	3.37	1.04	1.32	2.91	2.80	1.30	2.57	1.38	3.96	2.32	3.37	0.82	1.34	0.00	1.84	0.00	1.67
23.00	7.21	6.61	6.30	0.00	0.00	2.57	4.90	0.00	2.14	3.82	1.33	0.46	2.99	0.54	0.82	3.72	3.89	0.78	0.00	0.00	2.10	0.00	1.28
