Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.633s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
2.00	4.98	4.98	4.97	0.00	0.82	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00
3.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	2.14	0.00	0.00	0.00	0.01
4.00	4.99	4.99	4.99	0.00	0.08	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.01
5.00	5.00	5.00	5.00	0.00	1.02	0.00	0.00	1.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	1.66	0.00	0.00	0.00	0.00
6.00	4.99	4.99	4.99	0.00	0.57	0.00	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	5.00	5.00	5.00	0.00	0.06	0.09	0.00	2.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.77	0.00	0.00	0.06	0.68
8.00	5.00	5.00	5.00	0.00	0.01	0.55	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.64	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.00	0.99	0.00
9.00	4.99	4.99	4.99	0.00	0.06	0.51	0.00	5.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.03	0.00	0.00	0.00	0.01
10.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00
11.00	4.99	4.99	4.99	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00
12.00	5.00	5.00	5.00	0.00	2.32	0.47	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.08	0.00	0.00	0.00	0.00	0.00	2.12	0.00	0.00	0.00	0.01
13.00	5.00	5.00	5.00	0.00	2.65	0.81	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	3.21	0.00	0.00	0.00	0.00
14.00	4.99	4.99	4.99	0.00	2.94	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.13	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.02	0.05
15.00	5.00	5.00	5.00	0.00	2.74	2.56	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	4.79	0.00	0.00	0.00	0.00
16.00	4.99	4.99	4.99	0.00	0.20	0.00	0.00	2.91	0.00	0.00	0.00	0.00	0.78	0.00	0.00	0.85	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.31	0.60
17.00	5.00	5.00	5.00	0.00	1.59	0.01	0.00	1.50	0.00	0.00	0.00	0.00	0.29	0.00	0.00	3.20	0.00	0.00	0.00	0.00	0.00	3.71	0.00	0.00	0.15	0.65
18.00	5.00	5.00	5.00	0.00	2.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.25	0.00
19.00	4.99	4.99	4.99	0.00	1.52	0.58	0.00	0.91	0.00	0.00	0.00	0.00	2.36	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00	2.66	0.00	0.00	0.24	0.26
20.00	5.00	5.00	5.00	0.00	1.11	0.00	0.00	3.53	0.00	0.00	0.00	0.00	1.57	0.00	0.00	0.77	0.00	0.00	0.00	0.00	0.00	3.45	0.00	0.00	0.00	0.01
21.00	4.99	4.99	4.99	0.00	0.07	0.02	0.00	5.16	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.02	0.00	0.00	0.00	0.75
22.00	5.00	5.00	5.00	0.00	0.81	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	4.88	0.00	0.00	0.00	3.13
23.00	5.00	5.00	5.00	0.00	0.85	1.33	0.00	3.54	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	5.12	0.00	0.00	0.00	0.07
24.00	4.99	4.99	4.99	0.00	0.99	1.20	0.00	3.46	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	1.70
25.00	5.00	5.00	5.00	0.00	0.49	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	3.31	0.00	0.00	0.21	0.00
26.00	4.99	4.99	4.99	0.00	0.34	0.00	0.00	4.02	0.00	0.00	0.00	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.08	0.00	0.00	0.00	0.95
27.00	5.00	5.00	5.00	0.00	0.01	2.11	0.00	0.60	0.00	0.00	0.00	0.00	0.32	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	2.89	0.00	0.00	0.77	0.92
