Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.671s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
2.00	2.49	2.49	2.49	0.00	0.00	0.00	0.01	0.15	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.04
3.00	2.50	2.50	2.50	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.01	0.00	0.00	0.00	0.00	0.00	0.06	0.00
4.00	2.50	2.50	2.50	0.00	0.00	0.00	0.01	0.03	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	2.50	2.50	2.50	0.00	0.00	0.00	0.30	0.14	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.06	0.00	0.76
6.00	2.50	2.50	2.50	0.00	0.00	0.00	1.54	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.03	0.00	0.00	0.00	0.00	0.00	0.04	0.29	0.35
7.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	0.82	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	1.29	1.85	0.00	0.00	0.00	0.00	0.00	0.39	0.06
8.00	2.50	2.50	2.50	0.00	0.15	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.52
9.00	2.50	2.50	2.50	0.00	2.64	0.00	1.66	2.83	0.00	1.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.83	0.00	0.00	0.00	0.00	0.98	0.27	0.00
10.00	2.50	2.50	2.50	0.00	1.03	0.00	0.00	0.56	2.36	0.03	0.00	0.18	0.00	0.00	0.00	0.00	0.00	1.81	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.22
11.00	2.50	2.50	2.50	0.00	0.00	0.00	0.09	0.91	0.88	1.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.59	0.00	0.00	0.00	0.00	0.15	0.63	0.38
12.00	2.49	2.49	2.49	0.00	0.00	0.00	0.07	0.00	1.96	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.57
13.00	2.50	2.50	2.50	0.00	1.33	0.00	0.18	1.23	0.00	0.00	0.00	0.70	0.00	0.00	0.00	0.00	0.00	0.62	3.09	0.00	0.00	0.00	0.00	0.00	0.00	1.84
14.00	2.50	2.50	2.50	0.00	0.79	0.00	0.90	0.37	0.23	0.37	0.00	1.36	0.00	0.00	0.00	0.74	0.00	0.06	0.27	0.00	0.00	0.00	0.00	0.00	0.52	0.92
15.00	2.50	2.50	2.50	0.00	0.00	0.00	0.75	0.25	1.54	2.58	0.00	0.66	0.00	0.00	0.00	0.00	0.00	1.12	0.34	0.00	0.00	0.00	0.00	0.00	0.03	0.00
