Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.208s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	0.00	0.52	0.78	0.00	1.18	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.74	1.02	0.00	1.99	1.87	0.00	0.00	2.00	1.47	0.00	0.00	0.00	1.81	0.04	0.00
4.00	0.00	0.00	0.01	0.00	1.70	1.75	0.24	0.00	2.00	1.25	0.00	0.00	0.00	1.87	1.11	0.71
5.00	0.00	0.00	0.27	0.00	1.65	1.57	0.52	0.00	2.00	0.72	0.00	0.00	0.00	1.33	0.88	0.12
6.00	0.00	0.00	0.22	0.00	1.14	1.64	1.17	0.98	2.00	2.01	0.00	0.00	0.00	1.80	0.80	0.39
7.00	0.00	0.00	0.01	0.00	1.34	2.16	0.08	1.33	2.00	0.52	0.00	0.00	0.00	1.80	1.86	0.05
8.00	0.00	0.00	0.62	0.00	1.85	1.06	0.15	0.40	1.99	2.01	0.00	0.00	0.00	1.71	0.87	0.72
9.00	0.00	0.00	1.67	0.00	2.00	2.00	1.35	0.89	2.00	1.47	0.00	0.00	0.00	2.01	0.59	0.89
10.00	0.00	0.00	1.50	0.15	1.99	1.73	0.09	0.00	2.00	2.00	0.00	0.00	0.00	1.99	1.08	0.46
11.00	0.00	0.00	0.06	0.15	2.01	2.03	0.21	0.00	2.00	1.71	0.00	0.00	0.00	1.91	0.47	0.15
12.00	0.00	0.00	1.08	0.02	0.88	1.32	0.12	0.00	2.00	1.57	0.00	0.00	0.00	1.48	0.88	0.00
13.00	0.00	0.00	1.58	0.66	2.03	1.65	0.99	1.27	2.00	2.06	0.00	0.00	0.00	2.06	1.66	2.07
14.00	0.00	0.00	1.70	0.00	2.00	1.74	1.83	0.06	1.99	1.98	0.00	0.00	0.00	1.98	1.70	1.74
15.00	0.00	0.00	1.30	0.21	2.00	1.52	0.93	0.04	2.00	1.87	0.00	0.00	0.00	1.99	2.05	0.57
16.00	0.00	0.00	0.97	0.00	1.95	1.90	0.92	0.02	2.00	2.86	0.00	0.00	0.00	1.99	1.88	0.00
17.00	0.00	0.00	0.16	0.16	1.58	1.64	0.47	0.02	2.00	1.53	0.00	0.00	0.00	1.72	1.34	0.32
18.00	0.00	0.00	0.29	0.25	1.53	0.73	0.02	0.07	2.00	1.20	0.00	0.00	0.00	2.00	1.63	0.84
19.00	0.00	0.00	0.64	0.00	1.44	1.32	0.94	0.00	2.00	1.80	0.00	0.00	0.00	1.55	1.26	0.08
20.00	0.00	0.00	0.75	0.15	1.59	1.92	2.07	0.00	1.99	1.50	0.00	0.00	0.00	1.63	0.73	0.12
21.00	0.00	0.00	0.41	0.08	2.00	1.75	1.33	0.00	2.00	1.47	0.00	0.00	0.00	1.97	1.92	0.08
22.00	0.00	0.00	2.00	0.00	2.00	2.17	2.04	0.61	2.00	2.25	0.00	0.00	0.00	2.01	1.88	2.36
23.00	1.26	0.00	0.51	0.00	1.97	1.25	0.71	0.04	2.00	1.02	0.00	0.00	0.00	1.47	0.69	0.74
24.00	0.58	0.00	0.01	0.00	1.48	0.54	1.06	0.00	2.00	2.41	0.00	0.00	0.00	1.61	0.00	0.00
25.00	0.54	0.00	1.77	0.00	1.97	1.01	0.67	0.01	2.00	1.25	0.00	0.00	0.00	1.18	0.65	0.75
26.00	0.19	0.00	0.18	0.00	1.18	0.22	0.28	0.00	1.99	0.52	0.00	0.00	0.00	1.59	0.69	1.02
27.00	0.29	0.00	0.47	0.00	1.22	0.87	1.35	0.00	2.00	2.33	0.00	0.00	0.00	2.06	1.48	0.31
28.00	1.05	0.00	0.05	0.00	1.27	1.45	0.74	0.00	2.00	1.91	0.00	0.00	0.00	1.97	1.25	0.07
29.00	1.10	0.00	0.46	0.00	2.20	1.68	0.74	0.00	2.00	1.71	0.00	0.00	0.00	1.87	1.54	0.04
30.00	1.79	0.00	0.51	0.00	1.75	1.60	0.62	0.00	2.00	1.70	0.00	0.00	0.00	2.01	1.34	0.34
31.00	1.51	0.00	1.37	0.00	1.41	1.12	0.99	0.00	2.00	1.57	0.00	0.00	0.00	0.87	0.77	0.74
32.00	1.51	0.00	0.66	0.00	1.78	1.79	0.69	0.00	1.99	1.53	0.00	0.00	0.00	0.69	0.84	0.00
33.00	0.49	0.00	0.64	0.00	1.53	1.39	0.86	0.00	2.00	1.51	0.00	0.00	0.00	1.52	1.07	0.29
34.00	0.37	0.00	0.89	0.00	1.46	1.35	0.94	0.00	2.00	1.35	0.00	0.00	0.00	0.88	0.88	0.52
35.00	1.58	0.00	0.98	0.00	1.11	1.01	1.34	0.00	2.00	1.60	0.00	0.00	0.00	2.06	1.31	0.24
36.00	0.59	0.00	0.68	0.00	1.75	0.00	0.27	0.00	2.00	1.51	0.00	0.00	0.00	1.70	1.04	0.01
37.00	1.10	0.00	1.51	0.00	1.57	1.68	1.12	0.00	2.00	1.45	0.00	0.00	0.00	1.18	0.00	0.31
38.00	0.79	0.00	0.00	0.00	2.04	2.03	1.48	0.00	1.99	1.94	0.00	0.00	0.00	1.91	0.59	0.24
39.00	0.57	0.00	0.16	0.00	1.50	1.31	1.19	0.00	2.00	1.80	0.00	0.00	0.00	1.17	1.88	0.25
40.00	0.85	0.00	0.00	0.00	0.67	0.35	0.51	0.00	2.00	1.26	0.00	0.00	0.00	1.22	0.39	0.00
41.00	0.79	0.00	0.46	0.00	1.33	0.42	0.58	0.00	2.00	1.10	0.00	0.00	0.00	1.65	0.77	0.00
42.00	1.07	0.00	0.97	0.00	2.00	2.36	0.78	0.00	2.00	1.85	0.00	0.00	0.00	1.81	1.47	0.42
43.00	1.26	0.00	1.22	0.00	1.60	1.47	0.99	0.00	2.00	1.27	0.00	0.00	0.00	1.85	0.92	0.00
44.00	0.40	0.00	0.41	0.00	0.89	0.84	0.04	0.00	1.99	1.05	0.00	0.00	0.00	1.45	0.32	0.51
45.00	0.09	0.00	0.74	0.00	0.92	1.38	0.75	0.00	2.00	1.47	0.00	0.00	0.00	1.00	0.86	0.21
46.00	0.92	0.00	1.12	0.00	1.92	1.35	0.78	0.00	2.00	1.51	0.00	0.00	0.00	1.65	1.74	0.33
47.00	0.21	0.00	0.39	0.00	1.55	0.79	0.45	0.60	2.00	1.59	0.00	0.00	0.00	1.52	1.04	0.00
48.00	0.20	0.00	0.52	0.00	1.53	1.10	1.61	0.00	2.00	1.81	0.00	0.00	0.00	1.50	0.62	0.00
49.00	1.12	0.00	1.31	0.00	1.83	1.60	1.66	0.00	2.00	1.68	0.00	0.00	0.00	1.97	1.25	0.01
50.00	0.84	0.00	0.89	0.00	1.57	0.87	1.04	0.00	2.00	1.52	0.00	0.00	0.00	2.03	1.13	1.00
51.00	0.64	0.00	0.21	0.00	1.63	0.62	0.41	0.31	1.99	1.05	0.00	0.00	0.00	1.67	1.01	0.14
52.00	1.13	0.00	1.15	0.00	1.87	1.68	0.21	0.00	2.00	1.20	0.00	0.00	0.00	1.77	1.74	0.61
53.00	1.67	0.00	0.02	0.00	2.03	1.54	2.10	0.00	2.00	2.03	0.00	0.00	0.00	1.75	1.70	0.00
54.00	0.54	0.00	0.00	0.00	0.74	0.39	0.05	0.00	2.00	1.25	0.00	0.00	0.00	2.00	0.86	1.00
55.00	1.27	0.00	0.78	0.00	1.60	0.44	0.88	0.00	2.00	1.90	0.00	0.00	0.00	1.86	1.11	0.78
56.00	1.44	0.00	0.81	0.00	1.99	1.32	1.07	0.00	2.00	1.47	0.00	0.00	0.00	1.58	1.06	1.68
57.00	0.73	0.00	0.47	0.00	0.67	1.18	0.64	0.00	1.99	1.28	0.00	0.00	0.00	1.52	1.17	0.06
58.00	0.37	0.00	0.15	0.00	1.53	0.39	0.58	0.00	2.00	1.54	0.00	0.00	0.00	1.90	0.86	0.88
59.00	1.67	0.00	0.58	0.00	1.72	1.12	0.26	0.00	2.00	1.08	0.00	0.00	0.00	0.38	0.14	0.21
60.00	0.53	0.00	0.26	0.00	1.10	0.53	0.81	0.00	2.00	1.61	0.00	0.00	0.00	2.00	0.71	0.00
61.00	2.26	0.00	0.00	0.00	2.30	1.65	0.53	0.00	2.00	1.55	0.00	0.00	0.00	1.85	0.31	0.39
62.00	0.57	0.00	0.35	0.00	1.21	1.50	0.58	0.00	2.00	1.79	0.00	0.00	0.00	1.28	1.34	1.47
63.00	0.07	0.00	0.52	0.00	0.99	0.82	0.64	0.00	1.99	0.93	0.00	0.00	0.00	1.88	0.34	0.00
