Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.417s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.09	1.99	0.00	1.15	0.00	0.04	0.29	1.41	0.01	0.00
3.00	0.00	0.00	0.00	1.53	0.00	0.00	0.00	0.00	1.58	2.00	0.00	1.80	0.00	0.84	1.27	1.21	0.00	0.00
4.00	0.00	0.00	0.07	0.33	0.00	0.00	0.00	0.00	0.25	2.00	0.34	0.42	0.00	0.28	0.32	0.78	0.33	0.00
5.00	0.00	0.00	1.10	0.81	0.00	0.00	0.00	0.00	0.04	2.00	0.68	0.69	0.00	0.02	0.05	0.78	0.71	0.00
6.00	0.00	0.00	0.71	1.59	0.00	0.00	0.00	0.00	1.11	2.00	1.25	0.71	0.00	0.91	1.39	0.12	0.92	0.00
7.00	0.00	0.00	0.64	0.60	0.00	0.00	0.00	0.00	0.57	2.00	0.62	0.53	0.00	0.09	0.45	2.43	0.53	0.32
8.00	0.00	0.00	1.28	0.71	0.00	0.00	0.00	0.00	0.16	1.99	1.74	0.58	0.00	0.75	1.34	1.99	0.49	0.31
9.00	0.00	0.00	1.11	0.41	0.00	0.00	0.00	0.00	0.97	2.00	1.00	0.49	0.00	0.21	0.42	1.14	0.27	0.95
10.00	0.00	0.00	0.62	1.06	0.00	0.00	0.00	0.00	0.32	2.00	1.07	0.74	0.00	0.00	0.61	1.30	1.01	1.10
11.00	0.00	0.00	1.02	0.41	0.00	0.00	0.00	0.00	0.58	2.00	0.52	0.64	0.00	0.57	0.57	1.19	0.48	0.00
12.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.60	2.00	1.22	0.72	0.00	0.02	1.58	1.38	0.86	0.31
13.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.40	2.00	0.59	1.58	0.00	0.31	0.62	0.99	0.69	0.07
14.00	0.00	0.00	0.31	0.95	0.00	0.00	0.00	0.00	0.28	1.99	1.14	1.02	0.00	0.00	0.00	0.68	0.00	0.00
15.00	0.00	0.00	0.97	0.66	0.00	0.00	0.00	0.00	0.94	2.00	1.44	0.53	0.00	0.00	0.33	0.45	0.28	0.00
16.00	0.00	0.00	0.25	0.73	0.00	0.00	0.00	0.00	0.12	2.00	1.01	1.10	0.00	0.00	0.89	1.17	0.93	0.48
17.00	0.00	0.00	1.13	0.58	0.00	0.00	0.00	0.00	1.72	2.00	0.14	0.15	0.00	0.87	0.28	1.33	0.00	0.12
18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.42	2.00	0.66	0.01	0.00	0.67	1.63	0.88	0.62	0.31
19.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	1.15	2.00	1.63	0.00	0.00	0.09	0.07	1.99	0.15	0.88
20.00	0.00	0.00	0.94	1.25	0.00	0.00	0.00	0.00	0.86	1.99	0.35	0.75	0.00	0.22	0.04	0.65	0.00	0.29
21.00	0.00	0.00	1.00	0.98	0.00	0.00	0.00	0.00	0.39	2.00	1.00	0.68	0.00	0.04	0.32	1.71	0.55	0.32
22.00	0.00	0.00	1.26	1.14	0.00	0.00	0.00	0.00	1.54	2.00	1.28	0.07	0.00	0.00	0.88	1.53	1.28	1.08
23.00	0.00	0.00	1.06	0.45	0.00	0.00	0.00	0.00	0.46	2.00	1.02	1.14	0.00	0.61	0.40	0.47	1.01	0.00
24.00	0.00	0.00	0.75	0.94	0.00	0.00	0.00	0.00	1.77	2.00	1.33	2.48	0.00	0.08	1.20	1.97	0.95	0.40
25.00	0.00	0.00	1.20	1.34	0.00	0.00	0.00	0.00	1.99	2.00	0.67	0.86	0.00	0.14	1.80	2.00	0.66	0.51
26.00	0.00	0.00	1.47	1.80	0.00	0.00	0.00	0.00	1.75	1.99	1.19	0.25	0.00	0.20	1.85	1.98	0.84	1.67
27.00	0.00	0.00	2.16	0.64	0.00	0.00	0.00	0.00	0.60	2.00	1.53	0.00	0.00	1.10	1.05	1.24	0.49	0.16
28.00	0.00	0.00	0.13	0.99	0.00	0.00	0.00	0.00	1.25	2.00	1.14	0.33	0.00	0.33	0.24	0.88	0.00	0.00
29.00	0.00	0.00	0.31	0.54	0.00	0.00	0.00	0.00	0.58	2.00	0.66	1.01	0.00	0.00	0.44	0.80	0.65	0.00
30.00	0.00	0.00	1.31	0.29	0.00	0.00	0.00	0.00	1.39	2.00	0.62	0.13	0.00	0.00	1.57	1.63	0.62	0.00
31.00	0.00	0.00	0.31	1.47	0.00	0.00	0.00	0.00	1.12	2.00	0.99	0.71	0.00	0.00	0.71	0.92	0.98	0.00
32.00	0.00	0.00	1.10	0.98	0.00	0.00	0.00	0.00	1.42	1.99	1.01	0.88	0.00	1.11	1.79	1.39	0.31	0.00
33.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	2.00	1.14	0.13	0.00	0.00	0.00	1.35	0.45	0.00
34.00	0.00	0.00	0.34	1.17	0.00	0.00	0.00	0.00	0.42	2.00	1.66	0.91	0.00	0.00	0.41	0.78	0.82	0.31
