Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.420s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	0.00	0.00	0.41	1.99	0.00	0.00	0.00
3.00	1.79	1.73	0.00	0.00	2.00	1.38	0.00	0.00
4.00	1.84	1.84	0.00	0.46	2.00	2.07	1.85	1.61
5.00	2.00	2.01	0.00	0.27	2.00	1.88	1.83	0.11
6.00	1.99	1.97	0.35	0.31	2.00	2.00	1.98	0.21
7.00	1.99	1.98	1.84	0.54	2.00	2.00	2.00	0.91
8.00	2.00	1.99	1.99	1.99	1.99	2.00	1.99	1.93
9.00	2.00	2.00	2.01	1.99	2.00	2.00	2.00	1.95
10.00	2.00	1.98	1.95	1.95	2.00	1.95	1.94	1.93
11.00	2.00	2.00	1.34	0.00	2.00	1.86	0.33	0.00
12.00	2.00	1.92	1.88	1.84	2.00	2.01	1.93	0.08
13.00	1.99	1.95	1.65	1.83	2.00	2.00	1.93	0.31
14.00	1.78	1.80	0.45	1.07	1.99	1.79	1.86	0.00
15.00	2.03	1.94	0.39	0.00	2.00	2.04	1.90	0.00
16.00	2.00	2.00	0.77	0.14	2.00	1.80	1.84	0.45
17.00	2.00	2.00	1.79	0.05	2.00	1.86	1.51	1.34
18.00	2.00	1.52	1.88	0.00	2.00	1.87	0.92	0.00
19.00	2.00	1.90	0.47	0.00	2.00	1.67	1.55	0.15
20.00	1.83	1.58	0.58	0.02	1.99	1.79	1.61	0.31
21.00	2.07	1.50	0.75	0.21	2.00	1.90	0.39	0.00
22.00	2.01	2.01	1.98	0.09	2.00	1.95	0.71	0.26
23.00	1.93	1.95	2.00	0.29	2.00	2.00	1.71	0.00
24.00	2.00	2.00	1.99	0.94	2.00	1.99	1.97	1.17
25.00	2.00	1.99	2.00	2.00	2.00	2.00	1.94	2.00
26.00	1.99	2.00	2.00	2.00	1.99	1.99	1.99	1.99
27.00	2.00	2.00	2.00	1.99	2.00	2.00	1.97	2.00
