Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.399s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	1.52	0.00	0.00	0.00	1.99	0.00	1.24	0.00	1.50	0.45
3.00	0.00	1.48	2.00	1.02	0.00	0.80	2.00	1.94	1.22	0.97	0.80	0.00
4.00	1.45	1.83	1.45	0.53	0.00	0.55	2.00	1.88	0.51	0.93	0.16	0.00
5.00	2.00	1.99	2.12	1.95	0.00	0.13	2.00	2.00	0.27	0.13	0.00	0.00
6.00	2.00	1.99	1.63	0.60	0.01	0.01	2.00	1.97	2.54	0.00	0.75	0.22
7.00	1.99	2.00	1.92	0.85	0.18	0.34	2.00	2.00	1.33	0.60	0.59	0.25
8.00	2.00	1.95	1.75	0.59	0.00	0.02	1.99	1.90	1.95	0.00	1.32	0.00
9.00	2.00	2.00	1.98	0.00	0.00	0.06	2.00	2.00	2.00	0.08	1.44	0.00
10.00	2.00	1.98	1.97	1.61	0.18	0.15	2.00	2.00	1.98	0.15	1.12	0.40
11.00	2.00	1.99	2.00	1.92	0.00	0.11	2.00	2.00	1.92	1.59	1.31	0.00
12.00	2.00	1.99	1.33	1.57	0.00	0.15	2.00	1.79	0.95	0.14	0.00	0.00
13.00	1.99	1.93	1.53	1.51	0.00	0.00	2.00	1.94	1.35	0.19	0.29	0.00
14.00	2.00	2.00	1.94	0.53	0.00	0.00	1.99	1.99	2.00	0.00	0.00	0.00
15.00	2.00	2.00	2.00	0.39	0.00	0.00	2.00	2.00	1.83	0.72	0.48	0.00
16.00	1.95	1.92	1.84	0.00	0.00	0.00	2.00	2.00	1.97	0.24	1.35	0.00
17.00	1.98	1.87	1.67	0.85	0.00	0.00	2.00	1.99	1.80	0.01	0.49	0.00
18.00	2.03	2.04	1.80	0.38	0.22	0.00	2.00	2.00	1.97	1.87	0.00	0.20
19.00	1.92	2.00	1.97	0.92	0.29	0.00	2.00	2.00	1.98	1.26	0.41	0.29
20.00	1.98	2.00	1.95	0.00	0.09	0.00	1.99	2.00	1.91	2.17	0.00	0.11
21.00	2.00	1.98	1.93	0.00	0.00	0.00	2.00	2.00	1.98	0.31	0.00	0.00
22.00	0.60	1.54	1.07	0.00	0.00	0.00	2.00	1.61	0.00	0.00	0.00	0.00
23.00	1.93	2.10	2.07	0.00	0.09	0.00	2.00	1.41	2.28	0.78	0.00	0.09
24.00	2.00	2.00	1.83	0.47	0.27	0.00	2.00	1.99	1.65	0.74	0.00	0.28
25.00	2.00	1.94	1.64	0.14	0.00	0.00	2.00	2.00	1.70	0.42	0.00	0.00
26.00	1.88	2.00	1.85	0.65	0.00	0.00	1.99	1.73	1.83	0.31	0.00	0.00
27.00	2.00	2.00	2.00	0.00	0.00	0.00	2.00	1.92	1.46	0.32	0.37	0.00
28.00	2.00	2.00	1.86	0.00	0.06	0.00	2.00	2.00	0.13	0.04	0.14	0.06
29.00	2.00	2.00	1.78	0.97	0.02	0.00	2.00	2.00	1.47	0.92	0.46	0.04
30.00	2.00	1.91	1.31	0.00	0.05	0.00	2.00	1.91	1.80	0.49	0.00	0.04
31.00	1.99	1.99	2.00	0.00	0.00	0.00	2.00	1.99	1.99	2.10	0.82	0.00
32.00	2.00	2.00	1.91	1.07	0.27	0.00	1.99	2.00	1.44	1.30	0.14	0.27
