Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.368s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	0.05	0.00	1.11	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.39	1.07	0.00
3.00	0.00	0.00	1.53	0.00	0.45	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.91	0.44	0.00
4.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.15	0.44	0.01
6.00	0.00	0.00	1.15	0.00	1.01	0.00	0.00	0.38	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.82	0.92	0.00
7.00	0.00	0.00	0.52	0.00	0.92	0.02	0.00	0.34	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.91	1.78	0.00
8.00	0.00	0.00	0.40	0.00	0.27	0.00	0.00	0.35	0.00	1.99	0.00	0.00	0.00	0.00	0.00	1.34	1.06	0.00
9.00	0.00	0.00	1.02	0.00	2.73	0.00	0.00	1.02	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.06	1.12	0.00
10.00	0.00	0.00	0.87	0.00	1.65	0.00	0.00	0.97	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.59	0.45	0.00
11.00	0.00	0.00	0.01	0.00	1.84	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.78	1.78	0.00
12.00	0.00	0.00	0.15	0.00	1.66	0.01	0.00	0.15	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.88	0.00
13.00	0.00	0.00	0.21	0.00	1.90	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.35	1.97	0.00
14.00	0.00	0.00	0.00	0.00	1.54	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	1.34	2.03	0.00
15.00	0.00	0.00	0.31	0.00	1.98	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.12	1.99	0.00
16.00	0.00	0.00	0.68	0.00	1.85	0.00	0.00	0.39	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.48	1.95	0.00
17.00	0.00	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	2.00	0.00	0.01	0.00	0.00	0.00	0.26	1.50	0.00
18.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
19.00	0.00	0.00	1.73	0.00	1.99	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00
20.00	0.00	0.00	0.80	0.00	1.78	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	1.75	0.00
21.00	0.00	0.00	0.92	0.00	0.69	0.00	0.00	0.21	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.50	1.37	0.00
22.00	0.00	0.00	0.55	0.00	1.51	0.01	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.12	1.94	0.00
