Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.402s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.45	0.26	0.69	0.00	1.99	0.00	0.00	1.93
3.00	0.00	0.00	0.00	1.95	2.00	1.94	0.00	2.00
4.00	0.00	0.00	0.00	2.00	2.00	2.00	1.44	2.00
5.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	1.98
6.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
7.00	0.00	0.00	0.00	1.99	2.00	1.99	1.93	2.00
8.00	0.00	0.00	0.00	2.00	1.99	2.00	1.94	2.00
9.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
10.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
11.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	1.98
12.00	0.00	0.00	0.00	2.00	2.00	1.99	1.91	2.00
13.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
14.00	0.00	0.00	0.00	1.99	1.99	2.00	1.88	2.00
15.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	2.00
16.00	0.00	0.00	0.00	2.00	2.00	2.00	1.86	2.00
17.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	1.99
18.00	0.00	0.00	0.00	2.00	2.00	1.99	1.91	2.00
19.00	0.00	0.00	0.00	2.00	2.00	2.00	1.91	2.00
20.00	0.00	0.00	0.00	1.99	1.99	2.00	1.91	1.99
21.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	2.00
22.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	1.99
23.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	1.99
24.00	0.00	0.00	0.00	2.00	2.00	2.00	1.91	2.00
25.00	0.00	0.00	0.00	2.00	2.00	1.99	1.90	1.99
26.00	0.00	0.00	0.00	1.99	1.99	2.00	1.97	2.00
27.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
28.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	2.00
29.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	1.99
30.00	0.00	0.00	0.00	2.00	2.00	1.99	1.88	1.99
31.00	0.00	0.00	0.00	2.00	2.00	2.00	1.86	2.00
32.00	0.00	0.00	0.00	1.99	1.99	2.00	1.94	1.97
33.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	2.00
34.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
35.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	1.99
36.00	0.00	0.00	0.00	2.00	2.00	1.99	1.92	2.00
37.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	2.00
38.00	0.00	0.00	0.00	1.99	1.99	2.00	1.95	2.00
39.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	2.00
40.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	2.00
41.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	2.00
42.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	1.99
43.00	0.00	0.00	0.00	2.00	2.00	1.99	1.97	1.99
44.00	0.00	0.00	0.00	1.99	1.99	2.00	1.93	2.00
45.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
46.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
47.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	1.99
48.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	1.99
49.00	0.00	0.00	0.00	2.00	2.00	1.99	1.88	2.00
50.00	0.00	0.00	0.00	1.99	2.00	2.00	1.91	1.99
51.00	0.00	0.00	0.00	2.00	1.99	2.00	1.87	2.00
52.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	2.00
53.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
54.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	1.99
55.00	0.00	0.00	0.00	2.00	2.00	1.99	1.95	2.00
56.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	2.00
57.00	0.00	0.00	0.00	1.99	1.99	2.00	1.91	2.00
58.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	2.00
59.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	2.00
60.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	1.99
61.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	1.99
62.00	0.00	0.00	0.00	2.00	2.00	1.98	1.88	2.00
63.00	0.00	0.00	0.00	1.99	1.99	2.00	1.90	2.00
64.00	0.00	0.00	0.00	2.00	2.00	2.00	1.86	2.00
65.00	0.00	0.00	0.00	2.00	2.00	2.00	1.86	1.99
66.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
67.00	0.00	0.00	0.00	2.00	2.00	2.00	1.91	1.98
68.00	0.00	0.00	0.00	2.00	2.00	1.99	1.88	1.99
69.00	0.00	0.00	0.00	1.99	1.99	2.00	1.87	2.00
70.00	0.00	0.00	0.00	2.00	2.00	2.00	1.91	2.00
71.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	2.00
72.00	0.00	0.00	0.00	2.00	2.00	2.00	1.88	1.99
73.00	0.00	0.00	0.00	2.00	2.00	1.99	1.95	2.00
74.00	0.00	0.00	0.00	2.00	2.00	1.98	1.93	1.99
75.00	0.00	0.00	0.00	1.99	1.99	1.99	1.87	2.00
76.00	0.00	0.00	0.00	2.00	2.00	2.00	1.87	2.00
77.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	1.99
78.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	2.00
79.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	1.99
80.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	2.00
81.00	0.00	0.00	0.00	1.99	1.99	1.99	1.99	2.00
82.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
83.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
84.00	0.00	0.00	0.00	2.00	2.00	2.00	1.92	1.99
85.00	0.00	0.00	0.00	2.00	2.00	1.99	1.88	2.00
86.00	0.00	0.00	0.00	2.00	2.00	1.99	1.91	1.99
87.00	0.00	0.00	0.00	1.99	1.99	2.00	1.87	2.00
88.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	2.00
89.00	0.00	0.00	0.00	2.00	2.00	2.00	1.90	2.00
90.00	0.00	0.00	0.00	2.00	2.00	2.00	1.87	2.00
