Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.480s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
2.00	0.00	0.00	0.00	0.00	1.99	0.00	1.26	0.00	1.27
3.00	0.00	0.00	0.00	0.00	2.00	1.38	2.21	1.53	0.00
4.00	1.11	1.72	1.79	0.00	2.00	0.29	0.61	0.61	0.49
5.00	1.90	1.93	1.98	0.00	2.00	2.56	0.99	1.38	0.55
6.00	0.00	0.00	0.00	0.00	2.00	2.00	3.05	1.79	1.53
7.00	0.00	0.00	0.00	0.00	2.00	1.99	1.99	1.91	2.00
8.00	0.00	0.00	0.00	0.00	1.99	2.00	2.00	1.93	1.99
9.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	2.00
10.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.94	1.99
11.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
12.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.93	2.00
13.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	1.99
14.00	0.00	0.00	0.00	0.00	1.99	1.99	2.00	1.97	1.99
15.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
16.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.97	1.99
17.00	0.00	0.00	0.00	0.00	2.00	2.00	2.01	1.98	2.00
18.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.94	2.00
19.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
20.00	0.00	0.00	0.00	0.00	1.99	1.99	2.00	1.98	1.99
21.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
22.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	2.00	1.99
23.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
24.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.99	2.00
25.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
26.00	0.00	0.00	0.00	0.00	1.99	1.99	1.99	1.97	2.00
27.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.93	2.00
28.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
29.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	1.99
30.00	0.00	0.00	0.00	0.00	2.00	1.99	1.99	1.95	2.00
31.00	0.00	0.00	0.00	0.00	2.00	2.01	2.00	1.99	2.00
32.00	0.00	0.00	0.00	0.00	1.99	1.99	1.98	2.00	1.99
33.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
34.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	2.00
35.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.94	1.99
36.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	2.00	2.00
37.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.99
38.00	0.00	0.00	0.00	0.00	1.99	1.99	2.00	1.98	1.99
39.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	2.00
40.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	2.00
41.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	1.95
42.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.98	2.00
43.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.99	1.99
44.00	0.00	0.00	0.00	0.00	1.99	1.99	1.99	1.98	2.00
45.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
46.00	0.00	0.00	0.00	0.00	2.00	2.00	1.98	1.94	1.98
47.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.97	2.00
48.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	2.00
49.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	2.00
50.00	0.00	0.00	0.00	0.00	2.00	1.99	2.00	1.98	1.99
51.00	0.00	0.00	0.00	0.00	1.99	2.00	1.99	1.99	2.00
52.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	2.00
