Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.381s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	1.42	1.85	0.00	1.81	1.98	0.00	0.71	0.00
3.00	1.99	2.00	0.00	2.00	2.00	0.00	2.00	0.00
4.00	2.00	2.00	1.79	1.97	2.00	1.95	1.98	1.90
5.00	2.00	1.87	1.77	0.74	2.00	1.77	0.55	0.81
6.00	1.93	1.92	1.67	0.26	2.00	1.77	0.01	0.27
7.00	2.04	1.74	1.99	0.55	2.00	1.85	0.49	1.38
8.00	2.00	2.01	2.01	0.64	1.99	2.01	0.00	0.00
9.00	2.00	2.00	1.92	0.00	2.00	2.00	0.00	0.61
10.00	2.00	2.00	2.00	0.64	2.00	1.99	0.00	0.12
11.00	2.00	2.00	1.94	1.99	2.00	2.01	0.00	1.88
12.00	2.00	2.00	1.98	2.00	2.00	1.99	0.00	1.97
13.00	1.99	1.99	1.98	2.00	2.00	2.00	0.00	1.88
14.00	2.00	1.97	1.80	1.86	1.99	2.00	0.00	1.85
15.00	2.00	2.00	1.93	2.00	2.00	2.00	0.00	1.99
16.00	2.00	2.00	1.91	1.99	2.00	2.00	0.00	2.01
17.00	2.00	1.99	1.93	2.00	2.00	2.00	0.00	1.99
18.00	2.00	2.00	1.93	2.00	2.00	1.98	0.00	2.00
19.00	2.00	1.97	1.80	1.42	2.00	1.98	0.31	1.63
20.00	1.99	1.91	1.77	0.00	1.99	1.83	0.00	0.25
21.00	2.00	2.00	1.86	0.14	2.00	2.00	0.16	0.95
22.00	2.00	2.00	1.95	0.00	2.00	1.86	0.00	0.44
23.00	2.00	2.00	1.81	0.24	2.00	1.99	0.18	0.00
24.00	2.00	2.00	1.99	0.00	2.00	2.00	0.00	0.00
25.00	1.99	1.97	1.78	0.47	2.00	1.79	0.61	1.73
26.00	2.00	1.98	1.99	0.01	1.99	1.99	0.01	2.01
27.00	1.90	1.78	1.79	0.08	2.00	1.52	0.13	1.78
28.00	2.00	2.04	1.98	0.37	2.00	1.98	0.00	2.04
29.00	2.00	2.00	1.87	0.00	2.00	2.00	0.00	1.99
30.00	2.00	1.88	1.73	0.39	2.00	1.90	0.35	1.81
31.00	1.99	1.95	1.94	1.99	2.00	1.95	2.00	1.93
32.00	2.00	1.94	1.81	1.75	1.99	1.95	1.74	1.78
33.00	1.79	1.74	0.59	0.09	2.00	1.84	0.08	0.24
34.00	2.00	1.91	1.92	0.05	2.00	2.00	0.00	0.09
35.00	1.95	1.85	1.91	0.18	2.00	2.00	0.15	0.00
36.00	2.00	1.98	1.98	0.37	2.00	1.99	0.35	0.04
37.00	1.98	1.92	1.17	0.51	2.00	2.00	0.49	0.73
38.00	1.99	1.75	1.60	0.06	1.99	1.98	0.00	0.57
39.00	2.00	2.00	1.88	0.52	2.00	2.00	0.47	1.39
40.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	1.79
41.00	2.00	2.00	1.99	0.00	2.00	2.00	0.00	2.00
42.00	1.93	1.88	0.68	0.13	2.00	1.99	0.16	0.35
43.00	1.97	1.60	1.08	0.04	2.00	1.84	0.00	0.00
44.00	1.90	1.75	1.70	1.05	1.99	1.94	1.05	0.00
45.00	0.66	1.80	1.47	0.55	2.00	1.81	0.15	0.00
46.00	1.94	1.85	1.41	0.31	2.00	1.97	0.01	0.21
47.00	1.91	1.68	1.68	0.04	2.00	1.98	0.25	1.17
48.00	1.99	1.91	1.98	0.18	2.00	2.00	0.21	1.97
49.00	2.01	1.99	2.00	2.00	2.00	2.00	2.00	2.00
50.00	1.99	2.00	2.00	2.00	2.00	1.99	1.99	1.99
51.00	2.00	2.00	2.00	2.00	1.99	2.00	1.99	2.00
52.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
53.00	2.00	2.00	1.92	1.92	2.00	2.00	1.93	1.92
54.00	2.00	2.00	2.07	2.07	2.00	2.00	2.07	2.07
55.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	2.00
56.00	2.00	1.99	2.00	2.00	2.00	1.99	2.00	2.00
57.00	2.00	2.00	2.00	2.00	1.99	2.00	1.99	2.00
58.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00
59.00	2.00	1.99	1.88	0.75	2.00	1.98	0.74	1.65
60.00	1.91	2.00	1.75	0.61	2.00	1.78	0.00	0.55
61.00	1.91	1.80	1.58	0.59	2.00	1.94	0.61	0.04
62.00	2.00	2.00	1.92	1.70	2.00	1.94	1.72	0.39
63.00	1.99	2.00	1.98	0.01	1.99	2.06	0.00	2.06
64.00	2.00	2.00	2.00	0.47	2.00	2.00	0.47	1.99
65.00	1.99	2.00	1.92	0.13	2.00	2.00	0.15	2.00
66.00	2.00	2.00	1.91	0.00	2.00	2.00	0.00	2.00
67.00	2.00	2.00	1.91	0.00	2.00	1.99	0.00	2.00
68.00	1.98	1.99	1.93	0.00	2.00	2.00	0.00	2.00
69.00	1.99	2.00	1.90	0.00	1.99	2.00	0.00	2.00
70.00	2.00	2.00	1.95	0.00	2.00	2.00	0.00	2.00
71.00	2.00	2.00	1.93	0.00	2.00	2.00	0.00	2.00
72.00	2.00	2.00	1.87	0.00	2.00	2.00	0.00	1.99
73.00	2.00	1.99	1.88	0.00	2.00	2.00	0.00	2.00
74.00	2.00	2.00	1.97	0.00	2.00	1.99	0.00	2.00
75.00	1.99	2.00	1.94	0.00	1.99	2.00	0.00	2.00
76.00	2.00	2.00	1.88	0.00	2.00	2.00	0.00	2.00
77.00	2.00	2.00	1.88	0.00	2.00	2.00	0.00	2.00
78.00	2.00	2.00	1.85	0.00	2.00	2.00	0.00	1.99
79.00	2.00	2.00	1.87	0.00	2.00	2.00	0.00	2.00
80.00	2.00	1.99	1.93	0.00	2.00	1.99	0.00	2.00
81.00	1.99	2.00	1.93	0.00	1.99	2.00	0.00	2.00
82.00	2.00	2.00	1.93	0.00	2.00	2.00	0.00	2.00
83.00	2.00	2.00	1.95	0.00	2.00	2.00	0.00	1.99
84.00	2.00	1.99	1.92	0.00	2.00	2.00	0.00	2.01
85.00	2.00	2.01	1.83	0.00	2.00	1.99	0.00	1.99
86.00	2.00	1.99	1.97	0.00	2.00	2.00	0.00	2.00
87.00	1.99	2.00	1.91	0.00	1.99	2.00	0.00	2.00
88.00	2.00	2.00	1.92	0.00	2.00	2.00	0.00	2.00
89.00	2.00	2.00	1.87	0.00	2.00	2.00	0.00	2.00
90.00	2.00	2.00	1.86	0.00	2.00	1.98	0.00	1.99
91.00	2.00	2.00	1.93	0.00	2.00	2.01	0.00	2.00
92.00	2.00	2.00	1.94	0.00	2.00	1.99	0.00	2.00
93.00	1.99	1.99	1.85	0.00	1.99	2.00	0.00	2.00
94.00	2.00	2.00	1.88	0.00	2.00	2.00	0.00	2.00
95.00	2.00	2.00	1.93	0.00	2.00	2.00	0.00	2.00
96.00	2.00	2.00	1.91	0.00	2.00	2.00	0.00	1.99
97.00	2.00	1.99	1.92	0.00	2.00	2.00	0.00	2.00
98.00	2.00	2.00	1.85	0.00	2.00	2.00	0.00	2.00
99.00	1.99	2.00	1.92	0.00	2.00	1.99	0.00	2.00
100.00	2.00	2.00	1.90	0.00	1.99	2.00	0.00	2.00
101.00	1.99	2.00	2.00	0.00	2.00	2.00	0.00	0.04
102.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
103.00	2.00	2.00	2.00	0.00	2.00	1.99	0.00	0.00
104.00	2.00	1.99	1.99	0.00	2.00	2.00	0.00	0.00
105.00	1.99	2.00	2.00	0.00	2.00	1.99	0.00	0.00
106.00	2.00	2.00	2.00	0.00	1.99	2.00	0.00	0.00
107.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
108.00	2.00	2.00	2.00	0.00	2.00	1.99	0.00	0.00
109.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
110.00	2.00	2.00	1.99	0.00	2.00	2.00	0.00	0.00
111.00	2.00	1.99	2.00	0.00	2.00	1.99	0.00	0.00
112.00	1.99	2.00	2.00	0.00	1.99	2.00	0.00	0.00
113.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
114.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
115.00	2.00	2.00	1.99	0.00	2.00	2.00	0.00	0.00
116.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
117.00	2.00	1.99	2.00	0.00	2.00	1.99	0.00	0.00
118.00	1.99	2.00	2.00	0.00	1.99	2.00	0.00	0.00
119.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
120.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
121.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
122.00	2.00	2.00	1.99	0.00	2.00	2.00	0.00	0.00
123.00	2.00	1.99	2.00	0.00	2.00	1.99	0.00	0.00
124.00	1.99	2.00	2.00	0.00	1.99	2.00	0.00	0.00
125.00	2.00	2.00	2.00	0.00	2.00	2.00	0.00	0.00
126.00	1.98	2.00	1.90	2.13	2.00	2.00	1.84	1.84
127.00	2.00	2.00	1.88	1.99	2.00	2.00	1.90	2.00
128.00	1.98	2.00	1.92	1.99	2.00	1.99	1.91	2.92
129.00	2.00	1.99	1.90	2.00	2.00	2.00	1.94	2.00
130.00	1.99	2.00	1.93	2.00	1.99	2.00	1.93	2.00
131.00	1.99	2.00	1.94	2.00	2.00	2.00	1.94	1.99
132.00	2.00	2.00	1.87	2.00	2.00	2.00	1.91	1.99
133.00	2.00	1.99	1.85	1.99	2.00	2.00	1.93	2.00
134.00	1.53	2.00	2.00	1.98	2.00	1.52	1.53	1.92
135.00	0.00	1.99	2.00	2.00	2.00	0.00	0.00	1.98
136.00	0.00	2.00	2.00	2.00	1.99	0.00	0.00	1.98
137.00	0.00	2.00	1.99	2.00	2.00	0.00	0.00	1.98
138.00	0.00	2.00	2.00	1.99	2.00	0.00	0.00	1.97
