Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	0.53	0.46	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.34	0.00	0.72	0.32
3.00	0.19	0.69	0.00	0.00	0.00	0.12	0.00	2.00	0.00	0.00	0.14	0.22	0.01	1.06	0.49
4.00	0.00	1.48	0.00	0.00	0.00	0.00	1.10	2.00	0.00	0.00	0.00	1.64	0.00	0.94	0.46
5.00	0.00	1.02	0.72	0.44	0.00	0.00	1.11	2.00	0.00	0.00	0.00	0.22	0.08	1.11	0.00
6.00	0.00	0.31	1.84	1.61	0.00	0.00	1.52	2.00	0.00	0.00	0.00	0.61	2.47	1.38	0.00
7.00	0.27	0.00	0.86	1.05	0.00	0.14	1.24	2.00	0.00	0.00	0.00	0.55	1.25	1.20	0.48
8.00	0.00	0.59	1.79	1.21	0.00	0.00	1.10	1.99	0.00	0.00	0.49	0.18	0.59	0.51	0.46
9.00	0.15	1.14	1.65	1.58	0.00	0.15	0.85	2.00	0.00	0.00	0.27	1.04	1.32	0.54	0.67
10.00	0.29	0.92	0.79	0.77	0.00	0.29	1.11	2.00	0.00	0.00	0.07	0.86	0.89	0.29	0.00
11.00	0.28	0.60	0.68	0.82	0.00	0.31	0.69	2.00	0.00	0.00	0.21	0.37	0.71	1.32	0.00
12.00	0.00	2.17	0.99	1.39	0.00	0.00	1.17	2.00	0.00	0.00	0.00	0.00	1.77	1.31	0.00
13.00	0.54	0.84	1.70	0.85	0.00	0.58	0.87	2.00	0.00	0.00	0.00	1.02	0.75	1.17	0.00
14.00	0.24	0.72	1.08	1.26	0.00	0.18	0.73	1.99	0.00	0.00	0.00	0.06	1.35	0.68	0.87
15.00	0.00	0.94	0.72	1.53	0.00	0.00	0.98	2.00	0.00	0.00	0.00	0.73	0.42	0.78	0.00
16.00	0.21	1.38	1.74	1.04	0.00	0.00	0.89	2.00	0.00	0.00	0.00	1.21	0.27	0.35	0.46
17.00	0.00	1.12	1.06	1.66	0.00	0.00	1.38	2.00	0.00	0.00	0.00	0.93	1.13	1.25	0.40
18.00	1.06	1.48	0.75	0.75	0.00	0.00	1.75	2.00	0.00	0.00	0.00	1.74	1.48	1.20	0.13
