Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.327s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	1.70	0.00	0.48	0.00	0.00	0.00	1.99	1.01	0.00	0.00	0.00	0.00
3.00	1.99	0.00	0.87	0.38	0.00	0.00	2.00	0.97	0.00	0.00	0.00	0.00
4.00	1.94	1.81	0.65	0.55	0.00	0.00	2.00	0.27	0.95	0.00	0.62	0.08
5.00	1.97	2.03	1.84	0.80	0.29	0.33	2.00	1.93	1.66	0.60	0.04	0.00
6.00	1.92	1.87	1.80	1.65	0.38	0.35	2.00	1.83	1.85	0.13	0.00	0.06
7.00	1.98	1.94	1.92	0.80	0.00	0.00	2.00	1.64	0.42	0.00	0.00	0.00
8.00	2.01	1.99	1.75	0.00	0.00	0.00	1.99	1.75	0.00	0.00	0.00	0.00
9.00	2.00	2.00	0.95	1.54	0.00	0.00	2.00	0.98	0.00	0.35	0.00	0.00
10.00	2.00	2.00	1.84	1.84	0.02	0.02	2.00	1.11	0.00	0.01	0.00	0.00
11.00	1.98	1.95	1.66	0.14	0.26	0.33	2.00	2.23	0.00	0.52	0.00	0.24
12.00	2.00	2.05	1.71	0.53	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
13.00	2.00	1.93	1.97	0.00	0.54	0.52	2.00	0.00	0.00	0.91	0.00	0.39
14.00	2.00	2.00	1.95	0.00	0.45	0.46	1.99	0.00	0.00	1.17	0.00	0.46
15.00	2.00	2.00	1.37	0.31	0.07	0.08	2.00	0.42	0.00	0.05	0.00	0.07
16.00	2.00	2.00	0.82	1.05	0.15	0.06	2.00	0.09	0.00	0.15	0.01	0.13
17.00	2.00	1.94	0.85	0.00	0.48	0.44	2.00	0.00	0.00	0.85	0.00	0.48
18.00	1.99	1.99	1.41	1.42	0.09	0.09	2.00	1.41	1.84	0.02	0.00	0.09
19.00	1.98	1.97	1.93	1.19	0.19	0.20	2.00	1.97	1.99	0.58	0.00	0.37
20.00	1.37	1.35	1.70	0.00	0.00	0.00	1.99	1.72	1.13	0.00	0.00	0.00
21.00	2.00	1.94	1.14	0.00	0.38	0.37	2.00	1.06	0.00	0.41	0.00	0.42
22.00	2.00	2.00	0.16	0.00	0.00	0.00	2.00	0.14	1.17	0.00	0.00	0.00
23.00	2.00	2.00	0.73	0.33	0.12	0.14	2.00	0.62	0.12	0.09	0.19	0.09
24.00	2.00	1.99	1.83	0.00	0.41	0.41	2.00	0.71	0.91	0.44	0.69	0.35
25.00	2.00	2.00	0.58	0.31	0.01	0.01	2.00	0.54	0.09	0.07	0.14	0.21
26.00	1.99	1.86	1.01	0.97	0.00	0.00	1.99	1.01	0.00	0.73	0.00	0.00
27.00	1.92	1.71	1.10	0.84	0.75	0.77	2.00	1.01	0.45	0.72	0.06	0.22
28.00	1.99	1.99	1.19	0.88	0.09	0.06	2.00	0.85	0.00	0.08	0.00	0.07
29.00	1.87	1.91	0.06	0.00	0.00	0.00	2.00	0.05	0.00	0.00	0.00	0.00
30.00	2.00	2.04	1.04	0.55	0.29	0.29	2.00	0.68	0.00	0.32	0.00	0.32
31.00	2.00	1.99	1.02	1.11	0.00	0.00	2.00	0.91	0.00	0.55	0.04	0.00
32.00	1.99	2.00	1.44	1.37	0.00	0.00	1.99	1.45	0.00	0.11	0.00	0.09
33.00	2.00	1.94	0.59	0.00	0.21	0.00	2.00	0.25	0.00	0.48	0.02	0.20
34.00	2.00	1.98	1.00	0.00	0.58	0.60	2.00	0.94	0.00	0.61	0.00	0.62
35.00	2.00	2.00	0.44	0.31	0.00	0.00	2.00	0.44	0.00	0.00	0.00	0.00
36.00	2.00	1.85	0.49	0.19	0.00	0.00	2.00	0.49	0.00	0.49	0.00	0.00
37.00	2.00	1.99	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
38.00	1.90	1.67	1.42	0.00	0.46	0.46	1.99	1.32	0.00	1.12	0.00	0.25
39.00	2.00	1.95	1.77	0.00	0.00	0.00	2.00	1.86	0.00	1.73	0.02	0.00
40.00	1.94	2.00	1.78	0.00	0.00	0.00	2.00	1.77	0.00	0.04	0.00	0.04
41.00	2.00	1.99	1.75	0.00	0.00	0.00	2.00	1.80	0.00	0.12	0.00	0.11
42.00	2.00	2.00	1.94	0.00	0.00	0.00	2.00	2.00	0.00	0.59	0.00	0.55
43.00	1.99	1.99	1.83	0.15	0.00	0.00	2.00	1.91	0.00	0.22	0.00	0.07
44.00	2.00	1.99	1.94	2.04	0.02	0.00	1.99	1.59	0.00	0.02	0.00	0.00
45.00	2.00	2.00	1.78	0.54	0.71	0.72	2.00	1.65	0.00	0.72	0.00	0.67
46.00	1.99	1.83	2.00	2.33	0.07	0.06	2.00	1.86	0.00	0.38	0.00	0.00
47.00	2.00	2.12	1.63	0.40	0.00	0.00	2.00	1.65	0.75	0.29	0.00	0.29
48.00	2.01	1.92	1.87	0.00	0.00	0.00	2.00	1.95	2.01	0.01	0.07	0.01
49.00	1.99	1.85	1.17	0.00	0.00	0.00	2.00	1.15	0.47	0.00	0.00	0.00
50.00	1.99	1.98	1.87	0.00	0.08	0.08	2.00	2.03	2.90	0.09	0.00	0.12
51.00	2.00	2.00	1.94	0.00	0.00	0.00	1.99	2.00	2.00	0.00	0.00	0.00
52.00	2.00	2.00	1.85	0.00	0.00	0.00	2.00	1.91	2.00	0.00	0.00	0.00
53.00	0.72	1.67	1.58	0.00	0.00	0.00	2.00	1.64	0.52	0.39	0.00	0.39
54.00	2.84	1.80	0.58	0.00	0.00	0.00	2.00	0.60	0.31	0.00	0.00	0.00
55.00	1.99	1.67	0.81	0.00	0.00	0.00	2.00	0.81	0.61	0.00	0.00	0.00
56.00	1.99	2.14	2.31	0.00	0.00	0.00	2.00	2.31	1.18	0.00	0.00	0.00
57.00	1.85	1.91	1.20	0.00	0.24	0.24	1.99	1.24	1.58	0.22	0.00	0.22
58.00	2.00	2.00	1.25	1.25	0.00	0.00	2.00	1.25	0.00	0.00	0.00	0.00
59.00	2.00	2.00	1.60	1.34	0.00	0.00	2.00	1.17	0.00	0.13	0.00	0.13
60.00	2.00	2.00	1.98	0.00	0.00	0.00	2.00	2.06	2.21	0.00	0.00	0.00
61.00	2.00	2.00	1.92	0.00	0.00	0.00	2.00	2.00	2.00	0.20	0.00	0.20
62.00	2.00	1.99	1.91	0.00	0.00	0.00	2.00	2.00	0.09	0.15	0.00	0.15
63.00	1.99	1.80	1.74	0.00	0.00	0.00	1.99	1.79	0.00	0.00	0.00	0.00
64.00	2.00	2.05	1.99	0.00	0.00	0.00	2.00	2.07	0.00	0.00	0.00	0.00
65.00	2.00	1.98	1.85	0.09	0.15	0.14	2.00	1.90	1.41	0.01	0.00	0.00
66.00	2.00	1.99	1.91	0.00	0.11	0.11	2.00	1.94	1.99	0.11	0.00	0.11
67.00	2.00	2.00	1.87	0.00	0.00	0.00	2.00	1.95	2.00	0.00	0.00	0.00
68.00	2.00	1.99	1.94	0.00	0.00	0.00	2.00	1.98	1.99	0.00	0.00	0.00
69.00	1.99	1.98	1.92	2.19	0.00	0.00	1.99	1.81	1.90	0.69	0.00	0.68
70.00	2.00	1.90	1.40	1.42	0.00	0.00	2.00	1.27	1.91	0.00	0.00	0.00
71.00	1.90	1.99	1.18	0.93	0.00	0.00	2.00	0.68	1.90	0.00	0.00	0.00
72.00	2.08	1.95	1.52	0.53	0.00	0.00	2.00	1.47	1.71	0.13	0.00	0.18
73.00	2.01	1.91	1.32	1.34	0.00	0.00	2.00	1.34	0.92	0.00	0.00	0.00
74.00	2.00	1.92	1.79	1.37	0.00	0.00	2.00	1.74	0.00	0.00	0.00	0.00
75.00	1.99	2.00	1.97	1.44	0.00	0.00	1.99	1.93	0.00	0.00	0.00	0.00
76.00	2.00	2.00	1.93	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00
77.00	2.00	2.00	1.98	0.08	0.00	0.00	2.00	0.82	0.00	0.11	0.00	0.75
78.00	2.00	1.99	1.93	0.01	0.22	0.24	2.00	1.83	0.00	0.41	0.00	0.45
79.00	1.99	1.79	1.75	0.00	0.00	0.00	2.00	0.12	0.00	0.00	0.00	0.00
80.00	1.99	2.03	2.06	0.00	0.00	0.00	2.00	2.08	0.00	0.00	0.00	0.00
81.00	2.00	2.00	2.00	0.00	0.12	0.11	1.99	2.01	0.00	0.08	0.00	0.00
82.00	2.00	1.99	1.95	0.09	0.19	0.19	2.00	1.55	0.00	0.27	0.00	0.20
83.00	1.99	1.94	1.83	0.32	0.20	0.19	2.00	0.99	0.00	0.37	0.00	0.35
84.00	2.00	2.00	1.93	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00
85.00	2.00	2.00	1.97	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00
86.00	2.00	1.98	1.94	0.00	0.00	0.00	2.00	1.98	0.00	0.00	0.00	0.00
87.00	1.99	2.00	1.93	0.00	0.00	0.00	1.99	2.00	2.28	0.26	0.00	0.27
88.00	2.00	1.98	1.45	0.00	0.00	0.00	2.00	1.41	0.78	0.20	0.00	0.19
89.00	1.99	1.90	1.53	0.00	0.09	0.09	2.00	1.60	0.47	0.27	0.00	0.15
90.00	1.40	1.97	1.94	0.00	0.00	0.00	2.00	1.75	0.88	0.00	0.00	0.00
91.00	2.00	2.00	1.97	0.00	0.00	0.00	2.00	2.14	0.00	0.00	0.00	0.00
92.00	2.00	1.99	1.94	0.00	0.00	0.00	2.00	2.00	0.00	0.15	0.00	0.15
93.00	1.99	2.00	1.79	0.00	0.00	0.00	1.99	1.81	0.00	0.00	0.00	0.00
94.00	2.00	2.00	0.57	0.00	0.07	0.07	2.00	0.53	0.00	0.07	0.00	0.09
95.00	2.00	1.90	2.33	0.12	0.00	0.00	2.00	2.30	0.00	0.00	0.00	0.00
96.00	2.00	1.95	1.74	1.67	0.06	0.06	2.00	1.74	0.00	0.11	0.00	0.07
97.00	2.00	1.99	1.33	1.31	0.06	0.06	2.00	1.42	0.00	0.18	0.00	0.00
98.00	1.93	1.99	2.11	2.13	0.16	0.16	2.00	1.55	0.00	0.18	0.00	0.19
99.00	1.99	2.00	2.04	2.04	0.15	0.16	2.00	0.00	0.00	0.15	0.00	0.14
100.00	2.00	1.83	1.74	0.86	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
101.00	0.97	1.86	1.73	0.00	0.11	0.11	2.00	1.71	0.00	0.20	0.00	0.20
102.00	1.52	1.74	1.70	0.31	0.00	0.00	2.00	1.39	0.00	0.00	0.00	0.00
103.00	2.84	2.00	1.91	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00
104.00	1.99	1.98	1.85	0.00	0.27	0.27	2.00	1.81	0.00	1.58	0.00	1.55
105.00	2.00	2.01	1.57	0.00	0.00	0.00	2.00	1.55	0.00	1.92	0.00	1.94
106.00	2.00	2.00	1.70	0.00	0.00	0.00	1.99	0.78	0.00	0.00	0.00	0.00
107.00	2.00	2.00	2.16	0.00	0.00	0.00	2.00	0.31	0.00	0.00	0.00	0.00
108.00	2.00	2.00	1.91	0.37	0.19	0.16	2.00	2.16	0.00	0.14	0.00	0.12
109.00	1.91	1.99	1.91	1.93	0.00	0.00	2.00	0.99	0.00	0.00	0.00	0.00
110.00	1.54	2.00	2.01	0.77	0.00	0.00	2.00	2.31	0.00	0.00	0.00	0.00
111.00	2.00	1.99	1.95	0.53	0.00	0.00	2.00	2.00	0.00	0.62	0.00	0.64
112.00	1.99	1.98	1.24	0.00	0.00	0.00	1.99	1.27	0.00	0.00	0.00	0.00
113.00	2.00	2.00	1.28	0.89	0.00	0.00	2.00	0.61	0.00	0.14	0.00	0.14
114.00	2.00	2.00	2.00	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.00	0.00
115.00	2.00	1.54	1.35	0.74	0.41	0.41	2.00	0.80	0.00	0.44	0.00	0.05
116.00	2.00	2.17	0.11	0.00	0.00	0.00	2.00	0.06	0.00	0.00	0.00	0.00
117.00	2.00	1.93	1.95	0.31	0.00	0.00	2.00	1.77	0.00	0.92	0.00	0.00
118.00	1.99	2.00	1.86	0.00	0.00	0.00	1.99	1.33	0.00	0.31	0.00	0.00
119.00	1.99	1.99	1.44	1.33	0.00	0.00	2.00	1.30	0.00	0.00	0.00	0.00
120.00	2.00	1.94	0.44	0.88	0.00	0.00	2.00	0.33	0.26	0.00	0.24	0.00
121.00	2.00	1.92	0.28	0.28	0.00	0.00	2.00	0.04	1.97	0.00	1.22	0.07
122.00	2.00	1.90	1.14	0.00	0.27	0.27	2.00	1.14	1.67	0.85	0.89	0.11
123.00	2.00	2.00	1.85	1.37	0.00	0.00	2.00	1.40	1.15	1.15	0.00	0.35
124.00	1.99	2.00	1.99	0.00	0.09	0.08	1.99	0.31	0.49	0.38	0.42	0.00
125.00	2.00	2.00	2.00	0.00	0.01	0.02	2.00	0.00	0.00	0.01	0.00	0.00
126.00	2.00	2.00	2.00	0.00	0.01	0.00	2.00	0.00	0.00	0.01	0.00	0.05
127.00	2.00	2.00	1.97	0.00	0.12	0.13	2.00	2.43	0.00	0.12	0.00	0.13
128.00	2.00	1.99	1.97	0.00	0.42	0.45	2.00	2.00	0.00	0.44	0.00	0.00
129.00	2.00	2.00	1.98	0.00	0.86	0.85	2.00	2.00	0.00	0.86	0.00	0.31
130.00	1.99	2.00	1.81	0.00	0.07	0.08	1.99	1.44	0.15	0.07	0.15	0.06
131.00	1.99	2.00	1.30	0.00	0.06	0.06	2.00	0.26	0.91	0.08	0.00	0.01
132.00	2.01	2.00	0.59	0.00	0.04	0.04	2.00	0.31	0.00	0.01	0.00	0.00
133.00	2.00	1.98	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.58	0.04	0.53
134.00	1.98	1.97	0.05	0.00	0.75	0.74	2.00	0.15	0.00	1.67	0.00	0.25
135.00	2.01	1.75	1.52	0.31	0.24	0.21	2.00	0.15	0.00	0.94	0.00	0.64
136.00	2.00	1.91	0.15	0.00	0.00	0.00	1.99	0.15	0.00	0.00	0.00	0.00
137.00	2.00	1.99	1.06	0.00	0.00	0.00	2.00	0.78	0.00	0.55	0.00	0.00
138.00	2.00	2.01	1.98	0.49	0.00	0.00	2.00	1.88	0.00	0.00	0.00	0.00
139.00	2.00	2.00	2.00	0.00	0.21	0.20	2.00	0.52	0.00	0.28	0.00	0.00
140.00	2.00	1.99	1.66	0.00	0.04	0.00	2.00	0.86	0.00	0.41	0.00	0.91
141.00	2.00	1.99	1.73	0.29	0.00	0.00	2.00	0.97	0.00	0.58	0.00	0.58
142.00	1.99	1.90	0.52	0.05	0.00	0.00	2.00	0.49	0.00	0.00	0.00	0.00
143.00	2.00	1.86	0.81	0.64	0.00	0.00	1.99	0.12	0.00	0.29	0.00	0.31
144.00	2.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
145.00	2.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
146.00	2.00	1.72	0.08	0.08	0.00	0.00	2.00	0.11	1.91	0.53	0.00	0.00
147.00	2.00	1.92	1.39	0.11	0.16	0.16	2.00	0.08	1.22	0.28	0.00	0.00
148.00	1.99	1.92	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
149.00	2.00	1.93	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
