Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.424s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.91	0.35	0.00	0.00
3.00	0.00	0.00	0.00	0.94	0.31	0.00	0.00	2.00	0.00	0.00	1.60	1.98	0.00	0.00
4.00	1.72	0.00	1.21	1.73	0.00	0.00	0.00	2.00	0.00	1.65	0.55	0.00	0.00	0.00
5.00	1.88	1.90	1.10	0.49	0.25	0.09	0.00	2.00	1.74	1.74	0.34	0.06	0.00	0.04
6.00	1.61	1.79	0.99	0.02	0.21	0.09	0.00	2.00	2.01	0.97	0.46	0.19	0.00	0.18
7.00	2.30	1.97	0.00	0.80	0.00	0.00	0.00	2.00	1.99	1.91	0.00	0.00	0.00	0.00
8.00	1.99	2.01	0.31	0.00	0.12	0.08	0.00	1.99	2.00	1.79	0.47	0.18	0.00	0.18
9.00	2.00	1.92	0.06	0.71	0.19	0.19	0.00	2.00	2.00	1.86	0.18	0.24	0.00	0.26
10.00	2.00	2.00	0.00	0.98	0.00	0.00	0.00	2.00	2.00	1.93	0.85	0.00	0.00	0.00
11.00	1.86	1.91	0.27	1.78	0.00	0.00	0.00	2.00	1.80	1.75	1.84	0.59	0.00	0.00
12.00	2.00	2.08	0.06	2.08	0.00	0.00	0.00	2.00	2.01	2.01	2.00	0.00	0.00	0.00
13.00	1.99	2.00	0.01	1.63	0.00	0.00	0.00	2.00	2.00	1.90	0.51	0.15	0.00	0.00
14.00	2.00	2.00	0.00	0.79	0.00	0.00	0.00	1.99	0.82	0.68	1.18	0.00	0.00	0.00
15.00	2.00	1.94	0.00	2.04	0.00	0.00	0.00	2.00	2.25	2.14	0.19	0.00	0.00	0.00
16.00	1.98	1.91	0.00	1.47	0.00	0.00	0.00	2.00	1.93	1.59	0.82	0.00	0.00	0.00
17.00	2.00	1.84	0.00	0.68	0.00	0.00	0.00	2.00	1.93	1.48	0.00	0.00	0.00	0.00
18.00	1.99	1.99	0.00	1.40	0.38	0.38	0.00	2.00	1.99	1.91	0.29	0.20	0.00	0.20
19.00	2.00	2.00	0.61	2.04	0.00	0.00	0.00	2.00	2.00	1.94	1.06	0.02	0.00	0.02
20.00	1.99	1.93	0.72	0.38	0.44	0.42	0.00	1.99	2.00	1.84	0.72	0.20	0.00	0.20
21.00	1.79	1.92	1.44	0.64	0.11	0.09	0.00	2.00	1.91	0.98	1.19	0.09	0.00	0.07
22.00	2.01	1.90	1.90	0.53	0.00	0.00	0.00	2.00	1.83	1.75	1.37	0.58	0.00	0.58
23.00	1.99	1.90	0.02	0.87	0.09	0.13	0.00	2.00	1.98	1.84	0.13	0.00	0.00	0.00
24.00	1.94	1.93	0.28	0.33	0.25	0.26	0.00	2.00	2.08	1.47	0.75	0.00	0.00	0.00
25.00	2.00	1.97	0.00	0.73	0.00	0.00	0.00	2.00	1.99	2.00	0.73	0.12	0.00	0.09
26.00	1.99	1.93	0.00	1.78	0.00	0.00	0.00	1.99	2.00	1.99	1.42	0.48	0.00	0.44
27.00	2.00	2.00	0.00	1.84	0.27	0.27	0.00	2.00	2.00	1.81	1.60	0.00	0.00	0.01
28.00	2.00	1.94	0.00	1.46	0.15	0.13	0.00	2.00	2.00	1.64	1.26	0.00	0.00	0.00
29.00	2.00	2.00	0.00	1.65	0.37	0.37	0.00	2.00	2.00	1.98	1.47	0.73	0.00	0.12
30.00	2.00	1.98	0.00	1.86	0.25	0.26	0.00	2.00	1.98	1.86	0.26	0.00	0.00	0.00
31.00	2.00	1.99	2.48	0.12	0.00	0.00	0.00	2.00	1.95	1.38	0.00	0.22	0.00	0.22
32.00	1.98	1.98	0.71	0.47	0.15	0.15	0.00	1.99	1.98	1.66	0.14	0.32	0.00	0.33
33.00	2.00	2.03	0.00	2.08	0.00	0.00	0.00	2.00	2.01	1.95	1.28	0.00	0.00	0.00
34.00	2.00	2.00	0.00	2.00	0.00	0.00	0.00	2.00	1.99	2.00	0.16	0.28	0.00	0.29
35.00	2.00	2.00	0.00	1.98	0.00	0.00	0.00	2.00	2.00	1.98	0.44	0.00	0.00	0.00
36.00	1.98	1.75	1.73	0.66	0.45	0.00	0.00	2.00	1.94	1.67	0.82	0.19	0.00	0.29
37.00	1.94	2.04	0.07	1.18	0.15	0.15	0.00	2.00	1.54	1.17	0.61	0.00	0.00	0.00
