Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.410s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	1.73	0.00	0.00	1.98	0.00	0.00	1.37	0.00
3.00	1.78	1.77	1.42	1.39	0.04	2.00	1.75	1.68	1.93	0.00
4.00	1.87	1.50	1.38	1.19	0.00	2.00	1.59	1.13	1.79	0.00
5.00	1.99	1.98	2.00	1.99	1.13	2.00	2.03	2.04	2.00	0.00
6.00	1.99	1.91	1.57	0.81	0.41	2.00	1.99	1.28	0.99	0.45
7.00	1.94	1.88	0.27	0.22	0.00	2.00	1.99	0.99	0.14	0.00
8.00	1.93	1.80	0.61	0.61	0.00	1.99	1.99	0.00	0.00	0.00
9.00	1.75	1.79	1.93	0.35	0.27	2.00	2.01	2.20	0.66	0.00
10.00	2.00	2.00	2.00	0.00	0.00	2.00	2.00	1.73	0.00	0.00
11.00	2.00	1.93	1.94	0.35	0.73	2.00	1.95	1.93	0.93	0.24
12.00	1.51	1.87	1.79	1.25	0.24	2.00	1.90	1.92	0.66	0.98
13.00	1.99	1.99	1.65	0.00	0.00	2.00	1.92	1.71	0.79	0.00
14.00	2.00	1.95	1.07	0.95	0.00	1.99	1.74	0.84	0.66	0.00
15.00	1.98	1.93	1.72	0.54	0.00	2.00	1.81	1.68	0.89	0.00
16.00	2.03	1.97	1.97	0.00	0.00	2.00	1.99	1.41	0.31	0.31
17.00	1.98	1.95	1.20	0.00	0.09	2.00	1.84	1.04	0.19	0.00
18.00	1.94	1.77	0.77	1.08	0.00	2.00	1.98	0.62	0.28	0.28
19.00	1.87	1.48	0.24	0.34	0.00	2.00	1.72	0.92	0.25	0.04
20.00	1.60	1.79	1.98	2.54	0.08	1.99	1.98	0.48	0.48	0.35
21.00	1.99	1.99	1.14	0.77	0.02	2.00	1.86	1.39	0.13	0.42
22.00	2.00	2.00	1.39	1.59	0.02	2.00	2.00	2.00	0.08	0.00
23.00	1.99	2.00	2.17	0.00	0.00	2.00	1.90	1.77	0.26	0.99
24.00	2.00	1.99	1.86	1.19	0.51	2.00	2.00	1.68	0.15	0.09
25.00	1.92	1.85	0.46	0.31	0.00	2.00	1.99	1.92	0.00	0.00
26.00	1.98	1.35	1.68	1.21	0.31	1.99	1.90	1.53	0.92	0.01
27.00	2.00	2.10	1.37	0.00	0.00	2.00	1.79	1.74	0.13	0.00
28.00	1.91	1.67	1.88	0.98	1.27	2.00	1.97	1.67	1.61	0.00
29.00	1.97	1.88	0.74	0.14	0.34	2.00	1.80	1.51	0.24	0.02
30.00	2.00	1.98	1.59	0.71	0.38	2.00	1.93	2.03	0.13	0.00
31.00	2.00	1.93	1.58	0.00	0.00	2.00	1.87	1.81	0.00	0.04
32.00	1.97	2.00	1.04	1.05	0.00	1.99	1.99	0.98	0.55	0.15
33.00	2.00	1.86	0.44	0.42	0.00	2.00	1.95	1.81	0.00	0.00
34.00	2.00	1.94	0.14	0.12	0.32	2.00	2.00	1.95	1.12	0.00
35.00	1.71	1.65	0.44	0.31	0.00	2.00	1.86	0.37	0.00	0.00
36.00	1.91	1.91	1.87	0.02	0.31	2.00	1.83	2.21	2.31	0.00
37.00	1.12	2.07	2.05	0.62	0.00	2.00	2.11	1.84	1.57	0.53
38.00	1.99	1.58	1.48	1.94	0.20	1.99	1.95	1.74	0.66	0.00
39.00	2.00	1.80	1.72	0.95	0.04	2.00	2.00	1.33	0.86	0.00
40.00	2.00	1.99	1.67	1.06	0.00	2.00	2.00	1.71	0.00	0.00
41.00	2.00	2.00	2.05	0.38	0.01	2.00	2.00	2.00	0.00	0.00
42.00	2.00	1.84	1.66	0.71	0.02	2.00	1.84	1.81	0.18	0.22
43.00	1.80	1.71	1.52	1.19	0.00	2.00	1.52	1.26	0.21	0.13
44.00	1.86	1.92	0.66	0.67	0.00	1.99	2.04	0.65	0.00	0.00
45.00	2.00	2.03	1.91	2.03	1.92	2.00	2.00	1.97	0.00	0.00
46.00	1.98	1.99	1.80	0.64	0.38	2.00	2.00	1.85	0.07	0.13
47.00	2.03	1.85	1.61	0.00	0.00	2.00	1.93	2.00	0.95	0.00
48.00	1.88	1.92	1.44	0.87	0.00	2.00	1.83	1.21	0.00	0.00
49.00	1.99	1.99	2.00	0.00	0.00	2.00	1.99	1.73	0.31	0.31
50.00	1.99	1.95	0.94	0.51	0.01	2.00	2.00	1.97	0.20	0.31
51.00	1.54	1.77	1.37	1.27	0.00	1.99	1.65	1.28	0.00	0.02
52.00	2.00	1.75	1.24	0.59	0.22	2.00	2.00	0.95	0.05	0.24
53.00	2.00	2.00	1.44	0.94	0.00	2.00	1.90	1.60	0.00	0.48
54.00	2.00	1.93	1.60	1.57	0.06	2.00	1.67	1.46	1.78	0.05
55.00	2.00	1.99	1.17	0.07	0.00	2.00	1.87	1.51	0.31	0.07
56.00	1.95	1.97	1.88	0.00	0.00	2.00	1.97	1.95	0.07	0.28
57.00	2.03	1.94	0.69	0.00	0.00	1.99	1.86	1.51	0.00	0.00
58.00	1.98	1.87	1.72	0.92	0.00	2.00	1.75	0.89	0.00	0.00
59.00	2.03	1.94	0.72	0.53	0.00	2.00	2.00	1.00	0.00	0.00
60.00	1.95	1.65	1.21	0.45	0.00	2.00	1.67	0.84	0.01	0.00
61.00	2.00	1.94	1.17	0.67	0.00	2.00	2.00	1.24	1.11	0.00
62.00	2.00	1.93	0.22	0.00	0.12	2.00	1.77	1.55	0.61	0.27
