Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.398s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	1.83	0.00	0.00	0.00	0.00	1.98	1.88	1.32	0.00	0.00	0.31
3.00	0.00	2.01	1.12	0.00	0.00	0.00	2.00	2.01	1.95	0.15	1.50	0.08
4.00	0.00	1.86	1.57	0.00	0.00	0.05	2.00	1.84	1.53	0.00	0.86	0.07
5.00	0.00	1.98	0.77	0.00	0.00	0.00	2.00	1.86	0.80	0.00	0.73	0.00
6.00	0.00	1.92	0.52	0.00	0.00	0.00	2.00	1.93	0.52	0.59	0.00	0.00
7.00	1.67	1.99	0.45	0.00	0.00	0.00	2.00	1.94	0.46	0.00	0.00	0.00
8.00	1.83	1.84	0.40	0.00	0.00	0.00	1.99	1.99	0.39	0.00	0.00	0.00
9.00	1.61	1.64	0.00	0.00	0.00	0.00	2.00	2.00	0.01	0.31	0.00	0.00
10.00	1.90	1.90	0.53	0.00	0.00	0.02	2.00	2.00	0.61	0.25	0.00	0.04
11.00	1.88	1.93	0.53	0.00	0.00	0.00	2.00	1.74	0.66	0.28	0.00	0.00
12.00	1.20	1.18	0.81	0.00	0.00	0.39	2.00	1.33	0.74	0.00	0.38	0.44
13.00	2.04	2.18	0.81	0.00	0.00	0.14	2.00	2.24	0.77	0.25	0.00	0.14
14.00	1.99	2.00	1.91	0.00	0.00	0.00	1.99	0.95	2.13	0.77	0.00	0.00
15.00	1.93	1.91	0.60	0.00	0.00	0.18	2.00	2.21	0.89	1.73	0.00	0.18
16.00	2.00	1.99	0.92	0.00	0.00	0.18	2.00	2.01	1.18	0.49	0.00	0.19
17.00	1.71	2.00	1.94	0.00	0.00	0.00	2.00	1.95	1.93	0.00	0.44	0.00
18.00	2.00	2.00	1.50	0.00	0.00	0.13	2.00	1.72	1.55	0.00	0.88	0.15
19.00	2.00	1.97	1.48	0.00	0.00	0.84	2.00	1.60	1.52	0.00	0.00	0.81
20.00	2.00	1.99	1.88	0.00	0.00	0.00	1.99	1.99	1.87	0.00	0.00	0.00
21.00	1.91	1.88	1.38	0.00	0.00	0.08	2.00	1.95	1.33	0.00	0.00	0.08
22.00	2.04	2.03	1.44	0.00	0.00	0.00	2.00	1.55	1.52	0.25	0.00	0.00
23.00	1.98	1.98	0.14	0.00	0.00	0.15	2.00	1.94	1.91	1.12	0.00	0.15
24.00	2.00	2.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	0.00	2.04	0.00
25.00	1.61	2.01	0.61	0.00	0.00	0.00	2.00	1.80	1.98	0.00	0.00	0.00
26.00	2.00	2.00	1.48	0.00	0.00	0.25	1.99	2.05	2.04	0.98	0.00	0.27
27.00	1.90	1.94	1.64	0.00	0.00	0.00	2.00	2.00	1.98	0.61	0.18	0.00
28.00	1.99	1.98	0.00	0.00	0.00	0.29	2.00	2.00	2.00	0.00	0.24	0.20
29.00	1.24	1.54	0.00	0.00	0.00	0.86	2.00	2.00	2.03	0.00	0.00	0.86
30.00	1.80	2.36	0.00	0.00	0.00	0.00	2.00	1.99	1.79	0.88	0.37	0.00
31.00	1.98	1.94	0.44	0.00	0.00	0.00	2.00	1.90	1.93	0.00	0.20	0.11
32.00	1.98	1.99	0.31	0.00	0.00	0.13	1.99	2.04	1.80	0.24	0.79	0.14
33.00	1.88	1.94	0.00	0.00	0.00	0.15	2.00	1.95	1.67	1.04	0.00	0.15
34.00	2.00	1.99	1.22	0.00	0.00	0.00	2.00	2.00	2.00	1.20	0.00	0.00
35.00	1.99	1.98	0.00	0.00	0.00	0.00	2.00	2.00	1.99	0.00	0.00	0.00
36.00	0.98	0.98	0.00	0.00	0.00	0.00	2.00	0.94	0.92	0.26	0.00	0.00
37.00	0.64	1.84	0.27	0.00	0.00	0.20	2.00	1.94	0.27	0.21	0.00	0.20
38.00	1.78	1.80	0.00	0.00	0.00	0.19	1.99	1.93	1.83	0.00	0.00	0.19
39.00	1.97	1.99	1.22	0.00	0.00	0.00	2.00	1.99	1.63	0.00	0.73	0.00
40.00	1.25	2.00	1.90	0.00	0.00	0.00	2.00	1.25	1.91	0.84	0.00	0.00
41.00	2.39	1.97	2.01	0.00	0.00	0.00	2.00	2.39	1.98	0.41	0.31	0.00
42.00	2.00	1.98	1.50	0.00	0.00	0.62	2.00	1.95	1.83	0.00	0.42	0.62
43.00	1.72	1.80	1.34	0.00	0.00	0.31	2.00	1.85	1.38	0.00	0.12	0.31
44.00	1.84	1.86	0.00	0.00	0.00	0.33	1.99	1.81	0.71	0.00	0.00	0.32
