Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.474s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	0.00	1.21	0.00	0.12	0.00	0.00	0.00	1.98	0.71	0.13	0.41	0.00	0.00	0.00	0.49	0.51
3.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.00	0.00	2.00	0.99	0.00	0.29	0.00	0.00	0.00	0.40	0.24
4.00	0.00	0.00	0.00	1.87	0.44	0.00	0.00	0.00	1.34	2.00	1.68	0.01	0.00	0.00	0.00	0.00	1.32	0.01
5.00	0.00	0.60	0.00	0.75	0.32	0.00	0.00	0.00	0.65	2.00	0.66	0.00	0.00	0.00	0.00	0.00	0.54	0.38
6.00	0.00	0.00	0.00	1.58	0.26	0.00	0.00	0.04	0.00	2.00	0.21	0.00	0.21	0.11	0.00	0.00	0.68	0.49
7.00	0.00	0.08	0.00	0.31	0.14	0.00	0.00	0.14	0.62	2.00	0.22	0.00	0.21	0.13	0.00	0.29	0.54	0.34
8.00	0.00	0.46	0.00	1.33	0.58	0.00	0.00	0.00	1.00	1.99	1.21	0.00	0.00	0.00	0.00	1.54	0.99	0.64
9.00	0.00	0.31	0.00	1.15	0.05	0.00	0.00	0.00	1.60	2.00	0.16	0.00	0.21	0.09	0.00	1.46	0.68	0.13
10.00	0.00	0.61	0.00	0.20	2.04	0.00	0.00	0.02	0.39	2.00	1.97	0.00	0.04	0.00	0.00	2.01	1.57	0.05
11.00	0.00	0.11	0.00	2.94	0.62	0.00	0.00	0.00	1.78	2.00	1.74	0.00	0.00	0.00	0.00	1.90	1.19	0.59
12.00	0.00	0.00	0.00	1.97	2.79	0.00	0.00	0.01	2.07	2.00	1.74	0.00	0.01	0.00	0.00	1.99	0.40	0.00
13.00	0.00	0.00	0.00	1.55	1.85	0.00	0.00	0.00	1.22	2.00	1.86	0.00	0.00	0.00	0.00	1.60	1.41	0.00
14.00	0.00	0.60	0.00	0.41	0.44	0.16	0.00	0.00	0.58	1.99	0.42	0.00	0.00	0.00	0.00	1.99	1.14	0.31
15.00	0.00	0.74	0.00	1.77	0.35	0.25	0.00	0.00	2.26	2.00	1.14	0.00	0.18	0.11	0.00	0.86	0.60	0.59
16.00	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.00	1.75	2.00	1.90	0.00	0.00	0.00	0.00	0.44	1.65	1.32
17.00	0.00	0.00	0.00	1.65	0.31	0.00	0.00	0.00	1.48	2.00	1.33	0.00	0.00	0.00	0.00	1.50	0.42	0.59
18.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.14	0.00	2.00	0.77	0.00	0.25	0.24	0.00	0.34	0.62	0.00
19.00	0.00	0.00	0.00	1.59	1.59	0.00	0.00	0.00	0.24	2.00	1.94	0.00	0.00	0.00	0.00	1.41	0.32	0.39
20.00	0.00	1.02	0.00	1.99	0.88	0.00	0.00	0.37	1.94	1.99	1.05	0.00	0.28	0.07	0.00	1.51	0.06	0.49
21.00	0.00	0.52	0.00	1.99	0.29	0.00	0.00	0.09	1.55	2.00	0.20	0.00	0.15	0.14	0.00	0.73	0.31	0.22
22.00	0.00	0.00	0.00	1.80	0.77	0.00	0.00	0.00	1.50	2.00	0.55	0.00	0.00	0.00	0.00	1.48	1.53	0.00
23.00	0.00	0.12	0.00	1.65	0.00	0.00	0.00	0.00	1.38	2.00	0.77	0.00	0.00	0.00	0.00	1.52	0.00	1.08
24.00	0.00	0.85	0.00	0.91	0.20	0.00	0.00	0.33	1.71	2.00	2.01	0.00	0.40	0.46	0.00	0.86	1.46	0.11
25.00	0.00	1.44	0.00	1.39	1.02	0.00	0.00	0.00	1.91	2.00	1.26	0.00	0.05	0.00	0.00	2.65	1.67	0.00
26.00	0.00	0.02	0.00	1.98	0.18	0.00	0.00	0.26	0.53	1.99	0.22	0.00	0.59	0.54	0.00	1.00	1.17	0.69
27.00	0.00	0.00	0.00	1.92	0.87	0.00	0.00	0.06	1.32	2.00	1.26	0.00	0.34	0.51	0.00	0.66	1.10	0.00
28.00	0.00	0.61	0.00	1.42	2.37	0.00	0.00	0.00	1.59	2.00	1.52	0.00	0.19	0.12	0.00	1.84	1.57	0.00
29.00	0.00	0.09	0.00	0.88	0.29	0.00	0.00	0.09	1.14	2.00	0.49	0.00	0.22	0.21	0.00	0.33	1.07	0.01
30.00	0.00	0.06	0.00	1.48	0.47	0.00	0.00	0.02	1.00	2.00	0.66	0.00	0.11	0.01	0.00	1.27	1.22	0.84
31.00	0.00	0.00	0.00	0.65	0.13	0.00	0.00	0.00	1.18	2.00	0.46	0.00	0.00	0.00	0.00	0.73	0.53	0.22
32.00	0.00	0.00	0.00	0.12	1.06	0.00	0.00	0.18	1.42	1.99	1.45	0.00	0.12	0.00	0.00	0.52	2.14	1.98
