Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.208s)
CreateVariables () DONE !!!
Creating 24 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	0.00	0.53	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	1.74	0.97	0.00	0.00	0.00	0.00
3.00	1.04	0.72	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.00	0.00	0.00	2.00	0.42	0.00	0.00	0.00	0.00	1.17	0.51	0.00	0.00	0.00	0.00
4.00	1.10	0.61	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.00	0.00	0.00	2.00	0.93	0.00	0.00	0.00	0.00	1.90	1.38	0.00	0.00	0.00	0.00
5.00	0.00	0.81	0.00	0.00	0.00	0.00	2.05	0.00	0.00	0.00	0.00	0.00	2.00	1.13	0.00	0.00	0.00	0.00	1.44	1.39	0.07	0.00	0.00	0.00
6.00	0.00	1.50	0.80	0.37	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	2.00	2.05	0.00	0.00	0.00	0.00	1.50	1.30	0.82	0.00	0.00	0.00
7.00	0.29	0.75	0.87	0.00	0.00	0.00	1.87	0.00	0.00	0.00	0.00	0.00	2.00	1.91	0.00	0.00	0.00	0.00	2.08	0.78	0.49	0.00	0.00	0.00
8.00	0.00	0.18	0.13	0.00	0.51	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.99	2.20	0.00	0.00	0.00	0.00	1.98	2.01	0.07	0.08	0.57	0.00
9.00	1.07	0.00	0.00	0.02	0.05	0.00	1.85	0.00	0.00	0.00	0.00	0.00	2.00	1.77	0.00	0.00	0.00	0.00	2.00	1.91	0.00	0.00	0.28	0.00
10.00	0.00	0.61	0.00	0.00	0.00	0.00	1.67	0.00	0.00	0.00	0.00	0.00	2.00	1.11	0.00	0.00	0.00	0.00	1.78	1.92	0.00	0.00	0.85	0.00
11.00	0.00	0.00	0.00	0.11	0.25	0.00	1.81	0.00	0.00	0.00	0.00	0.00	2.00	0.98	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.20	0.00
12.00	1.77	0.33	0.86	0.24	0.24	0.00	1.58	0.00	0.00	0.00	0.00	0.00	2.00	1.21	0.00	0.00	0.00	0.00	1.44	1.39	0.00	0.00	0.61	0.00
13.00	0.54	0.75	0.68	0.28	0.64	0.00	1.91	0.00	0.00	0.00	0.00	0.00	2.00	1.92	0.00	0.00	0.00	0.00	1.98	1.88	1.01	0.00	0.44	0.00
14.00	0.77	0.09	0.08	0.12	0.00	0.00	1.41	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	1.99	1.98	1.58	0.00	0.57	0.00
15.00	0.57	0.34	0.32	0.32	0.01	0.00	1.70	0.00	0.00	0.00	0.00	0.00	2.00	1.02	0.00	0.00	0.00	0.00	1.87	1.72	1.30	0.00	0.55	0.00
16.00	1.21	0.21	0.38	0.06	0.15	0.00	1.90	0.00	0.00	0.00	0.00	0.00	2.00	2.17	0.00	0.00	0.00	0.00	2.00	1.60	0.65	0.00	0.00	0.00
17.00	1.39	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	2.00	1.39	0.00	0.00	0.00	0.00	0.77	1.24	0.00	0.00	0.00	0.00
18.00	0.57	0.44	0.35	0.13	0.02	0.00	1.71	0.00	0.00	0.00	0.00	0.00	2.00	1.95	0.00	0.00	0.00	0.00	2.39	2.23	0.84	0.00	0.01	0.00
19.00	1.44	0.00	0.00	0.00	0.52	0.00	1.67	0.00	0.00	0.00	0.00	0.00	2.00	1.85	0.00	0.00	0.00	0.00	1.99	1.93	0.46	0.00	0.00	0.00
20.00	0.44	0.37	0.29	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	1.99	0.20	0.00	0.00	0.00	0.00	1.61	1.55	1.01	0.00	0.00	0.00
21.00	1.95	0.01	0.02	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	2.00	2.27	0.00	0.00	0.00	0.00	1.86	1.80	0.25	0.00	0.31	0.00
22.00	2.03	0.01	0.18	0.08	0.11	0.00	2.01	0.00	0.00	0.00	0.00	0.00	2.00	2.06	0.00	0.00	0.00	0.00	1.97	1.94	0.99	0.00	0.22	0.00
23.00	1.54	0.40	0.16	0.00	0.00	0.00	1.47	0.00	0.00	0.00	0.00	0.00	2.00	1.47	0.00	0.00	0.00	0.00	1.91	1.85	0.32	0.00	0.00	0.00
24.00	1.42	0.51	0.41	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	2.00	1.34	0.00	0.00	0.00	0.00	1.93	0.88	0.00	0.00	0.00	0.00
25.00	0.71	0.22	0.27	0.00	0.00	0.00	1.64	0.00	0.00	0.00	0.00	0.00	2.00	2.03	0.00	0.00	0.00	0.00	1.81	0.80	0.61	0.00	0.00	0.00
26.00	0.00	0.64	0.15	0.04	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00	1.99	1.10	0.00	0.00	0.00	0.00	1.73	2.06	0.41	0.00	0.00	0.00
27.00	0.59	0.15	0.00	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.00	2.00	0.52	0.00	0.00	0.00	0.00	1.40	0.26	0.32	0.00	0.00	0.00
28.00	0.97	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00	2.00	1.97	0.00	0.00	0.00	0.00	2.01	0.93	0.53	0.00	0.00	0.00
29.00	0.38	0.40	0.41	0.22	0.47	0.00	2.18	0.00	0.00	0.00	0.00	0.00	2.00	1.66	0.00	0.00	0.00	0.00	1.99	0.72	0.61	0.00	0.00	0.00
30.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80	0.00	0.00	0.00	0.00	0.00	2.00	0.14	0.00	0.00	0.00	0.00	2.00	2.96	2.34	0.00	0.00	0.00
31.00	0.00	0.11	0.06	0.06	0.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00	2.00	0.19	0.00	0.00	0.00	0.00	1.52	1.57	1.28	0.00	0.00	0.00
32.00	1.31	0.51	0.40	0.26	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.00	1.99	0.48	0.00	0.00	0.00	0.00	1.35	1.39	0.64	0.00	0.00	0.00
33.00	1.66	1.57	0.07	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.00	2.00	1.47	0.00	0.00	0.00	0.00	1.87	2.19	0.61	0.00	0.00	0.00
34.00	0.78	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	0.00	0.00	2.00	1.85	0.00	0.00	0.00	0.00	1.88	0.66	0.00	0.00	0.00	0.00
35.00	0.64	0.39	0.41	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	2.00	1.94	0.00	0.00	0.00	0.00	1.54	2.43	0.79	0.00	0.00	0.00
36.00	1.70	0.08	0.19	0.38	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	2.00	1.88	0.00	0.00	0.00	0.00	1.97	1.88	1.11	0.00	0.00	0.00
37.00	1.39	0.66	0.59	0.00	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.00	2.00	1.22	0.00	0.00	0.00	0.00	2.01	1.90	0.61	0.00	0.00	0.00
38.00	1.64	1.33	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.00	0.00	0.00	1.99	1.08	0.00	0.00	0.00	0.00	1.99	1.75	1.20	0.00	0.00	0.00
39.00	1.79	0.15	0.15	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00	2.00	1.33	0.00	0.00	0.00	0.00	1.11	0.13	0.29	0.00	0.00	0.00
40.00	1.01	0.66	0.74	0.60	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	2.45	2.07	0.39	0.00	0.00	0.00
41.00	0.00	0.11	0.09	0.11	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	0.55	0.00	0.00	0.00	0.00	2.03	2.04	2.40	0.00	0.00	0.00
42.00	0.99	0.89	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.48	0.00	0.00	0.00	0.00	1.99	1.92	1.59	0.00	0.00	0.00
43.00	0.31	0.77	0.00	0.00	0.00	0.00	1.66	0.00	0.00	0.00	0.00	0.00	2.00	1.65	0.00	0.00	0.00	0.00	0.74	1.80	1.44	0.00	0.00	0.00
44.00	1.73	0.68	0.15	0.07	0.26	0.00	1.40	0.00	0.00	0.00	0.00	0.00	1.99	0.19	0.00	0.00	0.00	0.00	2.57	1.83	0.97	0.00	0.00	0.00
45.00	0.58	0.04	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	0.00	2.00	1.30	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.00
46.00	1.25	1.48	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	2.00	1.31	0.00	0.00	0.00	0.00	1.83	1.45	1.34	0.00	0.00	0.00
47.00	1.58	0.66	0.28	0.14	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.00	2.00	1.54	0.00	0.00	0.00	0.00	2.00	0.92	0.31	0.00	0.00	0.00
48.00	1.45	0.91	0.00	0.00	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	2.00	1.80	0.00	0.00	0.00	0.00	0.13	0.27	0.21	0.00	0.00	0.00
49.00	1.27	0.94	0.39	0.21	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.00	2.00	2.12	0.00	0.00	0.00	0.00	1.85	1.84	0.79	0.00	0.00	0.00
50.00	0.98	1.38	0.01	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	1.98	1.88	1.75	0.00	0.00	0.00
51.00	0.78	0.71	0.52	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.00	1.99	2.01	0.00	0.00	0.00	0.00	2.00	1.66	1.59	0.00	0.00	0.00
52.00	0.31	0.78	0.12	0.00	0.00	0.00	2.16	0.00	0.00	0.00	0.00	0.00	2.00	1.33	0.00	0.00	0.00	0.00	1.19	1.00	1.01	0.00	0.00	0.00
53.00	0.31	0.25	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00	2.00	1.41	0.00	0.00	0.00	0.00	2.34	1.81	0.01	0.00	0.00	0.00
54.00	0.21	0.33	0.11	0.20	0.00	0.00	1.53	0.00	0.00	0.00	0.00	0.00	2.00	1.53	0.00	0.00	0.00	0.00	1.94	0.75	0.31	0.00	0.00	0.00
55.00	2.90	0.25	0.26	0.00	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	1.97	1.12	1.05	0.00	0.00	0.00
56.00	1.46	0.84	0.61	0.78	0.00	0.00	1.64	0.00	0.00	0.00	0.00	0.00	2.00	1.30	0.00	0.00	0.00	0.00	0.27	0.49	0.25	0.00	0.00	0.00
57.00	0.01	0.67	0.45	0.20	0.00	0.00	0.80	0.00	0.00	0.00	0.00	0.00	1.99	1.45	0.00	0.00	0.00	0.00	0.99	2.73	0.00	0.00	0.00	0.00
58.00	2.56	0.59	0.58	0.40	0.00	0.00	1.84	0.00	0.00	0.00	0.00	0.00	2.00	1.67	0.00	0.00	0.00	0.00	0.73	0.85	0.92	0.00	0.00	0.00
59.00	1.54	0.64	0.41	0.15	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	2.00	1.67	0.00	0.00	0.00	0.00	2.64	0.95	0.77	0.00	0.00	0.00
60.00	1.60	0.66	0.61	0.00	0.00	0.00	1.81	0.00	0.00	0.00	0.00	0.00	2.00	1.67	0.00	0.00	0.00	0.00	1.18	1.41	0.86	0.00	0.00	0.00
61.00	2.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	2.50	1.57	2.14	0.00	0.00	0.00
62.00	0.19	0.55	0.08	0.08	0.00	0.00	1.01	0.00	0.00	0.00	0.00	0.00	2.00	1.84	0.00	0.00	0.00	0.00	1.97	1.80	0.54	0.00	0.00	0.00
63.00	1.39	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.99	1.65	0.00	0.00	0.00	0.00	1.80	1.59	0.00	0.00	0.00	0.00
64.00	1.61	0.00	0.00	0.00	0.00	0.00	1.64	0.00	0.00	0.00	0.00	0.00	2.00	1.91	0.00	0.00	0.00	0.00	2.00	2.14	1.50	0.00	0.00	0.00
65.00	1.47	0.26	0.33	0.25	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.00	2.00	1.53	0.00	0.00	0.00	0.00	1.41	1.25	0.57	0.00	0.00	0.00
66.00	1.45	0.75	0.08	0.08	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.00	2.00	1.37	0.00	0.00	0.00	0.00	2.00	1.92	0.49	0.00	0.00	0.00
67.00	1.59	1.25	0.12	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	0.00	2.00	1.50	0.00	0.00	0.00	0.00	1.99	0.93	0.00	0.00	0.00	0.00
68.00	1.66	0.16	0.19	0.04	0.00	0.00	1.53	0.00	0.00	0.00	0.00	0.00	2.00	1.47	0.00	0.00	0.00	0.00	1.99	2.03	1.37	0.00	0.00	0.00
69.00	1.40	0.31	0.35	0.33	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	1.99	1.98	0.00	0.00	0.00	0.00	1.63	1.54	1.48	0.00	0.00	0.00
70.00	0.85	0.39	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.03	0.00	0.00	0.00	0.00	1.98	0.95	0.74	0.00	0.00	0.00
71.00	2.50	0.26	0.31	0.00	0.00	0.00	1.68	0.00	0.00	0.00	0.00	0.00	2.00	1.66	0.00	0.00	0.00	0.00	1.83	1.63	0.28	0.00	0.00	0.00
72.00	1.00	0.08	0.08	0.33	0.00	0.00	1.20	0.00	0.00	0.00	0.00	0.00	2.00	1.18	0.00	0.00	0.00	0.00	1.45	0.61	0.00	0.00	0.00	0.00
73.00	0.59	0.46	0.47	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00	2.00	1.65	0.00	0.00	0.00	0.00	1.53	0.68	0.84	0.00	0.00	0.00
74.00	1.68	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	2.00	1.33	0.00	0.00	0.00	0.00	1.97	0.94	0.00	0.00	0.00	0.00
75.00	2.00	0.16	0.15	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	2.00	2.00	0.79	0.00	0.00	0.00
76.00	0.93	0.00	0.00	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00	2.00	0.78	0.00	0.00	0.00	0.00	0.98	1.34	0.55	0.00	0.00	0.00
77.00	2.52	0.07	0.02	0.02	0.00	0.00	2.25	0.00	0.00	0.00	0.00	0.00	2.00	2.20	0.00	0.00	0.00	0.00	2.00	1.92	2.06	0.00	0.00	0.00
78.00	1.86	0.00	0.00	0.00	0.00	0.00	2.03	0.00	0.00	0.00	0.00	0.00	2.00	1.73	0.00	0.00	0.00	0.00	1.99	1.98	1.74	0.00	0.00	0.00
79.00	1.15	0.28	0.29	0.28	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	2.00	1.77	0.00	0.00	0.00	0.00	2.01	2.03	1.86	0.00	0.00	0.00
80.00	0.21	0.00	0.00	0.00	0.00	0.00	1.47	0.00	0.00	0.00	0.00	0.00	2.00	1.59	0.00	0.00	0.00	0.00	1.50	1.41	0.89	0.00	0.00	0.00
81.00	2.92	0.27	0.62	0.66	0.00	0.00	2.20	0.00	0.00	0.00	0.00	0.00	1.99	2.08	0.00	0.00	0.00	0.00	1.78	2.14	0.02	0.00	0.00	0.00
82.00	1.90	1.40	0.15	0.21	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	2.00	1.97	0.00	0.00	0.00	0.00	1.84	0.95	0.31	0.00	0.00	0.00
83.00	1.17	1.17	0.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.00	0.00	2.00	1.44	0.00	0.00	0.00	0.00	1.97	1.59	0.89	0.00	0.13	0.00
84.00	1.78	0.39	0.37	0.09	0.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00	2.00	1.64	0.00	0.00	0.00	0.00	1.93	1.86	1.52	0.00	0.00	0.00
85.00	0.98	0.67	0.22	0.04	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.00	2.00	1.11	0.00	0.00	0.00	0.00	1.37	0.78	0.00	0.00	0.00	0.00
