Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.442s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	1.70	0.66	0.00	0.00	0.00
3.00	0.00	0.00	1.84	0.04	0.00	0.00	0.01	2.00	0.00	1.84	0.80	0.00	0.00	0.00
4.00	1.42	0.00	1.50	1.53	0.27	0.00	0.00	2.00	0.00	1.72	0.33	0.01	0.00	0.00
5.00	1.92	0.00	2.03	1.04	0.00	0.34	0.27	2.00	1.84	1.22	0.38	0.25	0.00	0.00
6.00	2.00	1.17	1.66	0.15	0.00	0.01	0.00	2.00	2.00	1.72	0.31	0.00	0.00	0.00
7.00	1.99	1.87	1.74	0.61	0.00	0.00	0.00	2.00	1.90	1.64	0.29	0.00	0.00	0.00
8.00	2.00	1.80	1.78	1.05	0.00	0.00	0.00	1.99	2.00	1.86	0.25	0.00	0.00	0.00
9.00	2.00	2.00	1.71	0.00	0.00	0.00	0.02	2.00	2.00	1.94	0.14	0.44	0.00	0.00
10.00	2.00	2.00	1.68	1.72	0.00	0.00	0.00	2.00	2.00	1.78	0.49	0.00	0.00	0.00
11.00	2.00	2.00	1.90	1.04	0.00	0.00	0.00	2.00	2.00	1.74	0.00	0.00	0.00	0.00
12.00	2.00	1.99	1.88	0.00	0.05	0.00	0.00	2.00	1.90	1.88	0.05	0.00	0.00	0.00
13.00	1.98	2.00	1.90	0.14	0.33	0.00	0.00	2.00	1.98	1.80	0.62	0.00	0.00	0.00
14.00	2.00	2.00	1.72	0.00	0.19	0.00	0.00	1.99	1.93	1.75	0.20	0.00	0.00	0.00
15.00	1.86	1.86	1.73	0.00	0.28	0.00	0.19	2.00	1.84	1.83	0.26	0.24	0.00	0.00
16.00	0.74	0.74	0.47	0.00	0.00	0.06	0.00	2.00	0.27	0.46	0.00	0.01	0.00	0.00
17.00	2.03	2.01	1.97	0.61	0.00	0.15	0.02	2.00	2.33	2.21	0.00	0.00	0.00	0.00
18.00	1.91	1.85	1.95	0.48	0.00	0.00	0.29	2.00	1.98	1.95	1.04	0.29	0.00	0.00
19.00	2.10	2.06	1.70	0.20	0.00	0.27	0.48	2.00	2.00	2.04	0.41	0.47	0.00	0.00
20.00	1.99	2.00	2.00	0.00	0.00	0.00	0.00	1.99	2.00	2.00	0.18	0.18	0.00	0.00
21.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00
22.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00
23.00	2.00	2.00	1.95	0.00	0.00	0.00	0.09	2.00	2.00	1.99	0.11	0.11	0.00	0.00
24.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	2.00	1.99	1.99	0.24	0.00	0.00	0.00
25.00	2.00	1.95	1.94	0.27	0.00	0.00	0.00	2.00	2.00	1.87	0.02	0.00	0.00	0.00
26.00	1.99	1.99	2.00	0.00	0.00	0.00	0.00	1.99	2.00	2.00	0.00	0.00	0.00	0.00
27.00	2.00	2.00	1.94	0.00	0.00	0.00	0.00	2.00	1.99	2.00	0.00	0.00	0.00	0.00
28.00	2.00	1.91	1.95	0.72	0.08	0.00	0.00	2.00	2.00	1.86	0.29	0.00	0.00	0.00
29.00	2.00	2.00	1.98	0.34	0.00	0.46	0.00	2.00	2.00	1.99	0.00	0.00	0.00	0.00
