Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.332s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
2.00	1.48	1.97	1.99	1.98
3.00	2.00	2.00	2.00	2.00
4.00	2.00	2.00	2.00	2.00
5.00	2.00	2.00	2.00	2.00
6.00	1.99	2.00	2.00	1.99
7.00	2.00	1.99	2.00	2.00
8.00	2.00	2.00	1.99	2.00
9.00	2.00	2.00	2.00	2.00
10.00	2.00	2.00	2.00	2.00
11.00	2.00	2.00	2.00	2.00
12.00	2.00	2.00	2.00	1.99
13.00	1.99	1.99	2.00	2.00
14.00	2.00	2.00	1.99	2.00
15.00	2.00	2.00	2.00	2.00
16.00	2.00	2.00	2.00	2.00
17.00	2.00	2.00	2.00	2.00
18.00	1.99	2.00	2.00	2.00
19.00	2.00	2.00	2.00	1.99
20.00	2.00	1.99	1.99	2.00
21.00	2.00	2.00	2.00	2.00
22.00	2.00	2.00	2.00	2.00
23.00	2.00	2.00	2.00	2.00
24.00	1.99	2.00	2.00	2.00
25.00	2.00	2.00	2.00	1.99
26.00	2.00	1.99	1.99	2.00
27.00	2.00	2.00	2.00	2.00
28.00	2.00	2.00	2.00	2.00
29.00	2.00	2.00	2.00	2.00
30.00	2.00	2.00	2.00	1.99
31.00	1.99	2.00	2.00	2.00
32.00	2.00	1.99	1.99	2.00
33.00	2.00	2.00	2.00	2.00
34.00	2.00	2.00	2.00	2.00
35.00	2.00	2.00	2.00	2.00
36.00	2.00	2.00	2.00	1.99
37.00	1.99	2.00	2.00	2.00
38.00	2.00	1.99	1.99	2.00
39.00	2.00	2.00	2.00	2.00
40.00	2.00	2.00	2.00	2.00
41.00	2.00	2.00	2.00	2.00
42.00	2.00	2.00	2.00	1.99
43.00	1.99	2.00	2.00	2.00
44.00	2.00	1.99	1.99	2.00
45.00	2.00	2.00	2.00	2.00
46.00	2.00	2.00	2.00	2.00
47.00	2.00	2.00	2.00	2.00
48.00	2.00	2.00	2.00	2.00
49.00	1.99	2.00	2.00	2.00
50.00	2.00	1.99	2.00	1.99
51.00	2.00	2.00	1.99	2.00
52.00	2.00	2.00	2.00	2.00
53.00	1.99	2.00	2.00	2.00
54.00	2.00	2.00	2.00	2.00
55.00	1.99	2.00	2.00	2.00
56.00	2.00	1.99	2.00	1.99
57.00	2.00	2.00	1.99	2.00
58.00	2.00	2.00	2.00	2.00
59.00	2.00	2.00	2.00	2.00
60.00	2.00	2.00	2.00	2.00
61.00	1.99	2.00	2.00	2.00
62.00	2.00	2.00	2.00	1.99
63.00	2.00	1.99	1.99	2.00
64.00	2.00	2.00	2.00	2.00
65.00	2.00	2.00	2.00	2.00
66.00	2.00	2.00	2.00	2.00
67.00	2.00	2.00	2.00	1.99
68.00	1.99	2.00	2.00	2.00
69.00	2.00	1.99	1.99	2.00
70.00	2.00	2.00	2.00	2.00
71.00	2.00	2.00	2.00	2.00
72.00	2.00	2.00	2.00	2.00
73.00	1.99	2.00	2.00	2.00
74.00	2.00	2.00	2.00	1.99
75.00	2.00	1.99	1.99	2.00
76.00	2.00	2.00	2.00	2.00
77.00	2.00	2.00	2.00	2.00
78.00	2.00	2.00	2.00	2.00
79.00	2.00	2.00	2.00	2.00
80.00	1.99	2.00	2.00	1.99
81.00	2.00	1.99	1.99	2.00
82.00	2.00	2.00	2.00	2.00
83.00	2.00	2.00	2.00	2.00
84.00	2.00	2.00	2.00	2.00
85.00	1.99	2.00	2.00	2.00
86.00	2.00	2.00	2.00	1.99
87.00	2.00	1.99	1.99	2.00
88.00	2.00	2.00	2.00	2.00
89.00	2.00	2.00	2.00	2.00
90.00	2.00	2.00	2.00	2.00
91.00	1.99	2.00	2.00	2.00
92.00	2.00	2.00	2.00	2.00
93.00	2.00	1.99	1.99	1.99
94.00	2.00	2.00	2.00	2.00
95.00	0.02	0.02	2.00	2.00
96.00	0.00	0.00	2.00	2.00
97.00	0.00	0.00	2.00	2.00
98.00	0.00	0.00	2.00	2.00
99.00	0.00	0.00	2.00	1.99
100.00	0.00	0.00	1.99	2.00
101.00	0.00	0.00	2.00	2.00
102.00	0.00	0.00	2.00	2.00
103.00	0.00	0.00	2.00	0.55
104.00	0.00	0.00	2.00	1.39
105.00	0.00	1.65	2.00	1.93
106.00	0.00	1.99	1.99	1.78
107.00	0.00	2.00	2.00	1.77
108.00	0.00	2.00	2.00	1.75
109.00	0.00	2.00	2.00	1.85
110.00	0.00	2.00	2.00	1.75
111.00	0.00	1.99	2.00	1.79
112.00	0.00	2.00	1.99	1.81
113.00	0.00	2.00	2.00	1.81
114.00	0.00	2.00	2.00	1.80
115.00	0.54	1.99	2.00	1.81
116.00	2.00	1.99	2.00	1.85
117.00	2.00	2.00	2.00	1.87
118.00	2.00	2.00	1.99	1.85
119.00	2.00	2.00	2.00	1.84
120.00	2.00	2.00	2.00	1.83
121.00	1.99	2.00	2.00	1.90
122.00	1.99	2.00	2.00	1.86
123.00	2.00	1.99	2.00	1.83
124.00	2.00	2.00	1.99	1.86
125.00	2.00	2.00	2.00	1.87
126.00	2.00	2.00	2.00	1.83
127.00	2.00	2.00	2.00	1.86
128.00	1.99	1.99	2.00	1.86
129.00	2.00	2.00	2.00	1.86
130.00	2.00	2.00	1.99	1.84
131.00	2.00	2.00	2.00	1.86
132.00	2.00	2.00	2.00	1.86
133.00	2.00	2.00	2.00	1.84
134.00	2.00	1.99	2.00	1.87
135.00	1.99	2.00	2.00	1.80
136.00	2.00	2.00	1.99	1.80
137.00	2.00	2.00	2.00	1.83
138.00	2.00	2.00	2.00	1.80
139.00	2.00	2.00	2.00	1.83
140.00	1.99	2.00	2.00	1.80
141.00	2.00	1.99	2.00	1.84
142.00	2.00	2.00	2.00	1.85
143.00	2.00	2.00	1.99	1.84
144.00	2.00	2.00	2.00	1.81
145.00	2.00	2.00	2.00	1.85
146.00	1.99	2.00	2.00	1.79
147.00	2.00	1.99	2.00	1.83
148.00	2.00	2.00	2.00	1.80
149.00	2.00	2.00	1.99	1.81
150.00	2.00	2.00	2.00	1.84
151.00	2.00	1.99	2.00	1.86
152.00	1.99	2.00	2.00	1.84
153.00	2.00	1.99	2.00	1.81
154.00	2.00	2.00	2.00	1.83
155.00	2.00	2.00	1.99	1.87
156.00	2.00	2.00	2.00	1.87
157.00	2.00	2.00	2.00	1.81
158.00	2.00	1.99	2.00	1.79
159.00	1.99	2.00	2.00	1.81
160.00	2.00	1.99	2.00	1.86
161.00	2.00	2.00	1.99	1.83
162.00	2.00	2.00	2.00	1.84
163.00	2.00	2.00	2.00	1.80
164.00	2.00	2.00	2.00	1.86
165.00	2.00	1.99	2.00	1.79
166.00	1.99	2.00	2.00	1.83
167.00	2.00	2.00	1.99	1.86
168.00	2.00	2.00	2.00	1.84
169.00	2.00	2.00	2.00	1.84
170.00	2.00	2.00	2.00	1.83
171.00	1.99	2.00	2.00	1.83
172.00	2.00	1.99	2.00	1.81
173.00	2.00	2.00	1.99	1.87
174.00	2.00	2.00	2.00	1.83
175.00	1.99	1.99	2.00	1.84
176.00	2.00	2.00	2.00	1.85
177.00	1.99	2.00	2.00	1.84
178.00	2.00	1.48	2.00	1.88
179.00	2.00	0.00	1.99	2.00
10.1.1.1	1.80	1801.29
10.1.1.2	1.90	1245.83
10.2.1.2	2.04	8.11
10.1.1.4	1.96	1484.55
