Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.339s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	0.00	0.00	0.00	1.83	1.99	1.78	1.26	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	1.90	2.00	1.94	0.54	0.00	1.31	0.00
4.00	1.17	0.00	1.72	0.00	0.00	1.68	2.00	0.35	0.00	1.15	1.42	0.48
5.00	0.29	0.00	0.38	0.00	0.00	0.80	2.00	1.18	0.06	0.86	0.98	1.04
6.00	1.60	0.00	1.68	0.69	0.00	1.73	2.00	0.59	0.47	1.10	0.58	1.00
7.00	1.86	0.00	1.79	1.94	0.00	2.05	2.00	2.01	0.78	2.04	2.31	2.11
8.00	0.45	0.00	1.79	1.00	0.00	1.13	1.99	1.21	0.52	0.86	1.68	1.31
9.00	0.16	0.00	1.64	0.97	0.00	1.75	2.00	0.55	0.31	1.52	1.61	1.21
10.00	1.77	0.00	1.47	2.10	0.00	1.90	2.00	2.12	0.18	1.93	1.92	1.54
11.00	0.00	0.00	1.91	1.86	0.00	1.63	2.00	1.86	0.00	1.79	1.66	1.81
12.00	0.00	0.00	1.50	1.67	0.00	1.93	2.00	1.71	0.91	1.44	1.87	1.93
13.00	0.20	0.00	1.60	1.66	0.00	1.48	2.00	1.33	0.41	1.45	1.24	1.33
14.00	1.18	0.00	0.06	0.68	0.00	1.58	1.99	1.48	0.67	1.47	1.61	1.42
15.00	1.42	0.00	1.84	1.20	0.00	2.00	2.00	1.97	1.07	2.00	2.00	1.93
16.00	1.27	0.00	1.72	0.00	0.00	1.92	2.00	1.39	1.33	1.35	1.55	1.44
17.00	0.57	0.00	1.19	1.64	0.00	1.51	2.00	1.40	0.44	1.22	1.67	1.52
18.00	0.00	0.00	0.74	0.00	0.00	1.00	2.00	0.68	0.00	0.92	1.07	1.15
19.00	0.28	0.00	1.34	0.95	0.00	1.54	2.00	1.66	0.18	1.37	0.18	0.49
20.00	0.33	0.00	1.46	1.34	0.00	1.80	1.99	0.99	0.13	1.45	1.61	0.12
21.00	0.00	0.00	2.03	1.06	0.00	1.94	2.00	2.18	0.61	1.53	1.73	0.31
22.00	1.64	0.00	2.00	1.20	0.00	1.93	2.00	1.93	1.37	1.91	1.87	1.92
23.00	1.99	0.00	2.00	1.20	0.00	1.99	2.00	1.93	1.99	1.99	2.00	1.95
24.00	2.00	0.00	2.00	2.00	0.00	2.00	2.00	2.01	2.00	2.00	1.99	1.99
25.00	1.99	0.00	2.00	2.00	0.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00
26.00	0.66	0.00	1.86	1.68	0.00	1.86	1.99	1.73	1.73	1.94	1.67	1.77
27.00	1.98	0.00	2.05	2.21	0.00	2.00	2.00	2.24	2.00	2.00	2.17	2.04
28.00	1.94	0.00	2.00	2.00	0.00	1.98	2.00	1.98	1.99	1.99	1.99	1.99
29.00	1.10	0.00	0.66	1.01	0.00	0.84	2.00	0.91	0.18	0.92	0.82	0.72
30.00	0.00	0.00	1.67	0.92	0.00	2.10	2.00	1.27	0.34	1.51	1.71	1.07
31.00	0.12	0.00	1.64	0.60	0.00	1.91	2.00	1.80	0.88	1.90	1.38	1.73
