Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.325s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	0.09	0.00	0.45	0.28	0.00	0.00	0.00	1.99	0.49	0.00	0.00	0.00	0.28	1.38	0.06	0.00
3.00	0.00	0.00	0.61	0.20	1.54	0.35	0.00	0.00	0.00	2.00	1.15	0.00	0.00	0.00	0.80	1.17	1.47	0.00
4.00	0.00	0.00	0.68	0.05	0.58	0.13	0.00	0.00	0.00	2.00	0.71	0.00	0.00	0.00	0.07	0.72	1.07	0.00
5.00	0.00	0.00	0.79	0.00	0.74	0.32	0.00	0.00	0.01	2.00	0.52	0.00	0.00	0.00	0.87	0.49	0.34	0.04
6.00	0.00	0.00	0.31	0.05	0.32	0.15	0.00	0.00	0.00	2.00	0.31	0.00	0.00	0.00	1.21	0.31	0.93	0.46
7.00	0.02	0.00	0.00	0.85	0.51	0.72	0.00	0.00	0.00	2.00	1.21	0.00	0.00	0.00	0.19	1.13	0.69	0.78
8.00	0.18	0.00	1.11	0.25	0.28	0.44	0.00	0.00	0.00	1.99	0.69	0.00	0.00	0.00	1.52	0.84	1.25	0.53
9.00	0.61	0.00	0.99	0.21	1.73	0.21	0.00	0.00	0.00	2.00	1.07	0.00	0.00	0.00	1.02	0.67	0.41	0.38
10.00	0.04	0.00	0.44	0.33	1.54	0.00	0.00	0.00	0.00	2.00	1.17	0.00	0.00	0.00	0.42	2.03	1.38	0.55
11.00	0.12	0.00	0.48	3.49	0.84	0.51	0.00	0.00	0.00	2.00	1.46	0.00	0.00	0.00	0.26	1.81	1.01	0.58
