Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.406s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	0.00	1.46	0.00	0.00	0.48	0.25	0.00	1.99	1.83	1.55	1.02	0.00	0.06	0.00
3.00	0.00	1.95	1.70	0.00	0.45	0.25	0.00	2.00	1.99	1.71	1.33	0.00	0.20	0.24
4.00	0.00	1.94	1.91	0.00	0.51	0.00	0.15	2.00	1.99	1.85	1.30	0.00	0.00	0.00
5.00	0.00	1.97	1.67	0.00	0.05	0.05	0.06	2.00	2.00	1.73	1.97	0.00	0.00	0.06
6.00	0.00	2.00	1.88	0.00	0.05	0.05	0.00	2.00	1.67	1.53	1.25	0.00	0.02	0.00
7.00	0.00	1.99	1.47	0.00	0.48	0.00	0.51	2.00	2.06	2.10	0.40	0.00	0.00	0.00
8.00	0.00	2.00	1.55	0.00	0.62	0.00	0.65	1.99	0.73	0.72	0.13	0.00	0.00	0.00
9.00	0.00	1.97	1.73	0.00	0.14	0.00	0.24	2.00	1.99	1.77	1.95	0.00	0.00	0.00
10.00	0.00	1.71	1.21	0.00	0.21	0.02	0.34	2.00	1.74	1.24	1.01	0.01	0.02	0.02
11.00	0.00	2.00	0.58	0.00	0.45	0.00	0.35	2.00	2.00	0.69	1.61	0.13	0.00	0.00
12.00	0.00	1.99	1.01	0.00	0.00	0.44	0.00	2.00	2.00	1.88	0.87	0.06	0.06	0.06
13.00	0.00	2.00	2.32	0.00	2.45	0.16	0.00	2.00	1.99	1.98	1.86	0.14	0.16	0.11
14.00	0.00	1.91	1.92	0.00	1.59	0.05	0.00	1.99	2.00	1.72	1.66	0.08	0.07	0.05
15.00	0.00	2.00	2.00	0.00	1.53	0.13	0.00	2.00	2.00	1.98	1.85	0.12	0.11	0.12
16.00	0.00	1.91	1.78	0.00	0.22	0.00	0.00	2.00	1.93	1.74	1.54	0.00	0.00	0.00
17.00	0.00	2.00	1.91	0.00	0.66	0.00	0.00	2.00	2.00	1.94	1.46	0.00	0.00	0.00
18.00	0.00	1.94	0.98	0.00	0.00	0.00	0.00	2.00	1.94	0.74	0.71	0.00	0.00	0.00
19.00	0.00	1.95	1.18	0.00	0.33	0.07	0.00	2.00	2.01	2.01	0.48	0.08	0.08	0.07
20.00	0.00	2.00	1.83	0.00	0.00	0.00	0.00	1.99	1.99	2.00	1.17	0.00	0.00	0.00
21.00	0.00	2.00	1.99	0.00	0.29	0.00	0.00	2.00	2.00	1.77	1.22	0.00	0.00	0.00
22.00	0.00	1.98	1.90	0.00	0.95	0.00	0.00	2.00	1.99	1.81	1.28	0.00	0.00	0.00
23.00	0.00	2.00	1.71	0.00	0.00	0.00	0.00	2.00	2.00	1.81	0.84	0.00	0.00	0.00
24.00	0.00	2.00	2.01	0.00	0.32	0.00	0.00	2.00	2.00	1.97	2.00	0.00	0.00	0.00
25.00	0.00	1.99	2.00	0.00	0.78	0.00	0.00	2.00	2.00	2.00	2.03	0.00	0.00	0.00
26.00	0.00	1.98	1.47	0.00	0.94	0.08	0.00	1.99	1.99	1.72	1.32	0.06	0.06	0.05
27.00	0.00	2.00	1.97	0.00	0.00	0.00	0.00	2.00	2.00	1.45	0.99	0.00	0.00	0.00
28.00	0.00	2.00	1.93	0.00	0.08	0.08	0.00	2.00	1.99	1.57	1.59	0.08	0.08	0.06
29.00	0.00	1.97	2.00	0.00	0.41	0.00	0.00	2.00	2.01	1.93	1.30	0.00	0.00	0.00
30.00	0.00	1.95	1.85	0.00	0.91	0.00	0.00	2.00	2.00	1.84	0.87	0.00	0.00	0.00
31.00	0.00	2.00	1.81	0.00	1.58	0.07	0.00	2.00	2.00	1.87	0.87	0.08	0.08	0.07
32.00	0.00	2.00	1.66	0.00	0.77	0.29	0.00	1.99	1.99	1.92	1.61	0.06	0.32	0.26
33.00	0.00	1.93	1.98	0.00	1.02	0.00	0.02	2.00	2.00	1.59	1.12	0.00	0.00	0.00
