Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.290s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
2.00	0.00	0.00	0.00	1.13	1.98	0.00	0.00	1.52	0.00
3.00	0.00	0.00	0.00	1.40	2.00	0.00	0.00	1.27	0.89
4.00	0.00	1.79	0.00	0.58	2.00	1.13	0.00	0.92	0.71
5.00	0.54	1.50	0.00	0.92	2.00	2.16	0.00	0.84	0.08
6.00	1.63	1.05	0.60	0.97	2.00	1.42	0.00	0.61	0.00
7.00	0.22	2.44	1.81	0.73	2.00	2.33	0.00	1.08	1.77
8.00	0.65	1.93	0.16	0.91	1.99	1.30	0.00	0.69	0.95
9.00	1.14	0.68	0.46	1.00	2.00	1.58	0.00	2.96	0.91
10.00	0.80	0.44	0.22	0.53	2.00	1.63	0.00	0.79	0.05
11.00	0.37	1.50	0.74	0.64	2.00	0.38	0.00	0.05	0.13
12.00	0.14	1.34	0.91	2.71	2.00	2.16	0.59	1.63	1.28
13.00	0.02	0.00	0.00	0.54	2.00	0.79	0.32	0.08	0.86
14.00	0.52	2.03	0.69	1.12	1.99	0.38	0.55	2.12	0.77
15.00	1.60	1.35	1.50	0.84	2.00	0.82	0.67	1.24	0.22
16.00	0.87	1.66	0.39	0.85	2.00	0.58	0.12	1.33	0.58
17.00	0.68	1.33	0.81	0.39	2.00	1.38	0.11	0.55	0.75
18.00	0.91	0.57	0.49	0.33	2.00	0.84	0.14	0.05	0.33
19.00	0.73	1.47	0.38	0.97	2.00	0.08	0.08	1.34	0.53
20.00	1.83	1.70	0.71	1.54	1.99	0.00	0.08	2.11	1.95
21.00	1.99	2.00	1.93	1.99	2.00	4.19	0.00	2.03	0.68
22.00	1.35	1.65	0.97	0.67	2.00	1.99	0.98	1.90	1.20
23.00	1.88	1.07	0.21	1.21	2.00	0.66	1.14	1.59	0.42
24.00	0.52	1.34	1.24	0.13	2.00	1.52	0.15	0.52	0.48
25.00	1.28	0.99	0.60	0.79	2.00	1.05	0.71	1.44	1.30
26.00	1.21	0.89	0.14	0.73	1.99	1.77	0.25	0.79	0.95
27.00	1.31	1.95	0.81	0.81	2.00	0.89	0.46	1.44	1.59
28.00	1.02	1.12	0.91	0.81	2.00	0.38	1.08	0.47	0.29
29.00	1.39	0.64	0.00	0.61	2.00	1.70	0.84	0.49	0.86
30.00	1.02	2.48	0.91	2.16	2.00	1.57	0.88	1.80	1.33
31.00	1.10	1.19	1.07	0.75	2.00	1.35	0.71	0.65	0.12
32.00	1.86	1.77	0.02	1.38	1.99	2.07	0.13	1.10	1.60
33.00	0.24	0.40	0.00	1.90	2.00	0.54	0.49	0.88	0.26
34.00	1.59	1.79	0.49	0.81	2.00	1.91	0.46	1.50	0.99
35.00	1.73	1.39	2.36	0.24	2.00	2.19	0.37	1.42	1.42
36.00	2.00	2.01	1.98	2.00	2.00	2.01	2.00	2.00	2.00
37.00	2.00	1.98	2.00	1.99	2.00	1.99	1.99	1.99	1.95
38.00	2.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00	2.00
39.00	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	2.00
40.00	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	1.99
41.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00
42.00	1.99	2.00	1.99	2.00	2.00	1.99	1.99	2.01	1.99
43.00	2.00	1.99	1.99	1.99	2.00	1.99	2.00	2.00	1.99
44.00	2.00	2.00	2.00	2.00	1.99	1.99	2.00	1.99	2.00
45.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
46.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
47.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00
48.00	2.00	2.00	1.99	1.99	2.00	1.99	2.01	1.99	1.99
49.00	1.99	1.99	2.00	1.99	2.00	1.99	1.99	2.00	1.99
50.00	2.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	2.00
51.00	2.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00	2.00
52.00	2.00	1.99	1.99	2.00	2.00	2.00	1.99	2.00	1.99
53.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.98
54.00	2.00	2.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00
55.00	1.99	1.98	1.99	1.99	2.00	2.00	2.00	2.00	1.99
56.00	2.00	1.98	2.00	2.00	2.00	2.00	2.00	1.99	2.00
57.00	2.00	1.99	2.00	2.00	1.99	1.98	2.00	2.00	2.00
58.00	2.00	2.00	2.00	2.00	2.00	2.00	1.98	2.00	2.00
59.00	2.00	1.99	2.00	2.00	2.00	1.98	2.00	2.00	1.99
60.00	2.00	1.99	1.99	2.00	2.00	2.01	2.00	2.00	2.00
61.00	1.99	1.97	1.99	2.00	2.00	1.99	1.98	1.99	2.00
62.00	2.00	2.00	2.00	1.99	2.00	1.99	2.00	2.00	1.99
63.00	2.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00	2.00
64.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
65.00	2.00	1.99	2.00	2.00	2.00	1.99	2.00	2.00	2.00
66.00	2.00	1.99	1.99	2.00	2.00	1.99	2.00	2.00	1.99
67.00	1.99	1.99	2.00	1.99	2.00	2.01	1.98	2.00	1.99
68.00	2.00	1.98	2.00	2.00	2.00	1.99	2.00	1.99	2.00
69.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00
70.00	2.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	1.99
71.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
72.00	1.99	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00
73.00	2.00	1.97	1.98	1.99	2.00	1.98	2.00	2.00	1.98
74.00	2.00	2.00	1.99	2.00	2.00	1.99	2.00	1.99	2.00
75.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00
76.00	2.00	1.99	1.99	2.00	2.00	1.99	2.00	2.00	2.00
77.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00
78.00	2.00	2.00	2.00	2.00	2.00	1.99	2.01	2.00	1.99
79.00	2.00	1.99	1.97	2.00	2.00	2.00	2.00	2.00	1.98
