Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.317s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
2.00	1.93	1.97	1.99	1.95
3.00	2.00	2.00	2.00	2.00
4.00	2.00	1.99	2.00	1.99
5.00	2.00	2.00	2.00	2.01
6.00	2.00	2.00	2.00	1.99
7.00	1.98	2.00	2.00	2.00
8.00	2.00	2.00	1.99	2.00
9.00	2.00	1.99	2.00	2.00
10.00	2.00	2.00	2.00	2.00
11.00	2.00	1.99	2.00	1.47
12.00	2.00	2.00	2.00	1.99
13.00	1.99	1.99	2.00	1.99
14.00	2.00	2.01	1.99	2.00
15.00	2.00	2.00	2.00	2.01
16.00	2.00	1.99	2.00	2.00
17.00	2.00	2.00	2.00	1.99
18.00	1.99	2.00	2.00	2.00
19.00	2.00	2.00	2.00	1.99
20.00	2.00	1.99	1.99	2.00
21.00	2.00	2.00	2.00	2.00
22.00	2.00	1.99	2.00	2.00
23.00	2.00	2.01	2.00	1.97
24.00	2.00	1.99	2.00	2.01
25.00	1.99	2.00	2.00	1.99
26.00	2.00	2.00	1.99	2.00
27.00	1.99	2.00	2.00	2.00
28.00	2.00	1.99	2.00	2.00
29.00	2.00	2.00	2.00	2.00
30.00	2.00	2.00	2.00	1.99
31.00	2.00	2.00	2.00	2.01
32.00	1.98	2.00	1.99	1.99
33.00	2.00	2.00	2.00	2.00
34.00	2.00	1.99	2.00	2.00
35.00	2.00	2.00	2.00	1.99
36.00	2.00	2.00	2.00	1.99
37.00	1.99	2.00	2.00	2.00
38.00	2.00	2.00	1.99	2.00
39.00	2.00	2.00	2.00	2.00
40.00	2.00	1.99	2.00	1.99
41.00	1.99	2.00	2.00	2.01
42.00	2.00	2.00	2.00	1.99
43.00	2.00	2.00	2.00	2.00
44.00	1.98	2.00	1.99	1.98
45.00	2.00	2.00	2.00	2.01
46.00	2.00	2.00	2.00	2.00
47.00	1.99	1.99	2.00	1.98
48.00	1.99	2.00	2.00	2.00
49.00	2.01	2.00	2.00	2.00
50.00	1.99	2.00	2.00	2.00
51.00	2.01	2.00	1.99	2.00
52.00	1.99	1.99	2.00	2.00
53.00	1.99	2.00	2.00	2.00
54.00	2.00	2.00	2.00	1.99
55.00	2.00	2.00	2.00	1.98
56.00	1.99	2.00	2.00	2.01
57.00	1.99	2.00	1.99	2.00
58.00	2.00	1.99	2.00	1.99
59.00	2.00	2.01	2.00	2.00
60.00	2.00	1.99	2.00	1.95
61.00	2.00	2.00	2.00	2.05
62.00	1.98	2.00	2.00	1.99
63.00	1.99	2.00	1.99	2.00
64.00	2.00	1.99	2.00	1.99
65.00	2.00	2.00	2.00	1.99
66.00	2.00	2.00	2.00	1.99
67.00	2.00	2.00	2.00	2.01
68.00	1.99	2.00	2.00	2.00
69.00	2.00	2.00	1.99	2.00
70.00	2.00	2.00	2.00	1.99
71.00	2.00	1.99	2.00	2.01
72.00	2.00	2.00	2.00	2.00
73.00	2.00	2.00	2.00	1.98
74.00	2.00	2.00	2.00	1.99
75.00	1.99	2.00	1.99	2.00
76.00	2.00	2.00	2.00	1.99
77.00	1.99	2.00	2.00	2.00
78.00	2.00	1.99	2.00	2.00
79.00	2.00	2.00	2.00	1.99
80.00	1.99	2.00	2.00	1.99
81.00	1.99	2.00	1.99	2.00
82.00	2.00	2.00	2.00	2.00
83.00	2.00	2.00	2.00	1.98
84.00	2.00	1.99	2.00	2.01
85.00	2.00	2.00	2.00	2.00
86.00	1.98	2.00	2.00	1.99
87.00	2.00	2.00	1.99	2.00
88.00	2.00	2.00	2.00	2.00
89.00	2.00	1.99	2.00	2.00
90.00	2.00	2.00	2.00	2.00
91.00	2.00	2.00	2.00	1.99
92.00	1.99	2.00	2.00	2.00
93.00	2.00	2.00	1.99	2.00
94.00	2.00	2.00	2.00	2.00
95.00	1.99	2.00	2.00	2.00
96.00	2.00	1.99	2.00	1.99
97.00	2.00	2.00	2.00	2.00
