Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.322s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	1.27	1.42	1.30	0.00	1.99	0.00	0.00	0.00
3.00	1.06	0.93	0.54	0.02	2.00	0.00	0.00	0.00
4.00	1.88	0.84	0.67	0.52	2.00	0.00	0.00	0.08
5.00	1.68	0.97	0.45	0.05	2.00	0.00	0.00	0.04
6.00	2.03	1.95	0.34	0.31	2.00	1.19	0.00	0.00
7.00	1.99	2.23	1.75	0.19	2.00	2.60	0.00	0.16
8.00	1.67	1.26	0.64	0.11	1.99	1.37	0.00	0.00
9.00	1.64	1.28	0.53	0.07	2.00	0.94	0.00	0.00
10.00	1.44	0.38	0.80	0.06	2.00	1.65	0.00	0.05
11.00	1.73	1.93	0.82	0.00	2.00	1.45	0.00	0.00
12.00	2.03	2.04	1.71	0.69	2.00	2.03	0.00	0.42
13.00	2.00	2.00	2.01	0.37	2.00	1.92	0.00	0.00
14.00	1.71	1.99	2.06	0.27	1.99	2.00	0.00	0.00
15.00	1.71	1.66	1.65	0.06	2.00	1.83	0.00	0.05
16.00	1.01	1.66	1.05	0.14	2.00	1.12	0.00	0.14
17.00	1.52	1.92	1.06	0.25	2.00	1.46	0.00	0.14
18.00	2.00	1.39	1.59	0.16	2.00	2.16	0.00	0.16
19.00	1.87	1.77	1.50	0.02	2.00	1.70	0.00	0.00
20.00	1.99	1.87	1.81	0.55	1.99	1.85	0.00	0.55
21.00	1.95	1.20	1.01	0.24	2.00	1.48	0.00	0.22
22.00	1.79	0.02	0.00	0.00	2.00	0.04	0.00	0.00
23.00	1.65	2.36	0.39	0.78	2.00	2.03	0.00	0.06
24.00	1.90	0.59	0.29	0.18	2.00	0.93	0.00	0.37
25.00	1.91	1.18	1.14	0.01	2.00	1.68	0.00	0.01
26.00	1.73	0.73	0.86	0.57	1.99	1.83	0.00	0.37
27.00	1.99	0.00	0.16	0.65	2.00	1.81	0.00	0.64
28.00	1.99	2.68	1.71	0.04	2.00	1.91	0.00	0.01
29.00	1.98	1.86	1.39	0.06	2.00	1.64	0.00	0.07
30.00	1.15	1.80	1.19	0.74	2.00	1.87	0.00	0.05
31.00	2.64	1.90	2.08	2.40	2.00	2.00	0.00	0.49
32.00	2.00	1.99	1.85	1.81	1.99	1.99	0.00	0.25
33.00	2.00	1.95	1.99	0.78	2.00	1.84	0.00	0.78
34.00	2.00	2.00	2.00	1.97	2.00	1.97	0.00	2.00
35.00	2.00	2.00	2.00	1.95	2.00	1.94	0.00	1.99
36.00	2.00	1.99	2.00	1.99	2.00	1.93	0.00	1.99
37.00	2.00	2.00	1.99	1.93	2.00	1.93	0.00	2.00
38.00	1.99	2.00	2.00	1.97	1.99	1.94	0.00	2.00
39.00	2.00	2.00	2.00	1.93	2.00	1.94	0.00	1.98
40.00	2.00	2.00	2.00	1.95	2.00	1.94	0.00	2.00
41.00	2.00	2.00	2.00	1.95	2.00	1.93	0.00	1.99
42.00	2.00	1.99	1.99	1.95	2.00	1.95	0.00	2.00
43.00	2.00	2.00	2.00	1.97	2.00	1.99	0.00	2.00
44.00	1.99	2.00	2.00	1.98	1.99	1.94	0.00	2.00
45.00	2.00	1.99	2.00	1.97	2.00	1.95	0.00	1.99
46.00	2.00	2.00	2.00	1.93	2.00	1.95	0.00	1.99
47.00	2.00	1.88	1.90	0.09	2.00	1.99	0.00	0.09
48.00	1.98	2.00	1.99	0.00	2.00	2.00	0.00	0.00
49.00	2.01	2.00	2.01	0.64	2.00	2.00	0.00	0.66
50.00	1.86	1.94	1.84	0.00	2.00	1.85	0.00	0.00
51.00	1.52	1.92	1.45	0.47	1.99	1.68	0.00	0.48
52.00	2.01	2.01	1.87	0.19	2.00	1.81	0.00	0.20
53.00	2.00	1.95	1.91	0.14	2.00	1.95	0.00	0.15
54.00	2.00	2.04	2.04	0.02	2.00	2.04	0.00	0.00
55.00	2.00	1.90	1.83	0.02	2.00	1.73	0.00	0.02
56.00	1.99	1.98	1.95	0.09	2.00	2.00	0.00	0.08
57.00	1.99	2.00	1.94	0.01	1.99	2.00	0.00	0.00
58.00	2.00	1.99	2.00	0.67	2.00	2.00	0.00	0.66
59.00	2.00	2.00	1.66	0.57	2.00	2.00	0.00	0.59
60.00	1.99	2.00	1.99	0.00	2.00	1.99	0.00	0.00
61.00	2.00	2.00	2.01	0.00	2.00	2.00	0.00	0.00
62.00	1.99	1.99	1.99	0.00	2.00	1.99	0.00	0.00
