Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.162s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.95	0.00	0.00	0.00	0.29	1.98	1.12	0.00	0.67	0.00	0.00
3.00	0.00	0.62	0.00	0.00	0.00	1.38	2.00	1.01	0.00	1.13	0.00	0.00
4.00	0.00	0.32	0.00	0.00	0.00	0.24	2.00	0.39	0.00	1.20	0.00	0.00
5.00	0.00	0.67	0.00	0.00	0.00	0.58	2.00	1.13	0.00	0.80	0.26	0.00
6.00	0.00	2.24	0.00	0.00	0.00	0.93	2.00	1.59	0.00	2.40	1.90	2.06
7.00	0.00	0.87	0.00	0.00	0.00	1.18	2.00	0.57	0.00	0.46	0.25	0.18
8.00	0.28	1.38	0.00	0.00	0.00	0.85	1.99	1.92	0.00	2.54	2.48	0.45
9.00	0.22	0.82	0.00	0.00	0.00	0.16	2.00	1.01	0.00	0.00	0.44	0.00
10.00	0.00	0.04	0.00	0.00	0.00	0.62	2.00	1.22	0.00	0.00	0.91	0.53
11.00	0.42	1.45	0.00	0.00	0.00	0.37	2.00	1.52	0.00	1.19	0.47	0.27
12.00	1.17	1.40	0.00	0.00	0.00	1.18	2.00	0.67	0.01	1.78	0.66	0.20
13.00	0.27	0.54	0.00	0.00	0.00	0.59	2.00	0.24	0.00	0.45	0.77	1.20
14.00	0.80	1.44	0.00	0.00	0.00	1.60	1.99	1.86	0.00	0.67	1.42	0.92
15.00	0.00	1.00	0.00	0.00	0.00	1.40	2.00	0.62	0.05	2.44	2.10	0.00
16.00	1.88	1.78	0.00	0.00	0.00	1.88	2.00	1.74	0.02	1.08	1.11	0.97
17.00	0.14	0.58	0.00	0.00	0.00	1.24	2.00	0.98	0.00	1.31	1.14	1.54
18.00	0.28	2.60	0.00	0.00	0.00	0.73	2.00	1.52	0.00	2.45	1.40	1.38
19.00	1.13	1.68	0.00	0.00	0.00	1.46	2.00	1.45	0.00	1.75	1.75	1.35
20.00	0.09	0.97	0.00	0.00	0.00	1.10	1.99	0.20	0.00	0.40	0.25	0.16
21.00	0.12	1.31	0.00	0.00	0.00	0.97	2.00	1.12	0.00	1.17	0.88	0.29
22.00	1.06	1.32	0.00	0.00	0.00	0.73	2.00	1.18	0.00	1.50	1.35	0.32
23.00	0.41	1.30	0.00	0.21	0.00	1.74	2.00	1.41	0.00	1.30	1.32	0.51
24.00	1.22	0.49	0.00	0.48	0.00	0.52	2.00	1.08	0.00	0.71	0.84	0.80
25.00	0.18	0.31	0.00	0.42	0.00	0.85	2.00	0.41	0.00	0.54	0.41	0.89
26.00	0.41	0.97	0.00	0.58	0.00	1.84	1.99	1.06	0.00	1.44	1.86	0.87
27.00	1.37	1.67	0.00	1.27	0.00	1.52	2.00	1.78	0.00	1.32	1.74	0.00
28.00	0.39	0.39	0.00	1.15	0.00	0.57	2.00	1.07	0.00	1.70	1.21	0.26
29.00	0.79	0.79	0.00	1.07	0.00	1.42	2.00	1.26	0.00	1.55	1.83	2.11
30.00	0.52	0.40	0.00	0.69	0.00	0.95	2.00	0.91	0.00	1.21	0.74	0.88
31.00	0.24	0.68	0.00	0.95	0.00	2.10	2.00	1.99	0.00	1.58	1.65	1.31
32.00	0.01	0.48	0.00	1.38	0.00	0.14	1.99	1.55	0.00	1.48	1.31	0.92
33.00	0.52	0.47	0.00	1.61	0.00	1.46	2.00	1.60	0.02	1.24	1.73	1.72
34.00	1.50	1.52	0.00	1.18	0.00	0.57	2.00	1.22	0.00	2.08	1.91	1.45
35.00	1.34	1.40	0.00	0.18	0.00	0.20	2.00	1.06	0.00	1.99	1.67	0.40
36.00	0.68	0.86	0.00	0.44	0.00	0.67	2.00	0.59	0.00	0.42	0.67	0.99
37.00	1.67	1.27	0.00	1.04	0.00	1.50	2.00	1.19	0.00	1.84	1.61	0.93
