Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.280s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	1.64	1.45	0.00	0.00	1.98	0.00	1.35	0.00	0.00
3.00	0.00	1.97	1.81	0.00	0.00	2.00	2.70	2.01	0.32	0.00
4.00	0.00	1.91	1.60	1.08	0.00	2.00	1.91	1.66	0.20	0.20
5.00	1.71	1.79	1.51	0.02	0.00	2.00	1.72	0.60	0.22	0.28
6.00	2.00	1.91	1.93	0.00	0.00	2.00	1.97	1.80	0.60	0.58
7.00	1.27	1.21	0.93	0.61	0.00	2.00	0.55	0.27	0.41	0.02
8.00	2.00	1.95	0.66	0.97	0.00	1.99	2.20	1.74	0.00	0.32
9.00	1.95	1.71	1.13	0.97	0.00	2.00	1.70	1.28	0.14	0.15
10.00	1.99	1.93	2.57	0.19	0.00	2.00	2.05	0.71	0.00	0.00
11.00	1.98	1.92	1.85	0.00	0.00	2.00	1.61	1.46	0.33	0.00
12.00	2.00	1.02	1.37	0.61	0.00	2.00	1.67	0.72	0.62	0.00
13.00	1.99	2.26	2.00	0.00	0.00	2.00	2.00	1.21	0.20	0.11
14.00	1.99	1.78	0.58	0.71	0.00	1.99	1.63	0.94	0.00	0.00
15.00	1.92	1.65	0.38	0.28	0.00	2.00	1.45	0.38	0.00	0.00
16.00	2.03	0.87	1.18	0.15	0.00	2.00	1.71	1.17	0.37	0.00
17.00	1.64	2.06	1.01	0.78	0.00	2.00	1.58	1.04	0.75	0.00
18.00	2.30	1.70	1.08	0.34	0.00	2.00	1.99	1.20	0.09	0.00
19.00	1.79	1.87	0.87	0.39	0.00	2.00	1.78	1.41	0.07	0.04
20.00	2.16	1.98	1.87	0.00	0.00	1.99	1.99	1.79	0.07	0.31
21.00	2.00	1.60	1.42	0.33	0.00	2.00	1.66	1.47	0.59	0.00
22.00	1.95	2.05	1.34	0.47	0.00	2.00	1.93	1.18	0.85	0.00
23.00	2.00	1.87	0.71	0.00	0.00	2.00	1.87	0.64	0.49	0.00
24.00	1.98	1.84	1.73	0.00	0.00	2.00	1.92	1.64	1.54	0.08
25.00	2.01	1.99	1.93	0.20	0.00	2.00	1.73	1.88	0.64	0.00
26.00	1.73	1.74	1.42	0.01	0.00	1.99	1.95	1.52	0.35	0.00
27.00	1.93	1.92	1.85	0.02	0.00	2.00	2.00	2.00	0.40	0.00
28.00	2.00	1.99	1.99	0.00	0.00	2.00	2.00	2.00	0.49	0.00
29.00	1.98	1.98	1.55	1.35	0.00	2.00	1.88	1.50	0.72	0.45
30.00	1.98	1.42	1.64	0.00	0.00	2.00	1.61	0.09	0.00	0.00
31.00	1.98	1.94	1.98	0.42	0.00	2.00	2.00	1.83	0.55	0.57
32.00	1.93	1.90	1.79	0.00	0.00	1.99	1.91	1.51	0.00	0.00
33.00	2.00	1.91	1.45	0.00	0.00	2.00	1.59	1.05	0.31	0.00
34.00	1.98	1.17	1.79	0.94	0.00	2.00	2.00	1.02	0.92	0.54
35.00	1.86	1.88	1.17	0.12	0.00	2.00	1.72	1.34	0.77	0.61
36.00	2.04	1.99	2.46	0.04	0.00	2.00	2.17	0.44	0.19	0.00
37.00	1.97	1.99	1.54	0.00	0.00	2.00	1.93	0.21	0.15	0.00
38.00	1.93	1.92	1.52	0.00	0.00	1.99	1.80	0.55	1.32	0.01
39.00	1.98	1.65	1.42	0.31	0.00	2.00	1.90	1.52	0.04	0.00
40.00	2.01	2.08	0.08	1.11	0.00	2.00	1.83	1.57	0.09	0.00
41.00	1.98	1.99	2.68	0.11	0.00	2.00	1.94	1.85	1.64	0.94
42.00	1.86	1.80	1.48	0.00	0.00	2.00	1.85	1.64	1.30	1.26
43.00	1.85	1.71	0.69	1.32	0.00	2.00	1.66	1.31	0.07	0.48
44.00	1.91	1.57	2.36	0.38	0.00	1.99	1.97	1.58	0.00	0.07
45.00	2.00	2.00	1.40	0.00	0.00	2.00	1.93	1.59	0.00	0.75
46.00	2.00	2.00	1.35	0.00	0.00	2.00	1.84	1.70	0.49	0.11
47.00	0.51	0.27	1.66	0.00	0.00	2.00	1.84	1.14	0.00	0.00
48.00	1.99	1.79	1.42	1.24	0.00	2.00	1.99	1.86	1.57	0.85
49.00	2.01	1.63	1.59	0.00	0.00	2.00	1.70	1.22	0.95	0.22
50.00	1.98	1.90	1.20	0.91	0.00	2.00	1.92	1.35	0.62	0.55
51.00	2.00	1.99	2.00	0.00	0.00	1.99	2.00	2.00	0.93	0.00
52.00	1.79	1.79	1.46	0.00	0.00	2.00	1.31	1.14	1.50	0.52
53.00	1.97	1.97	1.79	0.00	0.00	2.00	1.54	1.60	0.46	0.00
