Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.289s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.49	0.00	0.00	1.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.14	0.00	0.61	1.25	0.00
4.00	0.86	0.14	0.00	0.88	0.78	0.00	0.00	2.00	0.00	0.45	0.49	0.00	1.06	1.41	0.00
5.00	0.69	0.37	0.44	0.48	0.47	0.00	0.00	2.00	0.00	0.60	0.16	0.00	1.40	1.67	0.00
6.00	0.00	0.00	0.97	0.73	0.74	0.00	0.00	2.00	0.52	0.71	0.00	0.00	0.78	0.98	0.00
7.00	0.00	0.00	0.33	0.16	0.00	0.00	0.00	2.00	0.00	0.08	0.00	0.00	0.00	0.00	0.08
8.00	0.00	0.00	0.60	0.00	0.00	0.00	0.00	1.99	0.68	0.21	0.00	0.00	0.00	0.05	0.00
9.00	0.26	0.35	2.11	0.82	0.00	0.00	0.00	2.00	1.00	0.01	0.00	0.00	0.00	0.02	0.00
10.00	0.00	1.07	0.84	0.00	0.00	0.00	0.00	2.00	0.54	0.12	0.15	0.00	0.29	0.94	0.11
11.00	0.44	0.49	0.52	0.22	0.15	0.00	0.00	2.00	1.04	0.60	0.20	0.00	0.01	0.00	0.55
12.00	0.48	0.52	0.49	0.00	0.21	0.00	0.00	2.00	0.80	0.58	0.51	0.00	0.00	0.26	0.55
13.00	0.00	0.00	0.00	0.38	0.06	0.00	0.00	2.00	0.24	0.20	0.00	0.00	0.00	0.00	0.21
14.00	0.12	0.47	1.35	0.01	0.01	0.00	0.00	1.99	0.97	0.88	0.19	0.00	0.06	0.16	0.86
15.00	0.00	1.24	1.55	0.31	0.21	0.00	0.00	2.00	0.08	0.07	0.00	0.00	0.00	0.01	0.06
16.00	0.14	0.31	1.61	1.33	0.74	0.00	0.00	2.00	1.59	0.06	0.19	0.00	0.00	0.00	0.02
17.00	0.01	0.00	0.39	0.13	0.44	0.00	0.00	2.00	0.64	0.09	0.60	0.00	0.49	0.26	0.11
18.00	0.04	0.27	0.09	0.01	0.00	0.00	0.00	2.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00
19.00	0.48	0.92	0.26	0.27	0.07	0.00	0.00	2.00	0.11	0.45	0.00	0.00	0.08	0.53	0.06
20.00	0.00	0.00	0.07	1.17	0.45	0.00	0.00	1.99	1.30	0.02	0.01	0.00	0.01	0.29	0.00
21.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	2.00	0.24	0.00	0.01	0.00	0.00	0.39	0.00
22.00	0.26	0.74	0.32	0.26	0.18	0.00	0.00	2.00	1.30	0.14	0.15	0.00	0.31	0.28	0.06
23.00	0.07	0.29	0.00	0.53	0.20	0.00	0.00	2.00	0.15	0.00	0.06	0.00	0.00	0.00	0.00
24.00	0.75	1.39	0.52	0.49	0.60	0.00	0.00	2.00	1.45	0.01	1.90	0.00	0.51	0.99	0.00
25.00	0.00	0.00	0.07	0.01	0.00	0.00	0.00	2.00	0.51	0.00	0.32	0.00	0.00	0.00	0.00
26.00	0.09	0.57	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.02	0.41	0.00	0.46	1.04	0.00
27.00	0.00	0.21	0.00	0.00	0.11	0.00	0.00	2.00	0.44	0.15	0.00	0.00	0.00	0.91	0.15
28.00	0.12	0.99	1.20	0.31	0.00	0.00	0.00	2.00	0.77	0.00	0.00	0.00	0.00	0.00	0.00
29.00	0.15	0.04	0.00	0.44	0.00	0.00	0.00	2.00	0.58	0.09	1.25	0.00	0.04	0.92	0.08
30.00	0.73	2.06	2.52	1.46	0.00	0.00	0.00	2.00	0.92	0.00	0.04	0.00	0.01	0.18	0.00
31.00	0.20	0.54	0.81	0.35	0.18	0.00	0.00	2.00	0.93	0.94	0.57	0.00	0.40	0.62	0.93
32.00	0.60	0.77	0.49	0.00	0.00	0.00	0.00	1.99	0.47	0.00	0.31	0.00	0.01	0.59	0.00
33.00	0.16	0.60	0.29	0.00	0.00	0.00	0.00	2.00	0.14	0.34	0.00	0.00	0.26	0.39	0.34
34.00	0.00	0.00	0.26	0.01	0.42	0.00	0.00	2.00	0.98	0.55	0.97	0.00	0.00	0.65	0.18
35.00	0.33	0.00	0.00	0.59	0.12	0.00	0.00	2.00	0.55	0.19	1.08	0.00	0.00	0.58	0.14
36.00	0.00	0.88	1.50	0.14	0.14	0.00	0.00	2.00	0.47	0.12	0.01	0.00	0.00	0.00	0.12
37.00	0.00	0.00	1.71	0.67	0.65	0.01	0.00	2.00	0.55	0.25	1.28	0.00	0.00	0.00	0.25
38.00	0.20	0.34	0.66	0.68	0.80	0.00	0.00	1.99	0.89	0.14	1.01	0.00	0.49	0.57	0.19
39.00	0.49	0.27	0.72	1.18	0.93	0.00	0.00	2.00	1.59	0.00	0.00	0.00	0.00	0.00	0.00
40.00	0.34	1.01	1.21	0.25	0.00	0.00	0.00	2.00	0.00	0.31	0.00	0.00	0.11	0.89	0.12
41.00	0.26	0.26	0.65	0.11	0.14	0.00	0.00	2.00	1.33	0.09	0.21	0.00	0.84	1.33	0.09
42.00	0.15	0.33	1.59	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00
43.00	0.51	0.61	0.84	0.32	0.16	0.00	0.00	2.00	0.88	0.12	0.51	0.00	0.35	0.49	0.15
44.00	0.01	0.38	1.20	0.82	0.00	0.00	0.00	1.99	0.27	0.00	0.37	0.00	0.00	0.01	0.00
45.00	0.74	0.00	0.00	0.24	0.00	0.12	0.00	2.00	0.01	0.00	0.06	0.00	0.00	0.00	0.00
46.00	0.06	2.36	0.15	0.48	0.00	0.00	0.00	2.00	1.12	0.22	0.00	0.00	0.00	0.02	0.20
47.00	0.00	0.65	0.00	0.14	0.28	0.00	0.00	2.00	0.66	0.31	0.00	0.00	0.00	0.00	0.00
48.00	0.34	0.44	1.02	0.94	0.99	0.00	0.00	2.00	1.66	0.73	0.00	0.00	0.00	0.40	0.20
49.00	0.00	0.49	0.49	0.11	0.00	0.00	0.00	2.00	0.40	0.00	0.15	0.00	0.00	0.32	0.00
50.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.16	0.00	0.00	0.00	0.00	0.02	0.00
