Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.279s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.00
3.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	2.00	0.22	0.15	0.00	0.00	0.00	0.61	0.41	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.52	0.64	0.00	0.00	0.00	0.08	0.27	0.00
5.00	0.00	0.00	0.00	0.04	0.51	0.00	0.00	0.00	0.00	2.00	0.61	0.26	0.00	0.00	0.00	1.52	0.74	0.00
6.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.34	2.00	0.88	0.07	0.00	0.47	0.00	0.32	0.04	0.00
7.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	2.00	0.04	0.00	0.00	0.00	0.00	0.00	0.73	0.11
8.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	1.99	0.44	0.26	0.00	0.00	0.00	0.05	0.39	0.45
9.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.57	2.00	0.45	0.34	0.00	0.00	0.00	0.00	0.46	0.41
10.00	0.00	0.00	0.00	0.57	0.66	0.00	0.00	0.00	1.22	2.00	0.20	0.16	0.00	0.00	0.00	0.00	0.32	0.16
11.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	2.00	0.77	0.00	0.00	0.00	0.00	0.22	0.39	0.00
12.00	0.02	0.00	0.00	0.20	0.60	0.00	0.00	0.00	1.10	2.00	0.58	0.00	0.00	0.16	0.00	1.18	1.25	0.46
13.00	0.14	0.00	0.19	0.00	0.14	0.00	0.00	0.00	0.73	2.00	0.12	0.00	0.00	0.15	0.00	0.24	0.73	0.00
14.00	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.51	1.99	0.65	0.52	0.00	0.00	0.00	0.99	0.00	0.41
15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	2.00	0.67	0.14	0.00	0.24	0.00	0.65	0.25	0.91
16.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	2.00	0.45	0.46	0.00	0.00	0.00	0.88	0.85	0.32
17.00	0.00	0.00	0.29	0.00	0.91	0.00	0.00	0.00	0.00	2.00	0.93	0.49	0.00	0.01	0.00	0.13	1.04	0.00
18.00	0.00	0.00	0.35	0.31	1.53	0.00	0.00	0.00	0.00	2.00	1.21	0.47	0.00	0.00	0.00	1.61	0.55	0.00
19.00	0.00	0.00	0.73	0.15	0.59	0.00	0.00	0.00	0.00	2.00	0.37	0.22	0.00	0.00	0.00	0.04	0.45	0.00
20.00	0.00	0.00	0.00	1.25	0.53	0.00	0.00	0.00	0.00	1.99	1.19	1.02	0.00	0.98	0.00	1.97	1.39	0.61
21.00	0.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00	0.01	2.00	0.72	0.08	0.00	0.00	0.00	0.52	0.55	0.60
22.00	0.05	0.00	1.05	0.38	0.95	0.00	0.00	0.00	0.09	2.00	0.28	0.15	0.00	0.11	0.00	1.83	0.67	0.00
23.00	0.00	0.00	0.00	0.97	0.67	0.00	0.00	0.00	0.00	2.00	1.08	0.31	0.00	0.00	0.00	0.32	1.02	0.04
24.00	0.00	0.00	0.00	0.85	0.80	0.00	0.00	0.00	0.00	2.00	1.59	1.59	0.00	0.00	0.00	1.78	1.33	0.33
25.00	0.00	0.00	0.00	0.05	0.62	0.00	0.00	0.00	0.00	2.00	0.67	0.77	0.00	0.00	0.00	0.72	1.31	0.38
26.00	0.01	0.00	0.61	0.34	0.00	0.00	0.00	0.00	0.89	1.99	0.55	0.98	0.00	0.01	0.00	0.99	0.92	0.00
27.00	0.39	0.00	0.00	0.00	0.74	0.00	0.00	0.00	0.00	2.00	0.48	0.52	0.00	0.54	0.00	0.82	0.00	0.00
28.00	0.00	0.00	0.00	0.85	0.29	0.00	0.00	0.00	0.00	2.00	0.86	0.59	0.00	0.00	0.00	0.00	1.87	0.00
29.00	0.00	0.00	0.00	0.40	1.11	0.00	0.00	0.00	0.00	2.00	0.61	0.46	0.00	0.00	0.00	0.26	0.60	0.00
30.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	2.00	0.22	0.08	0.00	0.00	0.00	1.28	0.00	0.15
31.00	0.00	0.00	0.14	0.28	0.89	0.00	0.00	0.00	2.30	2.00	0.73	0.09	0.00	0.00	0.00	0.15	0.27	0.09
32.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	1.99	0.31	0.00	0.00	0.00	0.00	0.11	0.11	0.00
33.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	2.00	0.39	0.78	0.00	0.00	0.00	1.26	1.58	0.09
34.00	0.00	0.00	0.00	0.44	1.38	0.00	0.00	0.00	0.00	2.00	1.19	1.12	0.00	0.00	0.00	1.04	1.28	0.00
35.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	2.00	0.82	0.84	0.00	0.00	0.00	0.64	0.42	0.00
36.00	0.27	0.00	0.00	0.01	0.13	0.00	0.00	0.00	0.00	2.00	0.41	1.02	0.00	0.37	0.00	0.00	0.80	0.00
37.00	0.00	0.00	0.51	0.00	0.12	0.00	0.00	0.00	0.08	2.00	0.73	0.78	0.00	0.00	0.00	0.85	0.38	0.61
38.00	0.00	0.00	0.00	0.01	0.41	0.00	0.00	0.00	0.55	1.99	0.95	0.93	0.00	0.00	0.00	0.82	0.27	0.11
39.00	0.00	0.00	0.26	0.53	1.34	0.00	0.00	0.00	0.00	2.00	0.88	0.95	0.00	0.00	0.00	0.22	0.31	0.00
40.00	0.00	0.00	0.00	0.24	1.25	0.00	0.00	0.00	0.00	2.00	0.29	0.22	0.00	0.00	0.00	1.04	1.68	0.00
41.00	0.00	0.00	0.21	0.65	0.73	0.00	0.00	0.00	0.00	2.00	0.80	0.34	0.00	0.00	0.00	0.00	0.31	0.20
42.00	0.00	0.00	0.00	1.07	0.93	0.00	0.00	0.00	0.00	2.00	1.14	1.45	0.00	0.00	0.00	1.07	1.58	0.00
43.00	0.00	0.00	0.94	1.10	1.42	0.00	0.00	0.00	2.26	2.00	1.31	0.00	0.00	0.01	0.00	0.00	0.91	0.00
44.00	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.38	1.99	0.57	0.00	0.00	0.00	0.00	0.42	1.30	0.31
45.00	0.00	0.00	0.26	0.00	0.66	0.00	0.00	0.00	0.41	2.00	1.08	0.52	0.00	0.00	0.00	1.42	0.22	0.77
46.00	0.00	0.00	0.29	0.01	0.95	0.00	0.00	0.00	0.00	2.00	1.45	0.75	0.00	0.00	0.00	0.12	1.11	0.34
47.00	0.00	0.00	1.19	0.02	1.31	0.00	0.00	0.00	0.82	2.00	1.35	0.37	0.16	0.19	0.00	1.05	1.00	0.48
48.00	0.00	0.00	0.86	0.00	1.06	0.00	0.00	0.00	0.85	2.00	0.60	0.00	0.01	0.00	0.00	1.12	0.93	0.00
49.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.40	0.00	0.01	0.01	0.00	0.00	0.02	0.38
50.00	0.00	0.00	0.00	0.27	0.89	0.00	0.00	0.00	0.00	2.00	0.53	0.48	0.00	0.00	0.00	0.00	1.18	0.15
51.00	0.00	0.00	0.00	0.32	0.32	0.00	0.00	0.00	0.00	1.99	0.29	0.00	0.00	0.00	0.00	0.00	0.61	0.00
52.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	2.00	0.14	0.00	0.00	0.00	0.00	0.00	0.12	0.00
53.00	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.00	2.00	0.04	0.00	0.00	0.00	0.00	0.00	0.01	0.46
54.00	0.00	0.00	1.07	0.00	1.31	0.00	0.00	0.00	0.94	2.00	1.24	0.92	0.00	0.00	0.00	0.00	0.72	0.00
55.00	0.00	0.00	0.00	0.42	1.05	0.00	0.00	0.00	1.31	2.00	1.01	0.47	0.00	0.00	0.00	0.00	0.33	0.08
56.00	0.00	0.00	0.00	0.44	0.41	0.00	0.00	0.00	0.00	2.00	1.01	0.48	0.46	0.47	0.00	1.06	0.00	0.00
57.00	0.00	0.00	0.29	0.00	1.28	0.00	0.00	0.00	0.67	1.99	0.72	0.60	0.00	0.00	0.00	0.65	1.61	0.01
58.00	0.00	0.00	0.33	0.80	0.31	0.00	0.00	0.00	0.97	2.00	0.99	0.49	0.00	0.00	0.00	0.00	1.08	0.00
59.00	0.00	0.00	0.11	0.00	1.27	0.00	0.00	0.00	0.00	2.00	0.81	0.12	0.00	0.00	0.00	1.78	0.13	0.66
60.00	0.00	0.00	0.14	0.00	1.70	0.00	0.00	0.00	0.13	2.00	1.00	0.85	0.00	0.00	0.00	1.14	1.15	0.01
61.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	2.00	0.41	0.37	0.00	0.00	0.00	0.62	0.53	0.00
62.00	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.00	0.00	2.00	1.07	0.85	0.00	0.00	0.00	0.85	1.02	0.31
63.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	1.01	1.99	0.05	0.05	0.00	0.00	0.00	0.19	0.11	0.00
64.00	0.00	0.00	0.62	0.68	0.00	0.00	0.00	0.00	0.00	2.00	0.47	0.15	0.00	0.00	0.00	0.00	0.40	0.24
65.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.98	2.00	0.21	0.19	0.02	0.04	0.00	0.00	0.21	0.00
