Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.431s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.71	0.00	0.15
3.00	0.00	0.00	1.66	0.00	0.00	0.00	0.00	2.00	0.00	1.39	0.37	0.25	0.00	0.01
4.00	0.00	1.12	1.07	0.00	0.00	0.00	0.00	2.00	0.00	0.81	0.01	0.02	0.00	0.00
5.00	1.44	1.53	1.45	0.00	0.24	0.00	0.00	2.00	0.00	1.30	0.39	0.11	0.00	0.00
6.00	2.01	1.99	1.91	0.00	0.07	0.00	0.00	2.00	0.00	2.08	0.07	0.48	0.00	0.00
7.00	1.93	1.81	1.22	0.00	0.00	0.00	0.00	2.00	0.00	0.97	0.02	0.01	0.00	0.00
8.00	2.00	1.66	1.13	0.00	0.00	0.00	0.00	1.99	0.00	1.58	0.31	0.00	0.00	0.00
9.00	1.88	2.00	1.86	0.00	0.00	0.00	0.00	2.00	0.00	2.00	0.00	0.49	0.00	0.00
10.00	1.99	1.73	1.10	0.00	0.00	0.00	0.00	2.00	0.00	1.35	0.00	0.00	0.00	0.00
11.00	2.00	1.87	1.55	0.00	0.21	0.00	0.00	2.00	0.00	1.24	0.21	0.00	0.00	0.00
12.00	2.00	1.88	1.58	0.00	0.32	0.00	0.00	2.00	0.00	1.73	0.74	0.00	0.00	0.00
13.00	1.93	1.87	1.22	0.00	0.16	0.00	0.00	2.00	0.00	1.72	1.27	1.44	0.15	0.18
14.00	2.05	1.73	1.42	0.00	0.00	0.00	0.00	1.99	0.00	0.95	0.53	0.45	0.06	0.09
15.00	2.00	2.07	1.79	0.00	0.00	0.00	0.00	2.00	0.00	1.78	0.54	0.00	0.00	0.00
16.00	2.00	2.00	1.88	0.00	0.24	0.00	0.00	2.00	0.00	1.65	0.38	0.00	0.33	0.27
17.00	1.78	0.81	0.85	0.00	0.00	0.00	0.00	2.00	0.00	1.01	0.00	0.00	0.00	0.00
18.00	2.00	2.25	2.06	0.00	0.00	0.00	0.00	2.00	0.00	1.24	0.28	0.19	0.00	0.00
19.00	1.99	1.99	1.86	0.00	0.31	0.00	0.00	2.00	0.00	1.84	0.32	0.00	0.00	0.00
20.00	1.99	2.00	2.04	0.00	0.00	0.00	0.00	1.99	0.00	1.88	1.78	0.21	0.00	0.00
21.00	1.99	1.85	1.53	0.00	0.00	0.00	0.00	2.00	0.00	1.72	0.66	0.82	0.00	0.00
22.00	2.00	2.00	0.31	0.00	0.00	0.00	0.00	2.00	0.00	2.01	0.27	0.00	0.09	0.19
23.00	2.00	1.99	1.93	0.00	0.00	0.00	0.00	2.00	0.00	1.97	2.10	0.00	0.00	0.00
24.00	2.00	1.92	0.82	0.00	0.00	0.00	0.00	2.00	0.00	1.87	0.13	0.00	0.00	0.00
25.00	2.00	1.83	0.95	0.00	0.00	0.00	0.00	2.00	0.00	1.71	0.32	0.31	0.00	0.00
26.00	1.99	1.86	1.81	0.00	0.00	0.00	0.00	1.99	0.00	1.66	0.80	0.32	0.00	0.01
27.00	2.00	2.04	1.78	0.00	0.16	0.00	0.00	2.00	0.00	1.77	1.04	0.57	0.09	0.08
28.00	2.00	1.95	1.97	0.00	0.00	0.00	0.00	2.00	0.00	1.99	1.15	0.68	0.00	0.00
29.00	1.95	1.85	1.77	0.00	0.00	0.00	0.00	2.00	0.00	1.93	1.57	0.00	0.00	0.00
30.00	1.87	0.64	1.46	0.00	0.00	0.00	0.00	2.00	0.00	1.57	1.40	0.00	0.01	0.02
31.00	1.99	2.05	1.10	0.00	0.31	0.00	0.00	2.00	0.00	1.74	0.33	0.16	0.00	0.00
32.00	1.99	1.98	1.70	0.00	0.09	0.00	0.00	1.99	0.00	1.74	1.17	0.00	0.00	0.00
33.00	2.01	1.99	2.23	0.00	0.24	0.00	0.02	2.00	0.00	1.93	0.38	0.00	0.00	0.88
34.00	2.00	2.01	1.99	0.00	0.00	0.00	0.00	2.00	0.00	1.70	0.38	0.00	0.00	0.00
35.00	1.98	1.98	1.80	0.00	0.00	0.00	0.00	2.00	0.00	0.95	0.61	0.00	0.26	0.29
36.00	2.01	1.92	1.79	0.00	0.00	0.00	0.01	2.00	0.00	2.03	1.55	0.00	0.18	0.19
37.00	2.00	1.92	1.85	0.00	0.72	0.00	0.00	2.00	0.00	1.98	1.26	0.65	0.11	0.12
38.00	1.97	1.77	1.83	0.00	0.00	0.00	0.00	1.99	0.00	1.38	0.00	0.00	0.00	0.00
39.00	2.00	2.05	1.52	0.00	0.00	0.00	0.00	2.00	0.00	1.66	0.00	0.00	0.00	0.00
40.00	1.92	1.64	1.66	0.00	0.00	0.00	0.00	2.00	0.00	1.73	0.49	0.05	0.00	0.00
41.00	2.00	2.17	1.81	0.00	0.00	0.00	0.00	2.00	0.00	1.60	0.01	0.31	0.11	0.12
42.00	1.99	1.87	1.75	0.00	0.00	0.00	0.02	2.00	0.00	1.99	0.58	0.66	0.13	0.15
43.00	2.00	1.88	1.70	0.00	0.00	0.00	0.00	2.00	0.00	1.67	0.91	0.28	0.00	0.00
44.00	1.95	2.00	2.03	0.00	0.01	0.00	0.00	1.99	0.00	2.06	1.42	0.29	0.00	0.00
45.00	1.91	1.80	1.64	0.00	0.54	0.00	0.00	2.00	0.00	1.39	0.32	0.00	0.00	0.00
46.00	2.00	1.97	1.72	0.00	0.00	0.00	0.00	2.00	0.00	1.85	1.64	0.20	0.00	0.00
47.00	2.00	1.98	1.48	0.00	0.00	0.00	0.00	2.00	0.00	1.52	0.71	0.16	0.00	0.00
48.00	1.95	1.91	0.59	0.00	0.00	0.00	0.00	2.00	0.00	1.52	0.00	0.00	0.00	0.00
49.00	1.99	1.93	1.91	0.00	0.02	0.00	0.00	2.00	0.00	1.94	1.01	0.39	0.00	0.00
50.00	2.01	2.00	2.01	0.00	0.00	0.00	0.00	2.00	0.00	1.75	0.89	1.25	0.48	0.53
51.00	2.00	2.00	1.91	0.00	0.00	0.00	0.00	1.99	0.00	2.00	0.69	0.29	0.00	0.00
52.00	1.99	1.68	0.75	0.00	0.00	0.00	0.00	2.00	0.00	1.20	0.77	0.00	0.00	0.00
53.00	2.00	2.03	2.10	0.00	0.00	0.00	0.00	2.00	0.00	1.87	0.79	0.75	0.29	0.16
54.00	2.00	1.99	1.31	0.00	0.13	0.00	0.00	2.00	0.00	1.80	0.54	0.54	0.00	0.00
55.00	1.99	2.01	2.36	0.00	0.80	0.00	0.00	2.00	0.00	2.12	1.10	0.45	0.00	0.00
