Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.393s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
2.00	1.05	1.58	1.99	1.94
3.00	1.39	1.59	2.00	2.01
4.00	1.20	1.73	2.00	1.95
5.00	0.97	1.94	2.00	1.99
6.00	1.07	1.79	2.00	1.97
7.00	1.10	1.95	2.00	2.04
8.00	0.85	2.24	1.99	1.98
9.00	1.44	1.63	2.00	2.03
10.00	1.31	1.73	2.00	1.94
11.00	1.13	1.79	2.00	2.03
12.00	1.30	1.84	2.00	1.85
13.00	1.14	1.74	2.00	2.13
14.00	1.17	1.85	1.99	2.00
15.00	0.48	2.59	2.00	1.98
16.00	1.90	1.18	2.00	2.00
17.00	1.20	1.78	2.00	1.99
18.00	1.24	1.83	2.00	2.00
19.00	1.17	1.80	2.00	2.03
20.00	1.26	1.86	1.99	1.99
21.00	1.20	1.72	2.00	2.00
22.00	1.15	1.81	2.00	1.98
23.00	1.17	1.86	2.00	2.01
24.00	1.17	1.73	2.00	1.99
25.00	1.22	1.86	2.00	1.99
26.00	1.30	1.74	1.99	2.00
27.00	1.21	1.91	2.00	2.01
28.00	1.15	1.90	2.00	2.00
29.00	1.20	1.87	2.00	1.98
30.00	1.01	2.08	2.00	2.00
31.00	1.18	1.73	2.00	1.95
32.00	1.22	1.77	1.99	2.00
33.00	1.12	1.79	2.00	2.01
34.00	1.20	1.85	2.00	2.00
35.00	1.18	1.92	2.00	2.00
36.00	1.26	1.68	2.00	2.01
37.00	1.17	1.77	2.00	1.94
38.00	1.21	1.71	1.99	2.04
39.00	1.02	1.93	2.00	2.00
40.00	1.21	1.88	2.00	2.01
41.00	1.19	1.66	2.00	1.99
42.00	1.04	2.01	2.00	1.99
43.00	1.19	1.86	2.00	2.01
44.00	1.18	1.95	1.99	2.00
45.00	1.20	1.74	2.00	1.99
46.00	1.04	1.97	2.00	1.99
47.00	1.13	1.70	2.00	2.00
48.00	1.20	1.83	2.00	1.99
49.00	0.53	2.43	2.00	2.01
50.00	1.68	1.39	2.00	1.97
51.00	1.15	1.80	1.99	2.01
52.00	1.04	2.07	2.00	2.00
53.00	1.25	1.73	2.00	2.00
54.00	1.26	1.91	2.00	2.00
55.00	1.15	1.81	2.00	1.97
56.00	1.15	1.85	2.00	1.95
57.00	0.99	2.03	1.99	2.07
58.00	1.40	1.79	2.00	1.86
59.00	1.13	1.81	2.00	2.10
60.00	1.18	1.80	2.00	2.00
61.00	1.25	1.81	2.00	2.01
62.00	0.44	2.52	2.00	1.95
63.00	1.41	1.65	1.99	2.03
64.00	1.33	1.65	2.00	2.01
65.00	1.20	1.94	2.00	2.00
66.00	1.14	1.83	2.00	2.00
67.00	1.25	1.79	2.00	1.98
68.00	1.19	1.87	2.00	1.99
69.00	1.26	1.87	1.99	2.00
70.00	1.21	1.72	2.00	1.95
71.00	1.14	1.90	2.00	2.03
72.00	1.27	1.85	2.00	1.99
73.00	1.13	1.80	2.00	2.00
74.00	0.97	2.01	2.00	2.01
75.00	0.00	2.63	1.99	2.00
76.00	1.66	1.14	2.00	2.00
77.00	0.51	2.39	2.00	1.99
78.00	1.38	1.40	2.00	1.99
79.00	1.19	1.86	2.00	2.00
80.00	1.31	1.87	2.00	1.94
81.00	1.20	1.86	1.99	2.03
82.00	1.10	1.86	2.00	2.03
83.00	1.17	1.81	2.00	1.99
84.00	0.85	2.34	2.00	2.01
85.00	1.57	1.42	2.00	1.99
86.00	0.27	2.71	2.00	2.00
87.00	1.75	1.17	1.99	1.99
88.00	1.15	1.78	2.00	2.01
89.00	1.18	1.88	2.00	1.99
90.00	1.17	1.68	2.00	2.00
91.00	1.19	1.73	2.00	1.99
92.00	1.24	1.73	2.00	2.00
93.00	1.25	1.85	1.99	1.99
94.00	1.06	1.93	2.00	2.00
95.00	1.15	1.70	2.00	1.98
96.00	1.11	1.81	2.00	2.01
97.00	1.17	1.72	2.00	2.00
98.00	1.20	1.91	2.00	1.84
99.00	1.14	1.65	2.00	2.12
100.00	1.22	1.86	1.99	2.00
101.00	1.13	1.80	2.00	2.03
102.00	1.31	1.78	2.00	1.99
103.00	1.10	1.81	2.00	2.00
104.00	1.17	1.81	2.00	2.01
105.00	1.21	1.83	2.00	1.99
106.00	1.22	1.85	1.99	2.01
107.00	1.01	1.87	2.00	1.99
108.00	1.15	1.93	2.00	2.00
109.00	1.21	1.73	2.00	1.98
110.00	1.06	1.86	2.00	1.93
111.00	1.11	1.98	2.00	2.06
112.00	1.24	1.67	1.99	2.01
113.00	1.21	1.81	2.00	1.99
114.00	0.86	2.30	2.00	2.01
115.00	1.53	1.54	2.00	1.95
116.00	1.08	1.86	2.00	1.98
117.00	1.25	1.75	2.00	1.98
118.00	1.21	1.83	1.99	2.05
119.00	1.17	1.83	2.00	1.99
120.00	1.19	1.75	2.00	2.01
121.00	1.06	1.87	2.00	1.99
122.00	1.20	1.77	2.00	1.99
123.00	1.15	1.84	2.00	2.01
124.00	1.25	1.86	1.99	1.99
125.00	1.08	1.81	2.00	1.94
