Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.256s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	1.71	0.94	0.00	0.00	1.99	1.37	0.26	0.00
3.00	1.50	1.92	0.00	0.00	2.00	1.44	0.51	0.00
4.00	1.95	1.74	0.00	0.00	2.00	1.88	1.22	0.00
5.00	1.45	1.45	0.00	0.00	2.00	1.74	0.52	0.00
6.00	1.53	1.71	0.00	0.00	2.00	1.07	0.77	0.00
7.00	1.88	1.22	0.07	0.00	2.00	0.37	0.13	0.00
8.00	1.55	1.55	0.54	0.00	1.99	1.79	0.51	0.00
9.00	1.81	1.11	0.51	0.00	2.00	1.84	0.28	0.00
10.00	0.84	1.31	0.54	0.00	2.00	1.61	1.31	0.00
11.00	2.38	2.30	1.46	0.00	2.00	2.03	1.06	0.00
12.00	1.97	2.00	1.99	0.00	2.00	2.00	1.07	0.00
13.00	2.03	1.51	1.48	0.00	2.00	1.55	1.25	0.51
14.00	1.72	1.08	1.92	0.00	1.99	2.06	1.05	0.79
15.00	2.00	1.97	0.39	0.00	2.00	1.99	0.57	0.12
16.00	1.80	1.04	0.87	0.00	2.00	1.71	1.32	0.45
17.00	1.26	1.97	1.73	0.00	2.00	1.15	0.04	1.63
18.00	2.00	2.28	0.49	0.00	2.00	1.44	0.14	0.20
19.00	2.00	1.99	0.49	0.00	2.00	2.00	2.00	0.00
20.00	1.93	1.87	0.00	0.00	1.99	1.60	1.28	0.00
21.00	2.00	1.88	0.58	0.00	2.00	1.12	0.57	0.22
22.00	1.93	1.95	0.00	0.00	2.00	0.00	0.00	0.00
23.00	1.99	2.00	1.04	0.00	2.00	2.87	2.25	0.95
24.00	1.99	1.99	0.28	0.00	2.00	1.99	1.97	0.14
25.00	1.99	1.97	1.59	0.00	2.00	1.27	1.24	1.61
26.00	2.00	1.60	0.84	0.00	1.99	1.61	1.34	0.61
27.00	2.00	2.37	0.00	0.00	2.00	0.87	0.62	0.00
28.00	2.00	2.00	0.00	0.00	2.00	2.89	0.00	0.00
29.00	2.00	2.01	0.00	0.00	2.00	2.00	2.31	0.00
30.00	1.99	1.97	0.00	0.00	2.00	1.98	1.84	0.14
31.00	1.99	1.90	0.01	0.00	2.00	1.99	1.88	0.01
32.00	1.99	2.00	0.00	0.00	1.99	2.00	2.00	0.00
33.00	1.97	1.99	0.00	0.00	2.00	2.00	1.99	0.00
34.00	2.04	2.00	0.00	0.00	2.00	2.00	2.01	0.00
35.00	2.00	2.00	0.00	0.00	2.00	1.99	2.00	0.00
36.00	1.99	2.00	0.00	0.00	2.00	2.01	1.98	0.00
37.00	2.01	2.00	0.00	0.00	2.00	1.99	2.03	0.00
38.00	1.99	1.98	0.00	0.00	1.99	2.00	1.98	0.00
39.00	1.99	2.01	0.00	0.00	2.00	2.00	2.01	0.00
40.00	2.01	2.01	0.00	0.00	2.00	1.99	2.01	0.00
41.00	1.99	2.00	0.00	0.00	2.00	2.00	1.99	0.00
42.00	2.01	1.98	0.00	0.00	2.00	1.99	1.98	0.00
43.00	1.99	2.03	0.00	0.00	2.00	2.03	2.03	0.00
44.00	1.99	1.99	0.00	0.00	1.99	1.99	2.00	0.00
45.00	1.98	2.00	0.00	0.00	2.00	2.00	2.00	0.00
46.00	2.03	1.99	0.00	0.00	2.00	2.00	1.99	0.00
47.00	2.00	2.00	0.00	0.00	2.00	1.99	2.00	0.00
48.00	1.97	1.53	0.00	0.00	2.00	2.00	1.51	0.00
49.00	2.01	1.99	0.49	0.00	2.00	2.01	1.93	0.49
50.00	1.85	2.00	0.00	0.00	2.00	1.99	1.99	0.00
51.00	2.13	2.00	0.00	0.00	1.99	1.99	1.99	0.00
52.00	2.00	1.99	0.00	0.00	2.00	2.01	2.00	0.00
53.00	2.00	2.01	0.00	0.00	2.00	1.98	2.01	0.00
54.00	2.00	1.99	0.00	0.00	2.00	1.97	1.99	0.00
55.00	2.00	2.01	0.00	0.00	2.00	1.99	2.00	0.00
56.00	1.99	1.99	0.00	0.00	2.00	1.99	2.00	0.00
57.00	1.98	2.00	0.00	0.00	1.99	2.00	2.00	0.00
58.00	2.01	1.99	0.00	0.00	2.00	2.00	2.00	0.00
59.00	2.00	2.00	0.00	0.00	2.00	1.99	1.99	0.00
60.00	2.00	2.00	0.00	0.00	2.00	1.99	2.00	0.00
61.00	1.99	1.99	0.00	0.00	2.00	2.00	2.00	0.00
62.00	2.01	2.01	0.00	0.00	2.00	2.00	2.00	0.00
63.00	1.99	2.00	0.00	0.00	1.99	2.00	2.00	0.00
64.00	2.00	2.00	0.00	0.00	2.00	2.00	2.00	0.00
65.00	2.00	2.00	0.00	0.00	2.00	1.99	2.00	0.00
66.00	2.00	2.00	0.00	0.00	2.00	2.00	2.00	0.00
67.00	2.00	2.00	0.00	0.00	2.00	1.98	1.99	0.00
68.00	2.00	1.99	0.00	0.00	2.00	1.99	2.00	0.00
69.00	1.99	1.68	0.66	0.00	1.99	1.50	1.41	0.00
70.00	1.99	2.01	2.00	0.00	2.00	2.00	2.00	0.00
71.00	2.00	2.00	2.00	0.00	2.00	2.00	2.00	0.00
72.00	2.00	1.99	2.00	0.00	2.00	1.99	2.00	0.00
73.00	2.00	2.00	2.00	0.00	2.00	2.00	2.00	0.00
74.00	2.00	2.00	2.00	0.00	2.00	2.00	2.00	0.00
75.00	1.99	2.00	2.00	0.00	1.99	2.00	2.00	0.00
76.00	2.00	1.99	1.99	0.00	2.00	1.99	1.99	0.00
77.00	1.99	2.01	2.00	0.00	2.00	2.01	2.00	0.00
78.00	2.00	1.99	2.00	0.00	2.00	1.99	2.00	0.00
79.00	2.00	2.00	2.00	0.00	2.00	2.00	2.00	0.00
80.00	1.99	2.00	2.00	0.00	2.00	2.00	2.00	0.00
81.00	1.99	2.00	1.98	0.00	1.99	2.00	2.00	0.00
82.00	2.00	2.00	2.01	0.00	2.00	2.00	1.99	0.00
83.00	2.00	1.99	2.00	0.00	2.00	1.99	2.00	0.00
84.00	1.99	2.01	1.98	0.00	2.00	2.01	2.01	0.00
85.00	2.01	2.00	2.03	0.00	2.00	2.00	1.99	0.00
86.00	1.97	1.98	1.97	0.00	2.00	1.97	1.95	0.00
87.00	1.80	1.99	1.90	0.00	1.99	1.97	1.77	0.18
88.00	1.95	1.86	1.12	0.00	2.00	1.84	0.84	0.61
89.00	1.91	1.97	0.33	0.00	2.00	1.92	2.32	0.00
90.00	1.79	1.41	1.80	0.00	2.00	1.84	0.91	0.00
91.00	1.95	2.39	0.00	0.00	2.00	1.98	2.46	0.00
92.00	2.00	1.99	0.00	0.00	2.00	1.99	1.99	0.00
93.00	1.99	2.00	0.00	0.00	1.99	2.00	2.01	0.00
94.00	2.00	2.00	0.00	0.00	2.00	2.00	1.99	0.00
95.00	2.00	1.99	0.00	0.00	2.00	2.00	2.01	0.00
96.00	1.95	1.92	0.53	0.00	2.00	1.92	1.63	0.40
97.00	1.97	1.87	0.00	0.00	2.00	2.00	1.78	0.00
98.00	1.77	1.51	0.01	0.00	2.00	2.00	1.57	0.01
99.00	2.04	2.20	0.00	0.00	2.00	1.72	1.88	0.00
100.00	1.95	1.97	0.00	0.00	1.99	2.00	2.00	0.00
101.00	2.00	2.00	0.00	0.00	2.00	2.00	2.00	0.00
102.00	2.00	1.99	0.00	0.00	2.00	2.00	1.99	0.00
103.00	2.00	2.00	0.00	0.00	2.00	1.99	2.00	0.00
104.00	2.00	2.01	0.00	0.00	2.00	1.99	2.00	0.00
105.00	2.00	1.99	0.66	0.00	2.00	2.00	2.00	0.00
106.00	1.99	2.00	0.00	0.00	1.99	2.00	2.00	0.00
107.00	2.00	1.99	0.00	0.00	2.00	2.00	2.00	0.00
108.00	2.00	2.01	0.00	0.00	2.00	2.00	2.00	0.00
109.00	2.00	2.00	0.00	0.00	2.00	1.99	2.00	0.00
110.00	1.99	1.99	0.00	0.00	2.00	1.99	1.99	0.00
111.00	2.00	2.00	0.00	0.00	2.00	1.99	1.99	0.00
112.00	1.99	2.00	0.00	0.00	1.99	1.99	2.01	0.00
113.00	1.98	1.99	0.00	0.00	2.00	1.99	1.99	0.00
114.00	1.99	2.01	0.00	0.00	2.00	1.98	1.98	0.00
115.00	2.01	2.00	0.00	0.00	2.00	2.01	2.04	0.00
116.00	1.99	1.99	0.00	0.00	2.00	1.97	1.99	0.00
117.00	1.99	2.00	0.00	0.00	2.00	2.00	2.00	0.00
118.00	2.00	2.00	0.00	0.00	1.99	1.99	1.99	0.00
119.00	1.99	2.00	0.00	0.00	2.00	2.00	2.01	0.00
120.00	2.00	1.99	0.00	0.00	2.00	2.00	2.00	0.00
121.00	2.00	2.01	0.00	0.00	2.00	2.00	1.98	0.00
122.00	2.00	1.98	0.00	0.00	2.00	2.00	2.03	0.00
123.00	1.98	2.03	0.00	0.00	2.00	1.99	1.98	0.00
124.00	2.00	1.99	0.00	0.00	1.99	2.00	2.01	0.00
125.00	1.99	1.99	0.00	0.00	2.00	2.00	1.99	0.00
126.00	1.98	1.33	0.28	0.29	2.00	1.99	1.99	0.29
127.00	2.01	2.59	0.12	0.09	2.00	2.00	2.01	0.09
128.00	1.90	1.87	0.74	0.49	2.00	1.80	1.20	0.29
129.00	1.47	0.97	0.69	0.21	2.00	1.41	0.65	0.09
130.00	1.93	2.44	0.25	0.14	1.99	2.00	2.23	0.04
131.00	2.00	1.99	0.00	0.00	2.00	2.00	1.99	0.00
132.00	2.00	2.00	0.00	0.00	2.00	1.98	2.00	0.00
133.00	2.00	2.01	0.00	0.00	2.00	2.01	2.01	0.00
134.00	1.99	1.99	0.00	0.00	2.00	2.00	2.00	0.00
135.00	1.99	1.98	0.00	0.00	2.00	1.99	1.98	0.00
136.00	2.00	2.03	0.00	0.00	1.99	2.00	2.01	0.00
137.00	1.99	1.99	0.00	0.00	2.00	2.00	1.99	0.00
138.00	2.00	2.00	0.00	0.00	2.00	1.99	2.00	0.00
139.00	2.00	2.00	0.00	0.00	2.00	2.00	2.00	0.00
140.00	1.86	1.84	1.50	0.00	2.00	1.73	1.24	0.00
141.00	1.99	1.92	1.91	1.58	2.00	1.83	0.22	0.71
142.00	1.33	1.32	0.29	0.28	2.00	1.98	1.22	0.40
143.00	2.36	2.41	0.07	0.07	1.99	2.03	0.49	0.06
144.00	1.98	1.44	1.39	0.25	2.00	1.99	1.45	0.13
145.00	2.01	2.39	0.52	0.48	2.00	1.97	1.19	0.51
146.00	2.00	1.63	0.33	0.34	2.00	2.01	0.46	0.00
147.00	1.95	1.17	0.47	0.49	2.00	1.94	1.51	0.02
148.00	2.03	2.12	1.97	0.08	2.00	1.94	1.20	0.60
