Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.228s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	0.00	0.04	0.00	0.00	1.99	1.73	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.92	0.00	0.00	1.08	2.00	1.02	0.00	0.93	0.00	0.40
4.00	0.00	0.00	0.95	0.00	0.00	0.61	2.00	0.74	0.00	1.41	0.05	0.60
5.00	0.00	0.00	0.18	0.00	0.00	1.04	2.00	0.48	0.00	0.93	0.01	0.00
6.00	0.00	0.00	0.98	0.00	0.00	0.78	2.00	0.59	0.00	0.31	0.32	0.27
7.00	0.00	0.00	0.79	0.00	0.00	0.84	2.00	0.88	0.00	1.04	0.31	0.27
8.00	0.00	0.00	2.01	0.00	0.00	2.17	1.99	1.44	0.00	0.71	0.19	0.91
9.00	0.00	0.00	0.33	0.00	0.00	0.79	2.00	0.54	0.00	1.37	0.24	0.74
10.00	0.00	0.00	0.46	0.00	0.00	1.53	2.00	0.42	0.00	2.58	0.24	0.66
11.00	0.00	0.00	0.71	0.00	0.00	1.42	2.00	0.47	0.00	0.47	0.15	0.16
12.00	0.00	0.00	0.61	0.00	0.00	1.83	2.00	0.32	0.00	0.05	0.55	0.00
13.00	0.00	0.00	1.61	0.00	0.00	1.53	2.00	0.09	0.00	1.60	0.38	0.01
14.00	0.00	0.01	1.54	0.00	0.00	1.75	1.99	1.17	0.00	0.09	0.00	1.32
15.00	0.00	0.00	2.00	0.00	0.00	2.01	2.00	1.67	0.00	0.68	1.33	1.70
16.00	0.00	0.00	2.00	0.00	0.00	2.00	2.00	0.00	0.00	1.99	0.00	0.00
17.00	0.00	0.00	1.98	0.00	0.00	1.25	2.00	0.00	0.00	1.34	0.00	0.00
18.00	0.00	0.00	1.34	0.00	0.00	1.27	2.00	0.15	0.00	2.03	0.01	0.14
19.00	0.00	0.00	1.46	0.00	0.00	1.85	2.00	0.46	0.00	0.94	0.78	0.00
20.00	0.00	0.00	1.28	0.00	0.00	1.86	1.99	1.14	0.00	1.65	0.64	0.19
21.00	0.00	0.00	0.32	0.00	0.00	1.66	2.00	0.62	0.00	1.84	0.48	1.31
22.00	0.00	0.00	2.30	0.00	0.00	2.03	2.00	0.00	0.00	2.04	0.00	0.00
23.00	0.00	0.00	1.99	0.00	0.00	2.01	2.00	0.00	0.00	2.00	0.00	0.00
24.00	0.00	0.00	2.00	0.00	0.00	1.99	2.00	0.25	0.00	1.99	0.00	0.25
25.00	0.00	0.00	2.01	0.00	0.00	2.00	2.00	0.00	0.00	1.94	0.00	0.00
26.00	0.00	0.00	1.99	0.00	0.00	1.99	1.99	0.00	0.00	1.99	0.00	0.00
27.00	0.00	0.00	2.00	0.00	0.00	2.00	2.00	0.86	0.00	2.01	0.00	0.86
28.00	0.00	0.00	2.00	0.00	0.00	2.00	2.00	0.00	0.00	1.99	0.00	0.00
29.00	0.00	0.00	2.00	0.00	0.00	2.00	2.00	1.00	0.00	2.01	0.00	1.00
30.00	0.00	0.00	1.99	0.00	0.00	1.99	2.00	1.94	0.00	1.99	0.00	2.00
31.00	0.00	0.00	2.00	0.00	0.00	2.00	2.00	0.53	0.00	1.71	0.00	0.31
32.00	0.00	0.00	2.00	0.00	0.00	2.00	1.99	0.66	0.00	2.04	0.95	0.66
33.00	0.00	0.00	1.99	0.00	0.00	1.98	2.00	0.86	0.00	1.95	0.85	0.85
34.00	0.00	0.00	1.24	0.00	0.00	1.18	2.00	0.75	0.00	0.47	0.55	0.53
35.00	0.00	0.00	1.51	0.00	0.00	1.10	2.00	0.42	0.00	0.87	0.29	0.20
36.00	0.00	0.00	1.60	0.00	0.00	1.13	2.00	0.41	0.00	2.16	0.57	0.38
