Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.307s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.07	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.46	0.00	0.00	1.26	0.00	1.53	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.01	0.00	0.07	1.41	0.00	0.47	0.08
5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.59	0.00	0.09	1.66	0.05	0.37	0.00
6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.79	0.00	0.67	1.99	1.87	1.01	0.51
7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.90	0.00	0.51	1.64	1.46	0.00	0.47
8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.79	0.00	0.07	1.78	1.58	0.87	0.00
9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.97	0.00	0.64	2.00	2.03	2.52	0.93
10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.08	0.00	0.15	2.00	2.01	0.00	0.15
11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.70	0.00	0.16	2.00	1.52	1.38	0.16
12.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.86	0.00	0.00	2.00	1.95	2.21	0.00
13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.32	0.00	1.30	1.99	1.87	0.33	1.32
14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.84	0.00	0.29	0.99	1.39	0.67	0.27
15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.35	0.00	0.91	1.60	1.02	0.13	0.06
16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.72	0.00	1.70	1.95	1.98	0.25	0.01
17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.65	0.00	1.02	0.04	0.05	0.11	0.86
18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.62	0.00	0.08	1.88	1.57	0.82	0.06
19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.40	0.00	0.55	0.08	0.08	0.08	0.00
20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.58	0.00	1.72	1.32	1.51	1.19	0.04
21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.13	0.00	0.94	1.81	1.64	0.35	0.00
22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.36	0.00	1.63	2.00	2.04	2.50	1.80
23.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.60	0.00	0.38	1.98	1.97	0.59	0.33
24.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.65	0.00	0.68	1.10	1.38	0.89	0.13
25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.87	0.00	0.91	2.24	1.57	1.00	0.15
26.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.27	0.00	0.93	1.59	1.26	0.21	0.16
27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.90	0.00	0.33	1.75	1.50	1.54	0.11
