Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.431s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
2.00	0.00	0.01	1.99	0.00	0.00
3.00	1.61	0.00	2.00	0.21	0.21
4.00	0.01	0.40	2.00	1.45	0.66
5.00	0.87	0.52	2.00	1.39	0.52
6.00	0.46	0.64	2.00	1.42	0.54
7.00	0.25	0.46	2.00	1.33	0.46
8.00	0.89	0.55	1.99	1.38	0.48
9.00	0.58	0.68	2.00	1.59	0.54
10.00	0.40	0.84	2.00	1.88	0.12
11.00	0.00	0.59	2.00	1.79	0.57
12.00	0.00	0.47	2.00	1.74	0.58
13.00	0.00	0.66	2.00	1.73	0.44
14.00	0.00	0.69	1.99	1.59	0.38
15.00	0.00	0.86	2.00	1.58	0.15
16.00	0.61	0.81	2.00	1.47	0.38
17.00	0.26	0.26	2.00	0.94	0.79
18.00	0.15	0.74	2.00	1.46	0.16
19.00	0.78	0.67	2.00	1.14	0.38
20.00	0.38	0.53	1.99	1.42	0.32
21.00	0.65	0.57	2.00	1.46	0.46
22.00	0.35	0.92	2.00	1.74	0.11
23.00	0.20	0.68	2.00	1.51	0.22
24.00	0.21	0.28	2.00	1.47	0.27
25.00	0.54	0.29	2.00	1.32	0.58
26.00	0.02	0.53	1.99	1.26	0.34
27.00	0.00	0.32	2.00	0.78	0.58
28.00	0.00	0.22	2.00	1.17	0.87
29.00	0.00	0.41	2.00	1.73	0.69
30.00	0.00	0.57	2.00	1.35	0.41
31.00	0.00	0.00	2.00	1.38	0.82
32.00	0.00	0.25	1.99	0.87	0.77
33.00	1.12	0.07	2.00	0.78	0.49
34.00	2.08	0.04	2.00	0.44	0.45
35.00	2.04	0.15	2.00	0.53	0.34
36.00	1.02	0.64	2.00	0.81	0.80
37.00	0.79	0.57	2.00	1.45	0.33
38.00	0.81	0.42	1.99	1.37	0.73
39.00	0.41	0.51	2.00	1.19	0.39
40.00	1.85	0.16	2.00	0.81	0.77
41.00	0.53	0.86	2.00	1.53	0.28
42.00	0.37	0.73	2.00	1.21	0.20
43.00	1.28	0.08	2.00	1.59	0.77
44.00	0.08	0.51	1.99	0.99	0.18
45.00	0.00	0.00	2.00	0.49	0.75
46.00	0.00	0.42	2.00	1.58	0.74
47.00	0.52	0.24	2.00	1.28	0.82
48.00	0.86	0.40	2.00	1.55	0.72
49.00	0.39	0.58	2.00	1.68	0.55
50.00	0.52	0.39	2.00	1.66	0.91
51.00	0.53	0.74	1.99	1.70	0.47
52.00	0.00	0.44	2.00	1.86	0.65
53.00	0.00	0.60	2.00	1.65	0.34
54.00	0.00	0.09	2.00	1.00	0.02
55.00	0.00	0.64	2.00	1.72	0.57
56.00	0.00	1.08	2.00	1.65	0.02
57.00	0.00	0.59	1.99	1.81	0.40
58.00	0.00	0.95	2.00	1.86	0.01
59.00	0.00	0.74	2.00	1.55	0.32
60.00	0.00	0.09	2.00	0.57	0.24
61.00	0.00	0.09	2.00	0.87	0.71
62.00	1.02	0.84	2.00	0.59	0.52
63.00	1.24	0.42	1.99	1.17	0.57
64.00	1.04	0.68	2.00	1.97	0.44
65.00	0.85	0.18	2.00	1.40	0.89
66.00	0.00	0.00	2.00	1.97	1.64
67.00	0.00	0.00	2.00	1.78	1.34
68.00	0.00	0.00	2.00	1.73	1.20
69.00	0.00	0.00	1.99	1.73	1.17
70.00	0.00	0.00	2.00	1.77	1.14
71.00	0.00	0.00	2.00	1.90	1.22
72.00	0.00	0.00	2.00	1.83	1.31
73.00	0.00	0.00	2.00	2.39	2.16
