Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.471s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.49	0.61	0.00	2.00	0.00	1.31	0.00	0.00
4.00	1.45	0.68	2.57	1.05	0.00	2.00	0.00	1.24	0.00	0.00
5.00	1.74	1.31	0.62	0.41	0.00	2.00	0.00	0.65	0.19	0.00
6.00	2.00	1.88	2.07	0.00	0.00	2.00	0.00	0.27	0.08	0.00
7.00	1.44	1.74	1.04	0.47	0.00	2.00	0.00	0.38	0.14	0.00
8.00	1.83	1.91	2.33	0.62	0.00	1.99	0.00	0.35	0.33	0.00
9.00	2.04	1.87	1.81	0.97	0.00	2.00	0.00	1.30	0.99	0.00
10.00	1.93	1.72	1.01	1.21	0.00	2.00	0.00	1.54	0.49	0.00
11.00	1.80	1.87	2.05	0.00	0.00	2.00	0.00	2.01	0.77	0.00
12.00	1.53	1.52	1.04	0.49	0.00	2.00	0.00	0.79	0.67	0.00
13.00	1.99	1.98	1.99	1.45	0.00	2.00	0.00	1.57	1.60	0.00
14.00	2.00	1.94	1.65	1.24	0.00	1.99	0.00	1.55	1.38	0.00
15.00	1.98	1.95	1.48	0.25	0.00	2.00	0.00	0.85	0.98	0.00
16.00	2.00	1.94	1.95	0.33	0.00	2.00	0.00	0.86	0.09	0.00
17.00	2.00	2.07	1.17	0.00	0.00	2.00	0.00	2.48	0.33	0.00
