Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.291s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	0.00	0.00	1.00	0.00	0.00	0.00	0.52	1.99	0.00	0.00	0.26	0.15	0.00	0.00	0.00
3.00	0.00	0.00	2.06	0.00	0.00	0.00	1.45	2.00	1.17	0.00	0.18	0.32	0.00	0.00	0.00
4.00	0.00	0.00	1.35	0.00	0.00	0.00	1.18	2.00	1.65	0.00	0.67	0.73	0.00	0.00	0.00
5.00	0.00	0.00	0.35	0.00	0.00	0.00	0.39	2.00	1.39	0.44	0.06	0.25	0.00	0.00	0.00
6.00	0.00	0.00	0.18	0.93	0.00	0.00	0.91	2.00	1.61	1.19	0.00	0.39	0.00	0.00	0.00
7.00	0.00	0.00	2.00	0.00	0.00	0.00	1.33	2.00	0.95	1.22	1.08	1.11	0.00	0.00	0.00
8.00	0.00	0.00	1.08	0.52	0.00	0.00	0.35	1.99	0.79	0.65	0.72	0.75	0.00	0.00	0.00
9.00	0.00	0.00	1.05	1.41	0.00	0.00	1.85	2.00	1.68	1.66	1.38	1.38	0.00	0.00	0.00
10.00	0.00	0.00	0.64	2.04	0.00	0.00	0.33	2.00	1.86	1.46	0.00	0.00	0.00	0.00	0.00
11.00	0.00	0.00	1.94	1.40	0.00	0.00	0.24	2.00	1.66	1.10	0.98	2.60	0.00	0.00	0.00
12.00	0.00	0.00	1.44	1.64	0.00	0.00	0.00	2.00	1.35	1.47	0.16	0.31	0.00	0.00	0.00
13.00	0.00	0.00	1.20	0.02	0.00	0.00	0.67	2.00	0.75	0.71	1.12	1.31	0.00	0.00	0.00
14.00	0.00	0.00	0.65	0.81	0.00	0.00	0.99	1.99	1.32	1.08	0.08	0.64	0.00	0.00	0.00
15.00	0.00	0.00	1.88	0.80	0.00	0.00	0.51	2.00	1.21	0.89	0.02	0.84	0.00	0.00	0.00
16.00	0.00	0.00	2.00	0.00	0.00	0.00	2.04	2.00	0.00	0.22	2.74	2.26	0.00	0.00	0.00
17.00	0.00	0.00	1.98	0.00	0.00	0.00	1.84	2.00	0.02	0.00	1.87	1.85	0.00	0.00	0.00
18.00	0.00	0.00	1.86	0.02	0.00	0.00	1.91	2.00	1.66	1.26	1.13	1.61	0.00	0.00	0.00
19.00	0.00	0.00	1.73	0.00	0.00	0.00	1.87	2.00	0.47	0.26	0.92	1.41	0.00	0.00	0.00
20.00	0.00	0.00	0.05	1.34	0.00	0.00	0.69	1.99	0.07	0.93	0.27	0.18	0.00	0.00	0.00
21.00	0.00	0.00	1.05	1.47	0.00	0.00	1.06	2.00	2.07	1.42	1.35	1.71	0.00	0.00	0.00
22.00	0.00	0.00	0.46	1.70	0.00	0.00	1.54	2.00	1.83	1.38	0.78	1.87	0.00	0.00	0.00
23.00	0.00	0.00	2.45	0.05	0.00	0.00	1.21	2.00	1.78	2.12	2.10	1.94	0.00	0.00	0.00
24.00	0.00	0.00	1.50	0.98	0.00	0.00	0.71	2.00	1.60	0.64	0.48	0.85	0.00	0.00	0.00
25.00	0.00	0.00	2.01	1.94	0.00	0.00	1.88	2.00	2.01	0.00	1.42	0.29	0.00	0.00	0.00
26.00	0.00	0.00	1.67	1.04	0.00	0.00	1.59	1.99	1.65	1.02	0.00	1.31	0.00	0.00	0.00
27.00	0.00	0.00	1.14	1.19	0.00	0.00	0.59	2.00	0.65	1.07	0.07	0.81	0.00	0.00	0.00
28.00	0.00	0.00	2.07	0.00	0.00	0.00	1.90	2.00	0.31	0.26	0.24	1.78	0.00	0.00	0.00
29.00	0.00	0.00	2.00	1.25	0.00	0.00	1.57	2.00	1.38	1.08	1.45	1.64	0.00	0.00	0.00
30.00	0.00	0.00	1.39	0.25	0.00	0.00	0.98	2.00	1.11	0.64	0.38	0.25	0.00	0.00	0.00
31.00	0.00	0.00	2.08	1.91	0.00	0.00	1.91	2.00	2.00	1.93	0.00	1.73	0.00	0.00	0.00
32.00	0.00	0.00	1.53	0.98	0.00	0.00	1.11	1.99	1.60	0.93	0.88	1.68	0.00	0.00	0.00
33.00	0.00	0.00	2.08	0.46	0.00	0.00	1.95	2.00	2.04	0.72	1.95	1.54	0.00	0.00	0.00
34.00	0.00	0.00	1.47	0.68	0.00	0.00	1.73	2.00	1.77	0.65	0.94	1.04	0.00	0.00	0.00
35.00	0.00	0.00	0.00	0.37	0.00	0.00	0.02	2.00	0.61	0.13	0.14	0.16	0.00	0.00	0.00
36.00	0.00	0.00	1.95	0.12	0.00	0.00	0.79	2.00	2.03	2.03	0.80	2.08	0.00	0.00	0.00
37.00	0.00	0.00	1.52	0.82	0.00	0.00	0.87	2.00	1.61	0.41	0.64	1.07	0.00	0.00	0.00
38.00	0.00	0.00	1.64	1.65	0.00	0.00	0.00	1.99	1.65	2.11	0.00	2.03	0.00	0.00	0.00
39.00	0.00	0.00	1.07	0.57	0.00	0.00	0.45	2.00	0.86	0.95	0.51	0.37	0.00	0.00	0.00
40.00	0.00	0.00	1.15	0.77	0.00	0.00	0.86	2.00	0.60	0.45	0.73	1.17	0.00	0.00	0.00
41.00	0.00	0.00	0.84	0.22	0.00	0.00	0.78	2.00	0.51	0.47	0.58	0.78	0.00	0.00	0.00
42.00	0.00	0.00	1.65	1.31	0.00	0.00	0.91	2.00	1.78	1.51	0.00	2.17	0.00	0.00	0.00
43.00	0.00	0.00	1.11	1.10	0.00	0.00	0.95	2.00	1.28	1.06	0.59	1.30	0.00	0.00	0.00
44.00	0.00	0.00	1.48	0.68	0.00	0.00	1.74	1.99	1.52	0.99	0.32	1.54	0.00	0.00	0.00
45.00	0.00	0.00	2.03	1.26	0.00	0.00	1.98	2.00	0.21	0.28	1.55	1.86	0.00	0.00	0.00
46.00	0.00	0.00	1.94	0.54	0.00	0.00	1.64	2.00	1.02	0.87	0.60	0.94	0.00	0.00	0.00
47.00	0.00	0.00	1.47	0.19	0.00	0.00	1.38	2.00	1.92	0.28	0.07	1.42	0.00	0.00	0.00
48.00	0.00	0.00	0.99	1.39	0.00	0.00	1.19	2.00	1.22	0.40	0.34	0.31	0.00	0.00	0.00
49.00	0.00	0.00	2.73	2.06	0.00	0.00	1.72	2.00	1.73	0.97	1.19	2.47	0.00	0.00	0.00
50.00	0.00	0.00	1.28	1.91	0.00	0.00	1.04	2.00	1.81	0.80	0.00	0.40	0.00	0.00	0.00
51.00	0.00	0.00	1.98	0.00	0.00	0.00	0.59	1.99	0.00	0.24	1.51	1.46	0.00	0.00	0.00
52.00	0.00	0.00	0.92	1.05	0.00	0.00	1.44	2.00	1.47	0.54	0.19	0.75	0.00	0.00	0.00
53.00	0.00	0.00	1.12	1.46	0.00	0.00	1.28	2.00	1.97	1.06	0.48	0.18	0.00	0.00	0.00
54.00	0.00	0.00	1.50	1.80	0.00	0.00	1.28	2.00	1.72	1.34	0.62	1.46	0.00	0.00	0.00
55.00	0.00	0.00	1.30	0.37	0.00	0.00	1.64	2.00	1.44	0.45	0.66	1.10	0.00	0.00	0.00
56.00	0.00	0.00	1.85	0.74	0.00	0.00	1.85	2.00	1.90	0.93	0.04	2.16	0.00	0.00	0.00
57.00	0.00	0.00	1.34	1.34	0.00	0.00	1.06	1.99	2.01	0.21	0.31	1.35	0.00	0.00	0.00
58.00	0.00	0.00	0.84	0.86	0.00	0.00	1.55	2.00	0.77	0.07	1.52	2.30	0.00	0.00	0.00
59.00	0.00	0.00	1.90	1.07	0.00	0.00	1.15	2.00	1.31	0.68	1.17	0.22	0.00	0.00	0.00
60.00	0.00	0.00	2.07	0.18	0.00	0.00	0.89	2.00	1.19	1.01	0.25	0.64	0.00	0.00	0.00
61.00	0.00	0.00	2.00	0.00	0.00	0.00	1.94	2.00	1.93	1.95	1.95	0.54	0.00	0.00	0.00
62.00	0.00	0.00	1.98	0.07	0.00	0.00	1.91	2.00	0.18	0.18	1.83	1.15	0.00	0.00	0.00
63.00	0.00	0.00	1.20	0.15	0.00	0.00	1.88	1.99	0.48	0.20	1.60	1.53	0.00	0.00	0.00
64.00	0.00	0.00	1.98	0.00	0.00	0.00	2.00	2.00	0.00	0.00	1.99	1.99	0.00	0.00	0.00
65.00	0.00	0.00	1.65	0.00	0.00	0.00	1.99	2.00	0.02	0.05	1.60	1.64	0.00	0.00	0.00
66.00	0.00	0.00	1.26	0.81	0.00	0.00	1.20	2.00	0.44	0.61	1.26	1.02	0.00	0.00	0.00
67.00	0.00	0.00	1.47	0.04	0.00	0.00	1.08	2.00	1.41	1.46	0.53	1.19	0.00	0.00	0.00
68.00	0.00	0.00	2.07	0.94	0.00	0.00	1.18	2.00	1.65	0.91	0.42	1.63	0.00	0.00	0.00
69.00	0.00	0.00	1.27	1.07	0.00	0.00	1.60	1.99	1.61	1.48	0.00	1.32	0.00	0.00	0.00
70.00	0.00	0.00	1.44	1.24	0.00	0.00	1.24	2.00	0.99	0.93	0.26	1.25	0.00	0.00	0.00
71.00	0.00	0.00	1.22	0.66	0.00	0.00	1.12	2.00	1.31	1.34	0.93	1.15	0.00	0.00	0.00
72.00	0.00	0.00	1.24	0.19	0.00	0.00	0.89	2.00	0.61	1.40	1.01	2.32	0.00	0.00	0.00
73.00	0.00	0.00	1.48	1.31	0.00	0.00	1.25	2.00	1.50	1.39	1.30	1.44	0.00	0.00	0.00
74.00	0.00	0.00	1.98	0.77	0.00	0.00	0.58	2.00	0.75	0.84	0.61	0.74	0.00	0.00	0.00
75.00	0.00	0.00	1.24	1.18	0.00	0.00	0.93	1.99	1.33	1.11	0.38	0.77	0.00	0.00	0.00
76.00	0.00	0.00	1.71	0.35	0.00	0.00	0.08	2.00	1.30	1.22	0.54	1.37	0.00	0.00	0.00
77.00	0.00	0.00	2.00	0.02	0.00	0.00	1.68	2.00	1.98	2.00	1.84	1.95	0.00	0.00	0.00
78.00	0.00	0.00	1.99	0.00	0.00	0.00	2.00	2.00	1.98	1.99	1.98	2.00	0.00	0.00	0.00
79.00	0.00	0.00	2.01	0.98	0.00	0.00	2.00	2.00	1.92	1.75	1.99	1.71	0.00	0.00	0.00
80.00	0.00	0.00	2.00	0.00	0.00	0.00	1.99	2.00	1.98	2.00	2.00	1.99	0.00	0.00	0.00
81.00	0.00	0.00	1.99	0.00	0.00	0.00	2.00	1.99	1.99	2.00	2.00	2.00	0.00	0.00	0.00
82.00	0.00	0.00	2.00	0.00	0.00	0.00	2.00	2.00	1.98	2.00	2.00	2.00	0.00	0.00	0.00
83.00	0.00	0.00	2.00	0.00	0.00	0.00	2.00	2.00	1.99	2.00	1.99	2.00	0.00	0.00	0.00
84.00	0.00	0.00	2.00	0.00	0.00	0.00	2.00	2.00	1.98	2.00	1.99	2.00	0.00	0.00	0.00
85.00	0.00	0.00	2.00	0.00	0.00	0.00	1.99	2.00	2.00	1.99	2.00	2.00	0.00	0.00	0.00
86.00	0.00	0.00	2.00	0.00	0.00	0.00	1.99	2.00	2.00	2.00	2.00	1.99	0.00	0.00	0.00
87.00	0.00	0.00	1.99	0.00	0.00	0.00	1.98	1.99	1.99	2.00	2.00	2.00	0.00	0.00	0.00
88.00	0.00	0.00	2.00	0.00	0.00	0.00	2.00	2.00	1.99	2.00	2.00	2.00	0.00	0.00	0.00
