Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.320s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
2.00	1.53	0.00	0.00	1.99	1.44	1.97
3.00	1.47	1.01	1.48	2.00	1.99	1.98
4.00	0.85	1.46	1.75	2.00	1.97	1.97
5.00	0.79	1.44	1.78	2.00	1.94	1.94
6.00	1.12	1.60	1.97	2.00	0.64	0.60
7.00	0.16	1.63	1.92	2.00	2.44	2.39
8.00	0.39	1.67	1.91	1.99	2.00	1.99
9.00	0.93	1.51	1.93	2.00	2.00	2.00
10.00	0.97	1.44	1.80	2.00	1.84	1.81
11.00	0.81	1.45	1.85	2.00	1.83	1.77
12.00	0.95	1.48	1.94	2.00	1.99	2.00
13.00	0.49	1.11	2.50	2.00	1.77	1.74
14.00	0.00	0.40	1.75	1.99	2.00	2.00
15.00	0.00	0.78	2.04	2.00	2.00	1.99
16.00	0.01	1.04	2.10	2.00	1.99	2.00
17.00	0.02	2.08	1.93	2.00	1.97	1.97
18.00	0.54	0.66	1.79	2.00	2.00	1.99
19.00	1.22	1.47	1.65	2.00	2.00	2.00
20.00	0.89	1.58	1.91	1.99	2.00	1.99
21.00	0.84	1.37	2.07	2.00	2.00	2.00
22.00	0.01	1.64	1.84	2.00	1.98	1.92
23.00	0.75	1.67	1.84	2.00	2.00	2.01
24.00	0.95	1.42	1.85	2.00	2.00	2.00
25.00	0.86	1.52	1.94	2.00	2.00	2.01
26.00	0.37	0.60	2.46	1.99	1.99	1.99
27.00	0.01	1.64	1.73	2.00	2.00	2.00
28.00	0.27	1.54	1.92	2.00	1.99	1.97
29.00	0.78	1.93	1.68	2.00	2.00	1.99
30.00	0.98	1.45	1.86	2.00	1.99	1.99
31.00	0.89	1.52	1.95	2.00	2.01	2.00
32.00	0.88	1.50	1.78	1.99	1.86	1.84
33.00	0.87	1.55	1.91	2.00	2.01	2.00
34.00	0.94	1.53	1.84	2.00	1.99	2.00
35.00	0.95	1.52	1.83	2.00	1.99	1.98
36.00	0.97	1.59	1.97	2.00	0.81	0.77
37.00	0.98	1.57	1.93	2.00	2.68	0.80
38.00	0.16	2.01	2.06	1.99	1.98	2.92
39.00	1.14	1.47	1.77	2.00	2.00	2.00
40.00	0.80	1.34	2.19	2.00	2.01	1.99
41.00	0.01	1.59	1.66	2.00	1.74	1.75
42.00	0.31	2.13	2.12	2.00	1.98	1.99
43.00	0.49	1.99	1.99	2.00	2.01	2.00
44.00	0.49	2.01	2.00	1.99	1.97	1.98
45.00	0.00	2.30	2.30	2.00	2.03	2.04
46.00	0.15	0.68	1.72	2.00	2.00	2.00
47.00	0.73	1.93	1.63	2.00	1.97	1.91
48.00	0.51	1.86	2.00	2.00	1.91	1.92
49.00	0.97	1.53	1.88	2.00	1.95	0.41
50.00	0.73	1.51	2.01	2.00	1.88	2.53
51.00	0.00	1.19	2.10	1.99	1.99	1.91
52.00	0.11	1.32	1.70	2.00	2.01	2.10
53.00	0.22	1.18	2.12	2.00	1.91	1.90
54.00	0.00	2.57	2.11	2.00	2.01	1.99
55.00	0.89	1.71	1.72	2.00	1.99	2.00
56.00	0.94	1.55	1.77	2.00	1.99	1.99
57.00	0.87	1.51	1.90	1.99	1.99	1.99
58.00	0.84	1.48	1.75	2.00	1.83	1.83
59.00	0.84	1.64	1.87	2.00	1.98	1.98
60.00	0.91	1.57	1.87	2.00	2.01	2.01
61.00	0.88	1.61	1.92	2.00	1.98	1.98
62.00	0.97	1.52	1.88	2.00	2.01	2.00
63.00	0.29	0.85	2.32	1.99	1.88	1.87
64.00	0.02	2.03	1.60	2.00	2.00	1.97
65.00	0.85	1.60	1.86	2.00	1.99	2.01
66.00	0.09	0.14	2.48	2.00	1.91	1.88
67.00	0.15	1.44	1.57	2.00	1.97	1.51
68.00	0.66	1.81	1.87	2.00	2.03	2.37
69.00	0.32	1.18	2.13	1.99	1.99	2.01
70.00	0.00	2.39	2.25	2.00	1.99	1.97
71.00	0.88	1.45	1.65	2.00	1.79	1.75
72.00	1.01	1.53	1.83	2.00	1.99	1.99
73.00	0.94	1.34	2.16	2.00	0.72	0.68
74.00	0.86	1.11	2.10	2.00	2.77	0.49
75.00	0.00	0.49	2.00	1.99	2.00	0.00
76.00	0.00	1.97	1.59	2.00	1.98	2.92
77.00	0.69	1.63	1.68	2.00	1.79	1.63
78.00	0.11	2.19	2.37	2.00	2.00	2.06
