Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.183s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
5.00	1.53	0.00	1.34	0.00	0.00	0.00	2.00	1.53	1.41	1.61	1.63	1.50
6.00	0.55	0.65	0.91	0.84	0.42	1.52	2.00	0.95	0.59	0.53	1.66	1.38
7.00	0.59	0.99	0.65	0.77	0.59	0.89	2.00	0.79	0.14	0.74	0.55	1.25
8.00	0.00	0.80	0.58	0.00	0.01	0.46	1.99	1.14	0.29	0.61	1.24	0.79
9.00	0.00	0.47	1.12	1.10	0.35	1.19	2.00	0.75	0.22	0.80	0.78	0.49
10.00	0.33	1.54	1.50	1.34	1.10	1.61	2.00	1.61	0.48	1.01	0.98	0.61
11.00	0.07	0.58	1.26	0.99	0.41	1.20	2.00	1.20	0.00	0.35	1.32	0.95
12.00	0.00	0.44	0.19	1.25	0.18	0.86	2.00	1.26	0.02	0.66	1.06	0.87
13.00	0.32	0.94	1.34	1.33	0.45	0.91	2.00	1.18	0.00	0.80	0.85	0.53
14.00	0.94	1.14	1.34	0.18	1.08	1.30	1.99	1.33	0.31	0.60	1.30	0.61
15.00	0.04	1.25	1.64	0.32	1.38	1.04	2.00	1.14	0.88	1.48	1.34	0.94
16.00	0.99	0.86	0.66	1.04	1.20	1.67	2.00	0.78	0.40	1.22	1.53	1.47
17.00	0.02	0.68	0.31	0.51	0.80	1.08	2.00	1.18	0.91	0.85	1.34	0.04
18.00	0.31	0.47	1.80	1.35	0.00	1.05	2.00	1.45	0.61	1.13	0.72	0.00
19.00	0.41	0.98	0.64	0.64	0.60	1.50	2.00	1.30	0.00	1.48	1.60	1.45
20.00	1.31	0.57	1.18	1.21	1.00	1.50	1.99	1.18	0.42	1.24	1.20	1.48
21.00	0.15	0.97	0.42	0.31	0.77	0.73	2.00	0.48	0.80	0.64	0.68	0.68
22.00	0.00	1.13	0.62	1.12	0.78	0.49	2.00	0.60	0.00	0.00	1.38	1.53
23.00	0.28	0.32	0.52	0.38	0.01	0.25	2.00	0.45	0.47	0.74	0.87	1.20
24.00	0.45	0.00	0.79	0.58	0.12	1.26	2.00	1.17	1.59	1.61	1.67	1.65
25.00	0.32	0.05	0.61	1.21	0.59	1.54	2.00	1.87	0.00	0.59	1.12	1.52
26.00	0.00	2.87	1.77	0.31	1.26	1.08	1.99	0.85	0.61	1.64	1.32	0.00
27.00	0.00	1.20	1.47	1.32	1.00	1.08	2.00	0.89	0.49	1.42	0.54	0.68
28.00	0.72	1.13	1.05	0.46	0.87	0.92	2.00	0.47	0.00	0.00	0.72	0.49
29.00	0.26	1.07	0.88	0.00	1.95	1.68	2.00	1.64	0.81	2.25	1.77	1.95
30.00	0.24	0.54	0.00	1.24	1.02	1.30	2.00	1.46	0.31	1.25	1.10	1.50
31.00	0.00	1.48	0.46	0.35	0.62	1.40	2.00	0.45	0.15	1.06	1.04	0.55
32.00	0.00	1.15	0.46	0.67	0.32	1.60	1.99	1.12	0.02	0.66	1.67	1.01
33.00	0.27	1.65	0.95	0.31	0.82	1.44	2.00	1.45	0.00	1.28	0.75	1.08
34.00	0.59	0.74	1.42	1.17	0.42	0.78	2.00	0.68	0.21	0.82	1.57	1.21
35.00	0.31	0.75	1.31	1.19	0.42	0.94	2.00	1.37	0.33	1.17	1.66	1.14
36.00	0.53	0.87	0.67	1.57	0.62	0.80	2.00	1.35	1.04	1.30	1.13	0.99
37.00	0.00	0.61	1.92	1.78	0.66	1.59	2.00	0.79	0.00	1.31	1.64	1.14
38.00	0.00	1.35	1.42	0.39	0.64	1.86	1.99	1.84	0.00	1.25	1.73	1.92
39.00	0.48	0.82	0.00	0.39	1.05	1.31	2.00	1.50	0.11	1.34	0.67	1.21
40.00	0.73	0.88	1.85	1.13	0.22	0.80	2.00	1.10	0.00	1.70	1.01	0.94
41.00	0.00	0.87	1.53	0.06	0.58	1.55	2.00	1.06	1.21	1.64	1.02	0.34
42.00	0.25	1.10	1.15	1.04	0.86	1.48	2.00	1.12	0.59	0.94	1.22	0.00
43.00	1.66	2.05	1.01	0.86	1.66	1.38	2.00	0.87	0.69	1.37	0.87	0.00
44.00	0.22	0.45	1.26	1.57	1.45	1.66	1.99	1.11	0.29	1.98	1.80	0.00
45.00	0.12	1.30	1.64	1.20	0.68	1.12	2.00	1.31	0.00	1.24	0.95	0.01
46.00	0.14	1.20	0.64	0.99	0.14	1.31	2.00	1.12	0.06	1.05	1.19	0.24
47.00	0.71	1.19	1.35	0.33	0.66	1.64	2.00	1.78	0.35	0.79	1.88	0.88
48.00	0.88	1.77	1.14	1.30	0.45	1.59	2.00	1.33	0.00	1.25	1.75	0.93
49.00	0.00	0.80	1.24	0.13	0.08	1.17	2.00	1.44	0.01	0.73	1.74	1.10
50.00	0.16	1.39	1.45	0.86	1.51	0.38	2.00	1.80	0.00	0.00	1.20	0.31
51.00	0.31	0.42	0.45	1.71	1.42	0.00	1.99	1.46	0.00	0.00	1.33	1.99
52.00	0.04	1.37	2.00	2.00	1.94	0.01	2.00	1.88	0.00	0.00	1.97	1.92
53.00	1.01	1.32	1.41	0.34	1.37	0.00	2.00	1.38	0.00	0.00	1.33	1.34
54.00	0.00	1.20	1.32	0.65	0.39	0.00	2.00	1.17	0.00	0.00	1.24	0.53
55.00	0.69	1.66	1.08	0.82	0.86	0.15	2.00	1.19	0.16	0.00	1.45	1.73
56.00	0.59	1.61	1.00	1.53	1.44	0.00	2.00	1.17	0.20	0.00	1.93	2.03
57.00	0.00	0.12	0.08	0.65	0.18	0.00	1.99	0.34	0.00	0.00	0.12	0.34
58.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
59.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
60.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
61.00	1.51	1.60	0.00	0.00	1.45	1.54	2.00	1.57	1.53	0.00	0.00	1.60
