Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.245s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
5.00	0.00	1.73	1.67	0.00	0.62	2.00	0.00	1.55	0.00	0.71
6.00	1.94	1.74	1.45	0.00	0.25	2.00	1.75	0.48	0.00	0.20
7.00	1.99	1.97	1.65	0.00	0.62	2.00	2.01	2.00	0.00	1.68
8.00	2.00	2.00	1.95	1.18	0.74	1.99	1.99	2.00	0.00	1.67
9.00	2.00	1.85	1.47	1.71	1.30	2.00	2.00	1.63	0.00	0.98
10.00	2.00	1.99	0.07	0.59	1.15	2.00	1.99	1.58	0.00	0.49
11.00	2.00	2.01	1.79	0.59	0.59	2.00	2.01	1.90	0.00	0.00
12.00	1.98	1.90	1.32	1.11	0.69	2.00	1.88	1.80	0.00	0.44
13.00	1.97	2.00	1.57	0.26	0.27	2.00	1.99	1.99	0.00	0.24
14.00	2.00	1.94	1.53	0.32	1.28	1.99	2.01	1.60	0.00	0.52
15.00	1.99	2.00	2.10	0.40	0.08	2.00	2.00	1.98	0.00	0.59
16.00	1.21	1.65	1.79	0.39	0.31	2.00	1.90	1.86	0.00	0.00
