Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.361s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	0.00	0.00	0.22	0.26	0.22	0.00	0.00	1.99	0.69	0.00	0.00	1.14	0.00	0.18	0.00
3.00	0.00	0.00	1.92	0.45	0.31	0.00	0.00	2.00	1.92	0.32	0.00	1.91	0.00	0.94	0.86
4.00	0.00	0.00	1.05	1.53	0.19	0.00	1.14	2.00	1.53	0.20	0.00	2.03	0.00	0.32	0.16
5.00	0.00	0.00	1.68	0.74	0.20	0.00	1.54	2.00	0.57	0.02	0.00	1.20	0.00	0.86	0.80
6.00	0.00	0.00	1.00	0.84	0.02	0.00	1.48	2.00	1.55	0.41	0.00	1.42	0.00	0.42	0.40
7.00	0.00	0.00	1.92	1.22	1.07	0.00	0.49	2.00	1.63	0.82	0.00	0.04	0.00	1.67	0.00
8.00	0.00	0.00	2.06	0.33	0.35	0.00	1.88	1.99	1.75	0.65	0.00	1.84	0.00	1.67	2.10
9.00	0.00	0.00	1.11	0.49	0.21	0.00	0.86	2.00	1.14	0.35	0.00	0.40	0.00	0.16	0.20
10.00	0.00	0.00	0.21	0.48	1.13	0.00	0.49	2.00	1.25	0.44	0.00	0.27	0.00	1.41	1.40
11.00	0.00	0.00	0.40	0.45	1.11	0.00	0.74	2.00	1.71	0.00	0.00	1.11	0.00	0.16	0.09
12.00	0.00	0.00	0.44	0.49	0.00	0.00	0.16	2.00	1.67	0.00	0.00	0.49	0.00	0.34	0.34
13.00	0.00	0.00	0.59	1.11	0.28	0.00	1.53	2.00	0.95	0.34	0.00	0.41	0.00	1.11	0.95
14.00	0.00	0.00	0.68	1.21	0.58	0.00	1.06	1.99	1.37	0.04	0.00	0.61	0.00	1.60	1.51
15.00	0.00	0.00	1.39	2.01	0.88	0.00	1.83	2.00	2.04	0.04	0.00	0.00	0.00	1.91	1.78
16.00	0.00	0.00	1.19	1.33	0.81	0.00	1.33	2.00	1.32	0.00	0.00	0.81	0.00	1.22	0.34
17.00	0.00	0.00	1.37	1.11	0.34	0.00	0.59	2.00	0.54	0.47	0.00	0.51	0.00	0.26	0.32
18.00	0.00	0.00	0.47	0.78	0.00	0.00	1.30	2.00	1.30	0.86	0.00	2.01	0.00	0.92	0.97
19.00	0.00	0.00	0.95	0.39	0.57	0.00	1.50	2.00	1.61	0.75	0.00	1.50	0.00	0.61	0.49
20.00	0.00	0.00	0.64	0.00	0.00	0.00	0.31	1.99	0.22	0.05	0.00	1.25	0.00	0.66	0.57
21.00	0.00	0.00	1.79	1.61	0.00	0.00	1.66	2.00	1.73	1.10	0.00	0.87	0.00	0.45	0.41
22.00	0.00	0.00	1.48	0.64	0.34	0.00	0.52	2.00	1.04	1.22	0.00	1.30	0.00	0.21	0.16
23.00	0.00	0.00	1.17	0.31	0.01	0.00	0.93	2.00	1.01	0.05	0.00	0.88	0.00	0.60	0.49
24.00	0.00	0.00	1.19	0.42	0.00	0.00	0.46	2.00	0.85	0.58	0.00	1.81	0.00	0.59	0.67
25.00	0.00	0.00	2.16	2.33	0.00	0.00	1.73	2.00	2.08	1.07	0.00	1.75	0.00	0.74	0.00
26.00	0.00	0.00	0.87	0.31	0.00	0.00	1.34	1.99	1.54	0.00	0.00	1.85	0.00	1.07	0.00
27.00	0.00	0.00	0.00	0.31	0.09	0.00	1.30	2.00	0.94	0.32	0.00	1.01	0.00	0.42	0.31
28.00	0.00	0.00	1.61	0.25	0.31	0.00	1.66	2.00	1.63	0.28	0.00	1.45	0.00	0.09	0.00
