Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.378s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00
4.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	0.00	1.72	1.73	2.00	1.91	0.04	0.00
6.00	1.92	1.86	2.00	2.00	1.98	2.83	0.04
7.00	1.99	1.91	1.99	2.00	2.00	2.00	0.00
8.00	2.00	1.86	2.00	1.99	1.99	2.00	0.00
9.00	1.99	1.86	2.00	2.00	2.00	2.00	0.00
10.00	2.00	1.86	2.00	2.00	1.99	2.00	0.00
11.00	1.99	1.88	2.00	2.00	1.98	1.99	0.00
12.00	1.99	1.84	2.00	2.00	2.00	2.00	0.00
13.00	1.99	1.88	1.99	2.00	1.99	2.00	0.00
14.00	2.00	1.87	2.00	1.99	1.99	2.00	0.00
15.00	2.00	1.90	2.00	2.00	1.99	2.00	0.00
16.00	2.00	1.91	2.00	2.00	1.99	2.00	0.00
17.00	2.00	1.87	2.00	2.00	1.99	1.99	0.00
18.00	1.99	1.87	2.00	2.00	1.99	2.00	0.00
19.00	1.99	1.91	2.00	2.00	1.99	2.00	0.00
20.00	2.00	1.93	1.99	1.99	1.99	2.00	0.00
21.00	1.99	1.85	2.00	2.00	2.00	2.00	0.00
22.00	2.00	1.91	2.00	2.00	2.00	2.00	0.00
23.00	1.99	1.91	2.00	2.00	2.00	2.00	0.00
24.00	2.00	1.87	2.00	2.00	2.00	1.99	0.00
25.00	2.00	1.88	2.00	2.00	1.98	2.00	0.00
26.00	1.99	1.92	1.99	1.99	1.98	2.00	0.00
