Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.371s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	1.41	0.00	0.00	1.99	1.47	0.68	1.91
3.00	1.45	1.95	0.65	2.64	2.00	2.00	1.99	1.99
4.00	1.98	1.88	1.93	2.00	2.00	2.00	1.93	2.00
5.00	2.00	1.91	1.97	2.00	2.00	1.99	1.86	1.94
6.00	2.00	1.90	1.99	2.00	2.00	2.01	1.87	2.00
7.00	2.00	1.99	1.98	1.99	2.00	1.99	1.87	2.00
8.00	1.99	1.98	1.95	2.00	1.99	2.00	1.93	2.00
9.00	1.99	1.97	1.94	2.00	2.00	2.00	1.97	2.00
10.00	2.00	1.97	1.98	2.00	2.00	2.00	1.85	1.99
11.00	2.00	1.93	1.99	2.00	2.00	1.99	1.90	2.00
12.00	2.00	1.98	1.99	2.00	2.00	2.01	1.88	2.00
13.00	2.00	1.98	1.99	1.99	2.00	1.99	1.91	2.00
14.00	1.98	1.97	1.99	2.00	1.99	2.00	1.93	1.99
15.00	2.00	1.95	1.99	2.00	2.00	2.00	1.92	2.00
16.00	1.99	1.94	1.97	2.00	2.00	2.00	1.91	2.00
17.00	2.00	1.95	1.98	2.00	2.00	2.00	1.87	1.99
18.00	2.00	1.99	1.99	2.00	2.00	2.00	1.92	2.00
19.00	2.00	1.98	1.99	2.00	2.00	1.99	1.92	2.00
20.00	2.00	1.99	1.98	1.99	1.99	2.00	1.92	2.00
21.00	2.00	1.95	2.00	2.00	2.00	2.00	1.86	2.00
22.00	1.99	1.92	1.98	2.00	2.00	2.00	1.91	1.99
23.00	1.99	1.98	1.94	2.00	2.00	2.00	1.94	1.99
24.00	2.00	1.98	1.99	2.00	2.00	2.00	1.94	2.00
25.00	2.00	1.99	1.97	2.00	2.00	1.99	1.92	2.00
26.00	1.99	2.00	1.99	1.99	1.99	2.00	1.93	2.00
27.00	2.00	1.97	2.00	2.00	2.00	2.00	1.91	2.00
28.00	2.00	1.97	1.97	2.00	2.00	2.00	1.87	1.99
29.00	1.98	1.93	1.97	2.00	2.00	2.00	1.93	2.00
30.00	2.00	1.95	1.98	2.00	2.00	1.99	1.95	1.99
31.00	2.00	1.99	1.98	2.00	2.00	2.00	1.94	2.00
32.00	2.00	1.98	1.99	1.99	1.99	2.00	1.95	2.00
33.00	2.00	1.99	1.97	2.00	2.00	2.00	1.88	2.00
34.00	2.00	1.98	1.98	2.00	2.00	2.00	1.90	1.99
35.00	1.99	1.98	1.98	2.00	2.00	2.00	1.92	2.01
36.00	2.00	1.98	1.98	2.00	2.00	2.00	1.88	1.99
37.00	2.00	2.00	1.99	1.99	2.00	2.00	1.93	2.00
38.00	2.00	1.90	1.95	2.00	1.99	1.99	1.93	2.00
