Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.332s)
CreateVariables () DONE !!!
Creating 24 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.40	0.19	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	1.07	0.26	0.00	0.00	0.00	0.00	0.00	2.00	0.37	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	0.01	0.00	0.00	0.06	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.25	0.00	0.00	0.00	0.00	0.07	0.00	0.44	0.00	0.28
6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.19	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00
7.00	0.00	0.00	0.00	0.00	0.61	0.25	0.19	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.06	0.00	0.00	0.00	0.00	1.44	0.00	0.09	0.00	0.08
8.00	0.05	0.11	0.00	2.59	0.61	0.29	0.02	0.01	0.00	0.00	0.00	0.00	1.99	2.85	0.53	0.00	0.14	0.01	0.00	0.15	0.21	1.48	0.00	0.35
9.00	0.00	0.00	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.40	0.00	0.00	0.00	0.00	0.00	0.62	0.04	0.32	0.00	0.00
10.00	0.15	0.15	0.00	0.00	0.34	1.25	0.60	0.00	0.00	0.00	0.00	0.00	2.00	0.72	0.32	0.00	0.00	0.00	0.00	0.00	0.29	1.02	0.00	0.19
11.00	0.00	0.00	0.00	0.42	0.00	0.33	0.18	0.48	0.00	0.00	0.00	0.00	2.00	1.19	0.40	0.00	0.00	0.00	0.00	0.02	0.00	1.37	0.00	0.35
12.00	0.00	0.00	0.00	0.00	0.15	0.31	0.33	0.00	0.00	0.00	0.00	0.00	2.00	1.45	0.29	0.00	0.00	0.00	0.00	0.69	0.31	0.86	0.00	0.24
13.00	0.14	0.15	0.00	0.48	1.64	0.37	0.04	0.00	0.00	0.00	0.00	0.00	2.00	0.49	0.53	0.00	0.00	0.00	0.00	0.81	0.00	0.48	0.00	0.33
14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	1.99	0.93	0.06	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00
15.00	0.00	0.00	0.00	0.24	0.06	0.22	0.01	0.00	0.00	0.00	0.00	0.00	2.00	0.72	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.48
16.00	0.00	0.00	0.00	0.00	0.92	1.31	0.66	0.00	0.00	0.00	0.00	0.00	2.00	0.66	0.84	0.00	0.00	0.00	0.00	1.38	0.00	0.57	0.00	1.08
