Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.443s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
2.00	0.00	0.62	0.00	0.00	1.99	1.33	0.53	1.86	1.79
3.00	1.47	1.92	1.37	1.45	2.00	1.47	1.86	2.00	1.97
4.00	1.77	2.00	1.88	2.04	2.00	2.00	1.91	2.00	1.97
5.00	1.99	2.00	1.81	1.93	2.00	1.51	1.64	1.99	1.57
6.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00	1.98	1.99
7.00	2.00	1.99	1.99	2.00	2.00	1.99	2.00	1.99	2.00
8.00	1.99	2.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00
9.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.98	2.00
10.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00	1.98	2.00
11.00	2.00	2.00	1.98	2.01	2.00	2.00	1.98	2.00	1.99
12.00	2.00	2.00	2.00	1.99	2.00	1.99	2.00	2.00	2.00
13.00	1.99	1.99	2.00	2.00	2.00	2.00	2.00	1.97	2.00
14.00	2.00	2.00	1.98	2.00	1.99	2.00	1.99	2.00	2.00
15.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.94	2.00
16.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.98	1.99
17.00	1.99	2.00	1.98	1.99	2.00	2.00	2.00	1.98	2.01
18.00	1.99	2.00	2.01	2.00	2.00	1.99	2.00	2.00	1.99
19.00	2.00	2.00	1.99	2.00	2.00	2.00	1.99	1.99	2.00
20.00	1.99	1.99	2.00	2.00	1.99	2.00	2.00	1.97	2.00
21.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
22.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	1.97	2.00
23.00	2.00	2.00	2.00	1.99	2.00	2.00	2.01	1.97	1.33
24.00	1.99	2.00	1.99	2.00	2.00	2.00	1.99	1.99	0.00
25.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00	1.98	0.00
26.00	2.00	1.99	2.00	2.00	1.99	2.00	2.00	1.97	0.00
27.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	0.00
28.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.99	0.00
29.00	1.99	2.00	2.00	1.99	2.00	2.00	2.00	2.00	0.00
30.00	2.00	2.00	2.00	2.00	2.00	1.99	1.99	2.00	0.00
31.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00	1.99	0.00
32.00	1.99	1.99	1.99	2.00	1.99	2.00	2.00	1.97	0.00
33.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.98	0.00
34.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.98	0.00
35.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00	1.99	0.00
36.00	1.99	2.00	1.99	2.00	2.00	2.00	2.00	1.99	0.00
37.00	2.00	2.00	2.00	2.00	2.00	1.99	1.99	1.99	0.00
38.00	1.34	1.99	2.00	2.00	1.99	2.00	2.00	1.95	0.00
39.00	0.00	2.00	2.00	2.00	2.00	2.00	2.00	1.98	0.00
40.00	0.00	2.00	2.00	2.00	2.00	2.00	2.00	1.98	0.00
41.00	0.00	2.00	1.33	2.00	2.00	2.00	2.00	1.99	0.00
42.00	0.00	2.00	0.00	1.99	2.00	2.00	2.00	1.99	0.00
43.00	0.00	2.00	0.00	2.00	2.00	2.00	1.99	2.00	0.00
44.00	0.00	1.99	0.00	2.00	1.99	1.99	2.00	2.00	0.00
45.00	0.00	2.00	0.00	2.00	2.00	2.00	2.00	1.97	0.00
46.00	0.00	2.00	0.00	2.00	2.00	2.00	2.00	2.00	0.00
47.00	0.00	2.00	0.00	2.00	2.00	2.00	2.00	1.98	0.00
48.00	0.00	2.00	0.00	2.00	2.00	2.00	1.99	1.98	0.00
49.00	0.00	2.00	0.00	1.99	2.00	1.99	2.01	1.98	0.00
50.00	0.00	1.99	0.00	2.00	2.00	2.00	1.99	2.00	0.00
51.00	0.00	2.00	0.00	2.00	1.99	2.00	2.00	1.99	0.00
52.00	0.00	2.00	0.00	2.00	2.00	2.00	2.00	2.00	0.00
53.00	0.00	2.00	0.00	2.00	2.00	2.00	2.00	1.99	0.00
54.00	0.00	2.00	0.00	1.99	2.00	2.00	1.99	1.99	0.00
55.00	0.00	2.00	0.00	2.00	2.00	1.99	2.00	1.98	0.00
56.00	0.00	1.99	0.00	2.00	2.00	2.00	2.00	2.00	0.00
57.00	0.00	2.00	0.00	2.00	1.99	2.00	2.00	2.00	0.00
58.00	0.00	2.00	0.00	2.00	2.00	2.00	2.00	1.98	0.00
59.00	0.00	2.00	0.00	2.00	2.00	2.00	2.00	1.99	0.00
60.00	0.00	2.00	0.00	2.00	2.00	2.00	2.00	1.98	0.00
61.00	0.00	2.00	0.00	1.99	2.00	2.00	1.99	1.99	0.00
62.00	0.00	2.00	0.00	2.00	2.00	1.99	1.33	2.00	0.00
63.00	0.00	1.99	0.00	2.00	1.99	2.00	0.00	1.98	0.00
64.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.97	0.00
65.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.99	0.00
66.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.98	0.00
67.00	0.00	2.00	0.00	1.99	2.00	1.99	0.00	1.99	0.00
68.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.98	0.00
69.00	0.00	1.99	0.00	2.00	1.99	2.00	0.00	1.98	0.00
70.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	2.00	0.00
71.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.98	0.00
72.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.98	0.00
73.00	0.00	2.00	0.00	1.99	2.00	2.00	0.00	1.97	0.00
74.00	0.00	2.00	0.00	2.00	2.00	1.99	0.00	1.97	0.00
75.00	0.00	1.99	0.00	2.00	1.99	2.00	0.00	2.00	0.00
76.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	2.00	0.00
77.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.98	0.00
78.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.99	0.00
79.00	0.00	2.00	0.00	1.99	2.00	2.00	0.00	1.97	0.00
80.00	0.00	2.00	0.00	2.00	2.00	1.99	0.00	1.99	0.00
81.00	0.00	1.99	0.00	2.00	1.99	2.00	0.00	1.99	0.00
82.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.99	0.00
83.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.98	0.00
84.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.94	0.00
85.00	0.00	2.00	0.00	2.00	2.00	1.99	0.00	1.99	0.00
86.00	0.00	2.00	0.00	1.99	2.00	2.00	0.00	1.98	0.00
87.00	0.00	1.99	0.00	2.00	1.99	2.00	0.00	1.98	0.00
88.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.99	0.00
89.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.97	0.00
90.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	2.00	0.00
91.00	0.00	2.00	0.00	1.99	2.00	2.00	0.00	1.99	0.00
92.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.97	0.00
93.00	0.00	1.99	0.00	2.00	1.99	1.99	0.00	1.99	0.00
94.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	2.00	0.00
95.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.97	0.00
96.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.98	0.00
97.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.98	0.00
98.00	0.00	2.00	0.00	1.99	2.00	1.99	0.00	1.98	0.00
99.00	0.00	1.99	0.00	2.00	2.00	2.00	0.00	1.99	0.00
100.00	0.00	2.00	0.00	2.00	1.99	2.00	0.00	1.98	0.00
101.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.99	0.00
102.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	1.97	0.00
103.00	0.00	2.00	0.00	2.00	2.00	2.00	0.00	2.00	0.00
104.00	0.00	1.99	0.00	1.99	2.00	2.00	0.00	1.98	0.00
105.00	2.47	1.66	0.46	1.99	2.00	1.77	2.27	1.99	1.55
106.00	2.03	2.01	2.06	2.00	1.99	1.81	1.97	1.98	1.95
107.00	1.98	2.00	2.00	2.00	2.00	2.00	1.93	2.00	1.98
