Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.351s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	1.84	0.00	0.99	1.99	1.87	0.00	0.00
3.00	0.00	2.00	0.00	1.98	2.00	2.00	0.00	0.00
4.00	0.00	2.00	1.78	1.98	2.00	2.00	1.50	0.00
5.00	0.00	1.91	0.59	0.61	2.00	1.90	0.45	0.00
6.00	0.00	1.88	1.99	0.52	2.00	2.05	2.68	1.28
7.00	0.00	1.57	1.34	0.40	2.00	1.55	1.48	0.32
8.00	0.00	0.92	0.77	0.00	1.99	1.41	0.18	0.00
9.00	0.00	1.93	2.18	0.02	2.00	1.99	2.76	0.25
10.00	0.00	1.99	1.47	0.92	2.00	1.51	1.90	0.57
11.00	0.00	0.94	1.13	0.93	2.00	2.23	1.98	0.00
12.00	0.00	2.05	2.00	2.05	2.00	2.00	1.97	1.70
13.00	0.00	2.00	1.94	2.00	2.00	1.99	1.93	2.00
14.00	0.00	2.00	1.97	1.99	1.99	2.00	1.97	2.00
15.00	0.00	2.00	1.95	2.00	2.00	2.00	1.92	2.00
16.00	0.00	2.00	1.95	2.00	2.00	2.00	1.90	1.99
17.00	0.00	2.00	1.93	1.98	2.00	2.00	1.94	1.99
18.00	0.00	2.00	1.93	2.00	2.00	2.00	1.93	2.00
19.00	0.00	1.99	1.94	2.00	2.00	2.00	1.94	2.00
20.00	0.00	2.00	1.90	2.00	1.99	1.99	1.92	2.00
21.00	0.00	2.00	1.91	2.00	2.00	2.00	1.97	2.00
22.00	0.00	2.00	1.93	1.99	2.00	2.00	1.97	2.00
23.00	0.00	2.00	1.93	1.98	2.00	2.00	1.95	1.98
24.00	0.00	1.99	1.91	2.00	2.00	2.00	1.91	2.00
25.00	0.00	1.99	1.93	2.00	2.00	2.00	1.91	2.00
26.00	0.00	2.00	1.98	1.99	1.99	1.99	1.99	2.00
27.00	0.00	2.00	1.95	2.00	2.00	2.00	1.94	2.00
28.00	0.00	1.99	1.90	2.00	2.00	2.00	1.88	1.99
29.00	0.00	2.00	1.93	1.97	2.00	2.00	1.94	1.99
30.00	0.00	1.99	1.93	2.00	2.00	2.00	1.90	2.00
31.00	0.00	2.00	1.95	2.00	2.00	2.00	1.91	2.00
32.00	0.00	2.00	1.95	1.98	1.99	1.99	1.93	1.98
33.00	0.00	2.00	1.94	2.00	2.00	2.00	1.95	2.00
34.00	0.00	2.00	1.95	1.99	2.00	2.00	1.94	1.99
35.00	0.00	2.00	1.95	2.00	2.00	2.00	1.95	2.00
36.00	0.00	1.99	1.93	2.00	2.00	2.00	1.90	2.00
37.00	0.00	2.00	1.97	2.00	2.00	2.00	1.97	2.00
38.00	0.00	2.00	1.97	2.00	1.99	1.99	1.90	2.00
39.00	0.00	2.00	1.94	2.00	2.00	2.00	1.94	2.00
40.00	0.00	2.00	1.93	1.99	2.00	2.00	1.95	2.00
41.00	0.00	1.99	1.94	2.01	2.00	2.00	1.95	1.99
42.00	0.00	1.99	1.95	1.99	2.00	2.00	1.92	2.00
43.00	0.00	2.01	1.95	2.00	2.00	2.00	1.92	2.00
44.00	0.00	1.99	1.93	1.99	1.99	1.99	1.95	1.99
45.00	0.00	2.00	1.94	2.00	2.00	2.00	1.94	2.00
46.00	0.00	2.00	1.95	2.00	2.00	2.00	1.97	2.00
47.00	0.00	2.00	1.95	1.98	2.00	2.00	1.92	1.99
48.00	0.00	2.00	1.97	2.00	2.00	2.00	1.90	2.00
49.00	0.00	2.00	1.94	2.00	2.00	2.00	1.93	2.00
50.00	0.00	1.99	1.92	2.00	2.00	1.99	1.97	1.99
51.00	0.00	2.00	1.97	2.00	1.99	2.00	1.94	2.00
52.00	0.00	2.00	1.93	2.00	2.00	2.00	1.94	2.00
53.00	0.00	2.00	1.97	2.00	2.00	2.00	1.95	1.98
54.00	0.00	2.00	1.93	1.99	2.00	2.00	1.97	2.00
55.00	0.00	1.99	1.93	2.00	2.00	2.00	1.95	2.00
56.00	0.00	2.00	1.94	2.00	2.00	1.99	1.93	2.00
57.00	0.00	2.00	1.97	2.00	1.99	2.00	1.95	2.00
58.00	0.00	2.00	1.90	2.00	2.00	2.00	1.97	2.00
59.00	0.00	2.00	1.94	1.98	2.00	2.00	1.95	1.99
60.00	0.00	2.00	1.85	2.00	2.00	2.00	1.94	2.00
61.00	0.00	1.99	1.92	2.00	2.00	2.00	1.91	2.00
62.00	0.00	2.00	1.86	1.99	2.00	2.00	1.97	1.99
63.00	0.00	2.00	1.90	2.00	1.99	1.99	1.94	2.00
64.00	0.00	2.00	1.94	2.00	2.00	2.00	1.93	2.00
65.00	0.00	2.00	1.94	1.98	2.00	2.00	1.95	1.99
66.00	0.00	2.00	1.92	2.00	2.00	2.00	1.94	2.00
67.00	0.00	1.99	1.94	2.00	2.00	2.00	1.92	2.00
68.00	0.00	1.98	2.00	1.98	2.00	2.00	1.97	1.98
69.00	0.00	2.00	2.00	2.00	1.99	1.99	1.97	2.00
70.00	0.00	2.00	2.00	2.00	2.00	2.00	1.97	1.99
71.00	0.00	2.00	1.99	2.00	2.00	2.00	1.99	1.99
72.00	0.00	2.00	2.01	1.99	2.00	2.00	1.99	1.99
73.00	0.00	1.99	1.99	2.00	2.00	2.00	1.97	2.00
74.00	0.00	1.98	2.00	2.00	2.00	2.00	1.99	2.00
75.00	0.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00
76.00	0.00	2.00	2.00	2.00	2.00	2.00	1.95	1.99
77.00	0.00	2.00	2.00	1.99	2.00	2.00	1.99	2.00
78.00	0.00	2.00	2.00	2.00	2.00	2.00	1.95	2.00
79.00	0.00	1.98	1.99	2.00	2.00	2.00	1.99	2.00
80.00	0.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00
81.00	0.00	2.00	2.00	2.00	1.99	1.99	1.97	1.99
82.00	0.00	1.99	2.00	2.00	2.00	2.00	1.95	2.00
83.00	0.00	1.99	1.99	1.99	2.00	2.00	1.99	1.99
84.00	0.00	2.00	2.00	1.98	2.00	2.00	1.98	1.99
85.00	0.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00
86.00	0.00	1.98	2.00	2.00	2.00	2.00	1.97	1.98
87.00	0.00	1.99	2.00	2.00	1.99	1.99	1.98	2.00
88.00	0.00	1.99	2.00	2.00	2.00	2.00	2.00	2.00
89.00	0.00	1.99	2.00	1.99	2.00	2.00	2.00	1.99
90.00	0.00	2.00	2.00	2.00	2.00	2.00	1.99	2.00
91.00	0.00	2.00	2.00	2.00	2.00	2.00	1.97	2.00
92.00	0.00	1.99	1.99	2.00	2.00	2.00	1.98	2.00
93.00	0.00	2.00	2.00	2.00	1.99	1.99	1.98	2.00
94.00	0.00	1.99	2.00	2.00	2.00	2.00	1.94	2.00
95.00	0.00	2.00	2.00	2.00	2.00	2.00	1.97	1.99
96.00	0.00	2.00	1.99	2.00	2.00	2.00	1.95	1.99
97.00	0.00	2.00	2.00	1.99	2.00	2.00	1.98	2.00
98.00	0.00	2.00	2.00	1.99	2.00	2.00	1.99	1.99
99.00	0.00	1.98	2.00	2.00	2.00	1.99	2.00	2.00
100.00	0.00	2.00	2.00	2.00	1.99	2.00	1.99	2.00
101.00	0.00	1.99	1.99	2.00	2.00	2.00	2.00	2.00
102.00	0.00	2.00	2.00	2.00	2.00	2.00	1.97	1.99
103.00	0.00	1.99	2.00	1.99	2.00	2.00	1.98	2.00
104.00	0.00	1.99	2.00	2.00	2.00	2.00	1.98	2.00
105.00	0.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
106.00	0.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00
107.00	1.81	2.00	2.00	1.99	2.00	2.00	1.99	1.98
108.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
109.00	1.99	2.00	1.99	2.00	2.00	1.99	2.00	2.00
110.00	2.00	2.00	2.01	1.35	2.00	1.35	1.35	1.34
111.00	2.00	1.99	1.99	1.70	2.00	1.71	1.71	1.70
112.00	1.75	1.73	1.77	0.60	1.99	2.00	1.79	1.54
113.00	1.98	1.98	1.81	0.29	2.00	1.93	1.86	1.60
114.00	1.35	1.61	0.95	0.02	2.00	1.65	1.11	0.52
115.00	1.95	2.00	0.57	1.92	2.00	1.94	2.28	0.74
116.00	1.85	1.93	2.23	0.25	2.00	1.84	1.68	0.00
117.00	1.98	1.95	1.02	0.77	2.00	2.00	1.86	1.54
118.00	1.98	1.94	2.00	1.90	1.99	2.00	1.93	0.00
119.00	1.94	1.93	1.79	1.50	2.00	2.00	1.94	0.19
120.00	1.11	1.18	0.86	0.00	2.00	0.85	0.91	0.24
121.00	0.59	1.64	1.11	0.61	2.00	2.08	1.17	0.00
122.00	1.02	1.73	1.61	0.00	2.00	0.52	1.45	0.00
