Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.259s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
5.00	1.40	0.00	1.61	1.71	0.00	1.48	2.00	1.51	0.00	1.44	1.50	1.57
6.00	0.64	1.02	0.67	1.02	0.74	0.71	2.00	1.42	0.12	1.25	1.58	1.41
7.00	0.41	0.65	0.33	0.95	0.60	0.97	2.00	1.42	0.13	1.46	1.47	1.72
8.00	0.00	0.31	1.97	0.54	0.14	1.32	1.99	1.26	0.00	1.61	1.79	1.30
9.00	0.27	0.00	0.00	0.00	0.01	0.81	2.00	0.49	0.41	1.15	1.53	0.11
10.00	0.91	1.38	1.15	0.00	1.04	1.75	2.00	0.99	0.41	0.87	1.07	1.37
11.00	0.02	0.09	1.53	0.00	0.11	0.66	2.00	1.55	0.01	1.77	1.39	1.54
12.00	0.00	0.00	2.00	0.08	0.00	2.00	2.00	1.99	0.00	1.99	1.92	1.33
13.00	0.00	0.00	1.90	0.31	0.00	2.00	2.00	2.00	0.00	1.99	1.99	2.00
14.00	0.00	0.00	2.08	0.00	0.00	1.90	1.99	1.99	0.00	1.90	1.97	1.95
15.00	0.13	0.33	0.82	1.35	0.14	1.47	2.00	1.40	0.22	1.22	1.50	1.32
16.00	0.32	1.85	0.11	0.07	0.77	0.75	2.00	1.14	0.04	0.53	0.92	1.31
17.00	0.00	1.06	0.00	0.45	0.22	1.19	2.00	0.92	0.91	0.82	1.19	0.97
18.00	0.42	0.75	0.00	1.33	1.35	1.41	2.00	1.15	0.01	1.19	1.60	0.79
19.00	0.48	1.90	0.00	1.65	0.20	1.45	2.00	0.57	0.31	0.65	1.58	0.49
20.00	0.48	1.79	0.00	1.98	0.20	1.90	1.99	1.87	0.31	1.01	1.68	1.71
21.00	0.34	0.79	0.99	0.74	0.34	1.53	2.00	1.11	0.35	0.02	1.42	0.57
22.00	0.00	1.33	1.65	1.94	0.00	1.27	2.00	1.83	1.53	0.15	2.01	1.73
23.00	0.51	1.55	1.14	0.89	0.72	1.37	2.00	1.37	1.14	0.38	1.08	0.31
24.00	0.15	0.44	1.34	1.12	0.62	0.91	2.00	2.07	0.92	0.00	1.52	0.86
25.00	0.22	2.01	1.81	1.34	0.49	1.39	2.00	0.92	0.00	0.00	0.53	0.08
26.00	0.34	1.63	1.19	0.25	0.02	0.78	1.99	1.79	0.28	0.00	0.75	0.00
27.00	0.32	0.40	0.05	0.60	0.00	0.91	2.00	0.41	0.84	0.77	1.41	0.00
28.00	0.00	0.93	0.46	0.97	0.26	1.85	2.00	1.44	0.08	1.54	1.26	0.75
29.00	0.65	0.92	0.74	1.34	0.22	0.66	2.00	1.50	0.24	1.42	1.54	1.20
