Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.244s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
5.00	0.99	0.87	0.85	0.00	0.81	2.00	1.18	0.00	0.00	0.00
6.00	2.00	1.92	1.88	0.00	1.53	2.00	1.87	0.87	0.00	0.57
7.00	1.99	2.00	1.98	1.17	1.85	2.00	2.00	2.00	0.00	1.90
8.00	2.00	2.00	1.93	2.00	0.00	1.99	2.00	2.00	0.00	0.00
9.00	2.00	2.00	1.95	2.00	0.00	2.00	2.00	1.99	0.00	0.00
10.00	2.00	2.00	1.95	1.99	0.00	2.00	2.00	2.01	0.00	0.00
11.00	2.00	2.00	1.94	2.00	0.00	2.00	2.00	1.99	0.00	0.00
12.00	2.00	2.00	1.87	2.00	0.00	2.00	2.00	2.00	0.00	0.00
13.00	1.99	1.99	1.95	2.00	0.00	2.00	1.99	2.00	0.00	0.00
14.00	2.00	2.00	1.92	1.99	0.00	1.99	2.00	1.99	0.00	0.00
15.00	2.00	2.00	1.97	2.01	0.00	2.00	2.00	2.01	0.00	0.00
16.00	1.99	1.97	1.78	1.37	0.73	2.00	1.99	1.59	0.00	0.85
17.00	1.99	2.00	1.92	1.80	0.35	2.00	1.99	1.91	0.00	1.74
18.00	1.99	1.95	1.11	0.31	0.02	2.00	1.88	0.74	0.00	0.53
19.00	2.01	1.95	1.11	0.97	0.00	2.00	1.90	1.64	0.00	0.00
20.00	1.99	1.91	0.73	1.98	0.00	1.99	2.05	1.97	0.00	0.00
21.00	1.91	1.98	1.80	1.61	0.04	2.00	1.90	1.71	0.00	0.00
22.00	2.00	1.83	1.71	0.00	0.00	2.00	1.88	1.60	0.00	0.00
23.00	2.00	1.75	1.05	0.00	0.00	2.00	1.33	1.26	0.00	0.00
24.00	2.00	1.99	2.01	0.82	0.31	2.00	2.05	1.84	0.00	0.00
25.00	0.12	0.13	0.22	0.25	0.00	2.00	0.12	0.26	0.00	0.00
26.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00
27.00	0.38	0.95	0.97	0.04	0.28	2.00	1.22	0.25	0.08	0.02
28.00	0.00	1.99	1.48	1.38	0.00	2.00	2.00	0.66	0.00	0.00
29.00	1.45	1.92	1.87	0.47	0.46	2.00	1.97	2.39	0.00	0.09
30.00	1.99	1.99	1.93	1.71	0.00	2.00	1.99	2.00	0.00	0.25
31.00	2.01	1.87	1.81	1.54	0.29	2.00	2.00	1.87	0.00	0.73
32.00	1.99	2.00	1.91	1.70	0.35	1.99	2.00	1.68	0.00	0.34
33.00	2.00	1.59	0.37	0.44	0.12	2.00	1.86	1.14	0.00	0.16
34.00	1.97	1.81	1.92	0.72	0.00	2.00	2.00	0.94	0.00	0.01
35.00	1.83	1.87	1.60	0.57	0.09	2.00	1.83	0.16	0.00	0.00
36.00	1.99	1.90	1.77	1.58	0.00	2.00	1.94	0.88	0.00	0.00
37.00	2.01	1.83	1.92	0.00	0.00	2.00	1.90	0.77	0.00	0.00
38.00	1.99	1.99	2.00	1.25	0.14	1.99	2.00	2.33	0.00	0.44
39.00	1.99	1.87	1.77	0.35	0.00	2.00	1.94	1.78	0.00	0.00
40.00	1.98	1.90	2.00	1.65	0.00	2.00	2.04	2.00	0.00	0.00
41.00	2.04	2.14	1.94	2.05	0.49	2.00	2.03	2.07	0.00	0.33
42.00	2.00	2.00	1.91	1.78	0.00	2.00	2.00	1.92	0.00	0.00
43.00	2.00	1.81	1.15	1.24	0.06	2.00	1.87	1.39	0.00	0.14
44.00	1.99	1.79	0.64	0.00	0.31	1.99	1.84	1.72	0.00	0.00
45.00	2.00	1.99	1.64	1.11	0.20	2.00	1.85	1.52	0.00	0.05
46.00	1.97	2.00	1.72	1.66	0.00	2.00	2.00	1.61	0.00	0.16
47.00	2.00	2.00	1.87	1.37	0.06	2.00	1.83	1.70	0.00	0.00
48.00	1.99	1.97	1.97	1.86	0.06	2.00	1.99	1.79	0.00	0.05
49.00	2.00	2.03	1.73	1.18	0.49	2.00	2.00	1.85	0.00	0.32
50.00	2.00	2.00	1.85	1.84	0.00	2.00	1.99	1.72	0.00	0.68
51.00	1.99	1.99	1.88	1.81	0.58	1.99	2.00	1.98	0.00	1.72
52.00	2.00	2.00	1.99	1.59	0.00	2.00	2.00	2.00	0.00	1.60
53.00	2.00	1.99	1.86	0.39	0.00	2.00	2.00	1.91	0.00	0.04
54.00	2.00	1.93	1.84	0.82	0.75	2.00	1.99	1.78	0.00	0.00
55.00	2.00	1.95	1.83	1.52	1.14	2.00	2.00	1.88	0.00	0.60
56.00	1.99	2.00	1.87	0.00	0.00	2.00	2.00	1.79	0.00	0.37
57.00	2.00	1.99	2.00	0.46	0.54	1.99	2.00	1.81	0.00	0.62
58.00	2.00	2.00	1.70	0.11	0.28	2.00	2.00	2.00	0.00	0.27
59.00	1.95	1.91	1.90	0.31	0.00	2.00	2.00	1.04	0.00	0.00
60.00	2.00	1.99	1.97	0.33	0.00	2.00	1.97	1.97	0.00	0.28
61.00	1.99	1.24	0.98	0.61	0.24	2.00	1.14	0.84	0.00	0.55
62.00	2.00	2.23	1.81	1.80	0.35	2.00	1.06	2.34	0.00	0.00
63.00	1.98	1.32	1.25	0.00	0.00	1.99	1.65	0.00	0.00	0.55
64.00	2.01	2.12	2.10	0.89	0.28	2.00	2.01	1.41	0.00	0.64
65.00	1.98	1.93	1.73	0.31	0.08	2.00	1.98	1.74	0.00	1.08
66.00	2.03	1.58	1.34	1.07	0.31	2.00	1.81	1.07	0.00	0.14
67.00	2.00	1.87	1.48	1.41	0.18	2.00	2.00	1.48	0.00	0.02
68.00	2.00	1.99	1.86	0.31	0.00	2.00	1.94	1.94	0.00	0.82
69.00	1.99	1.73	0.87	0.64	0.20	1.99	1.97	1.53	0.00	0.64
70.00	2.00	1.84	0.62	0.22	0.00	2.00	1.83	1.28	0.00	0.00
71.00	2.00	1.11	0.94	0.57	0.00	2.00	1.77	0.65	0.00	0.01
72.00	2.00	2.52	1.48	0.16	0.00	2.00	1.99	0.80	0.00	0.22
73.00	2.00	1.99	1.42	0.00	0.00	2.00	2.00	1.14	0.00	0.00
74.00	2.00	1.95	1.95	0.61	0.13	2.00	1.99	1.95	0.00	0.00
75.00	1.99	1.81	1.31	0.87	0.00	1.99	1.94	1.40	0.00	0.33
76.00	1.83	1.65	1.42	0.71	0.28	2.00	1.81	1.45	0.00	0.07
77.00	2.05	1.87	1.46	0.82	0.00	2.00	1.50	1.33	0.00	0.58
78.00	2.03	1.81	1.66	0.32	0.00	2.00	1.97	1.97	0.00	0.60
79.00	0.73	1.91	1.70	0.88	0.09	2.00	1.84	1.14	0.08	0.55
80.00	2.05	1.55	1.66	1.51	0.31	2.00	1.99	1.87	0.27	0.00
81.00	1.00	1.92	1.39	0.00	0.08	1.99	1.86	1.27	0.04	0.00
82.00	1.74	1.78	1.64	0.84	0.18	2.00	1.80	1.63	0.13	0.85
