Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.413s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	0.00	0.00	0.34	0.00	0.02	0.00	1.32	1.99	1.39	0.65	0.95	0.00	0.00	0.00	0.00
3.00	0.00	0.27	1.14	0.00	0.29	0.61	1.47	2.00	1.37	0.15	0.71	0.00	1.27	0.31	0.00
4.00	0.00	0.21	0.12	0.00	0.00	0.48	0.16	2.00	0.13	0.15	0.12	0.72	1.08	0.41	0.00
5.00	0.00	0.02	0.46	0.00	0.13	0.20	0.31	2.00	0.01	0.75	0.12	0.25	0.42	1.07	0.00
6.00	0.00	0.00	0.00	0.00	0.02	0.08	0.01	2.00	1.14	0.04	0.14	0.13	0.55	0.37	0.00
7.00	0.00	0.00	0.47	0.00	0.06	0.49	0.61	2.00	0.82	0.27	0.31	1.00	1.85	0.65	0.00
8.00	0.00	0.66	1.05	0.00	0.04	0.00	1.01	1.99	0.25	0.00	0.61	0.16	0.29	0.00	0.00
9.00	0.00	1.20	1.26	0.00	0.11	0.24	1.26	2.00	1.17	0.24	0.00	0.21	1.50	0.38	0.00
10.00	0.00	0.20	1.60	0.00	1.17	0.00	0.68	2.00	1.51	0.74	0.29	2.11	0.79	0.79	0.00
11.00	0.00	0.41	0.60	0.00	0.34	0.20	1.50	2.00	0.45	0.00	0.00	0.99	0.77	0.31	0.00
