Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.354s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.21	0.73	1.99	0.00	0.42	0.00	0.00	0.49	0.84	0.00	0.00
3.00	0.00	0.00	0.59	0.49	0.24	0.00	0.00	0.67	1.08	2.00	0.00	0.78	0.00	0.00	1.34	1.46	0.00	0.47
4.00	0.00	0.00	0.29	1.63	0.55	0.00	0.00	0.15	0.26	2.00	0.00	0.25	0.00	0.00	0.24	0.88	0.00	1.59
5.00	0.00	0.00	0.98	1.15	0.61	0.00	0.00	0.37	0.07	2.00	0.00	0.01	0.02	0.00	0.14	1.19	0.00	0.11
6.00	0.00	0.00	0.06	1.25	1.92	0.00	0.00	0.00	1.38	2.00	0.00	1.07	0.27	0.00	1.07	2.00	0.00	0.97
7.00	0.00	0.27	1.15	1.87	1.67	0.00	0.00	0.00	1.06	2.00	0.00	1.64	0.12	0.00	1.27	1.90	0.00	1.74
8.00	0.00	0.00	1.25	0.66	1.04	0.00	0.00	0.00	0.59	1.99	0.00	0.79	0.00	0.00	0.28	0.74	0.00	0.92
9.00	0.00	0.33	0.82	0.58	1.06	0.00	0.00	0.00	0.91	2.00	0.00	0.78	0.42	0.00	1.74	1.61	0.00	0.89
10.00	0.00	0.00	1.44	0.27	0.78	0.00	0.00	0.00	0.25	2.00	0.00	0.40	0.12	0.00	0.39	1.65	0.00	2.01
11.00	0.00	0.21	1.18	1.45	1.54	0.00	0.00	0.00	1.19	2.00	0.00	1.37	0.31	0.00	1.54	1.38	0.00	1.12
12.00	0.00	0.15	0.31	1.58	1.61	0.00	0.00	0.00	0.00	2.00	0.00	0.85	0.16	0.00	1.60	1.71	0.00	0.04
13.00	0.00	0.06	0.94	1.45	0.86	0.00	0.00	0.00	0.87	2.00	0.00	1.52	0.04	0.00	0.00	0.00	0.00	0.00
14.00	0.00	0.00	1.88	1.11	0.01	0.00	0.00	0.00	1.14	1.99	0.00	0.01	0.00	0.00	0.61	2.53	0.00	0.00
15.00	0.00	0.00	0.65	1.13	1.20	0.00	0.00	0.00	1.28	2.00	0.00	0.19	0.04	0.00	0.31	1.14	0.00	0.45
16.00	0.00	0.00	1.59	1.87	0.00	0.00	0.00	0.00	0.52	2.00	0.00	0.00	0.01	0.00	0.00	0.57	0.00	0.14
17.00	0.00	0.00	1.02	1.67	0.00	0.00	0.00	0.00	1.27	2.00	0.00	0.54	0.00	0.00	0.27	0.85	0.00	1.38
18.00	0.00	0.26	0.80	0.54	0.19	0.00	0.00	0.00	0.64	2.00	0.00	0.42	0.26	0.00	1.20	0.80	0.00	0.67
19.00	0.00	0.00	0.51	1.35	0.68	0.00	0.00	0.00	0.00	2.00	0.00	1.61	0.22	0.00	2.07	0.20	0.00	0.06
20.00	0.00	0.00	2.67	1.99	1.72	0.00	0.00	0.00	0.00	1.99	0.00	1.99	0.92	0.00	2.00	0.00	0.00	0.42
21.00	0.00	0.04	0.98	1.99	1.57	0.00	0.00	0.00	1.17	2.00	0.00	1.61	0.19	0.00	1.33	1.37	0.00	1.75
22.00	0.00	0.00	0.86	0.86	1.11	0.00	0.00	0.00	0.88	2.00	0.00	1.46	0.00	0.00	0.85	1.38	0.00	0.00
