Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.337s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	1.54	0.00	1.70	0.00	0.00	0.00	0.00	2.00	1.63	0.00	0.00	0.00	0.00	0.00
6.00	2.00	1.90	1.97	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	1.78
7.00	1.99	1.99	1.93	0.00	0.00	0.00	1.50	2.00	2.00	1.81	0.00	0.00	0.00	0.20
8.00	1.99	1.52	1.99	0.00	1.10	0.00	1.24	1.99	1.99	1.52	1.27	0.00	0.00	1.07
9.00	2.01	2.01	1.95	0.00	0.09	0.00	0.26	2.00	2.01	1.77	1.19	0.00	0.00	0.26
10.00	2.00	1.88	1.65	0.00	0.28	0.00	0.00	2.00	2.00	1.67	0.31	0.00	0.00	0.00
11.00	2.00	1.99	2.04	0.00	0.82	0.00	0.19	2.00	2.00	1.72	2.08	0.00	0.00	0.44
12.00	2.00	1.99	1.93	0.00	0.00	0.00	0.09	2.00	1.99	1.95	1.92	0.00	0.00	0.11
13.00	1.99	2.01	2.03	0.00	0.42	0.00	0.00	2.00	2.00	2.01	1.77	0.00	0.00	0.00
14.00	2.00	2.00	1.93	0.00	0.07	0.00	0.80	1.99	2.00	1.94	1.72	0.00	0.00	0.00
15.00	2.00	1.80	1.90	0.00	0.78	0.00	1.78	2.00	1.98	1.38	1.60	0.00	0.00	0.00
16.00	2.00	1.88	1.71	0.00	0.93	0.00	0.15	2.00	1.93	1.87	1.33	0.00	0.00	0.00
17.00	1.72	1.88	1.38	0.00	0.64	0.00	0.48	2.00	1.63	1.18	0.86	0.00	0.00	0.00
18.00	2.01	2.00	1.95	0.00	0.61	0.00	0.00	2.00	2.00	1.67	1.44	0.00	0.00	0.00
19.00	1.99	1.98	1.86	0.00	0.19	0.00	0.00	2.00	1.75	1.52	0.89	0.00	0.00	0.06
20.00	1.99	1.95	1.81	0.00	0.00	0.00	0.00	1.99	1.99	1.93	1.71	0.00	0.00	0.00
21.00	1.88	1.86	1.27	0.00	0.78	0.00	0.00	2.00	1.87	1.06	0.16	0.00	0.00	0.09
22.00	2.00	1.85	1.84	0.00	0.00	0.00	0.00	2.00	2.04	2.01	1.15	0.00	0.00	0.00
23.00	1.99	1.79	1.71	0.00	0.31	0.00	0.00	2.00	2.00	1.50	0.40	0.00	0.00	0.00
24.00	1.99	2.00	1.80	0.00	0.00	0.00	0.21	2.00	2.00	1.63	0.28	0.00	0.00	0.00
25.00	2.01	1.98	1.81	0.00	0.29	0.00	0.00	2.00	1.93	1.75	0.29	0.00	0.00	0.00
26.00	1.99	1.98	1.71	0.00	0.34	0.00	0.02	1.99	2.00	1.84	0.32	0.00	0.00	0.32
27.00	1.99	2.00	1.98	0.00	0.77	0.00	0.51	2.00	2.00	1.98	1.88	0.00	0.00	0.34
28.00	2.00	2.00	1.55	0.00	0.05	0.00	0.40	2.00	1.97	1.80	1.30	0.00	0.00	0.02
29.00	1.97	1.94	2.14	0.00	0.61	0.00	0.34	2.00	1.91	0.77	0.72	0.00	0.00	0.68
30.00	1.99	1.97	1.31	0.00	0.35	0.00	0.00	2.00	1.85	2.26	1.05	0.00	0.00	0.39
31.00	2.01	1.99	0.82	0.00	0.00	0.00	0.01	2.00	2.00	1.94	0.00	0.00	0.00	0.00
32.00	1.99	2.00	1.51	0.00	1.65	0.00	1.21	1.99	1.98	1.84	0.84	0.00	0.22	0.31
33.00	1.98	2.00	2.05	0.00	0.21	0.00	0.11	2.00	1.99	1.83	1.46	0.00	0.00	0.00
34.00	2.00	2.00	1.84	0.00	1.46	0.00	0.18	2.00	2.00	1.98	1.99	0.00	0.00	0.00
35.00	2.00	2.00	0.26	0.00	0.89	0.00	0.00	2.00	1.92	1.97	1.52	0.00	0.00	0.00
36.00	1.92	1.81	0.22	0.00	0.46	0.00	0.08	2.00	1.98	1.61	1.11	0.00	0.00	0.02
37.00	2.03	1.59	1.26	0.00	0.62	0.00	0.46	2.00	1.91	1.67	0.94	0.00	0.00	0.51
38.00	1.99	1.84	1.47	0.00	0.14	0.00	0.00	1.99	1.93	1.38	0.64	0.00	0.00	0.00
39.00	2.00	1.93	1.61	0.00	0.00	0.00	0.00	2.00	1.61	1.87	0.89	0.00	0.00	0.00
40.00	1.81	1.81	1.42	0.00	0.69	0.00	0.00	2.00	1.73	1.73	1.12	0.00	0.00	0.24
41.00	1.99	1.70	1.84	0.00	0.15	0.00	0.00	2.00	1.98	1.94	1.41	0.00	0.00	0.00
42.00	2.00	1.99	1.87	0.00	0.00	0.00	0.00	2.00	2.00	1.88	0.39	0.00	0.00	0.00
43.00	1.99	1.94	1.90	0.00	0.34	0.00	0.00	2.00	2.00	1.84	0.59	0.00	0.00	0.00
44.00	1.99	1.65	1.59	0.00	0.31	0.00	0.00	1.99	1.98	1.51	0.58	0.00	0.00	0.00
45.00	1.94	1.61	1.72	0.00	0.79	0.00	0.14	2.00	1.83	1.85	0.53	0.00	0.00	0.00
46.00	1.99	1.95	1.54	0.00	0.21	0.00	0.06	2.00	2.00	1.42	0.27	0.00	0.00	0.00
47.00	2.00	1.98	1.74	0.00	0.00	0.00	0.00	2.00	1.99	1.99	0.49	0.00	0.00	0.00
48.00	1.99	2.00	1.94	0.00	0.78	0.00	0.00	2.00	2.01	1.98	1.04	0.00	0.00	0.13
49.00	1.98	1.93	1.92	0.00	0.00	0.00	0.00	2.00	0.97	1.68	0.33	0.00	0.00	1.12
50.00	2.00	2.00	1.74	0.00	1.11	0.00	0.22	2.00	0.00	1.71	1.31	0.00	0.00	0.00
51.00	1.20	1.67	1.61	0.00	0.80	0.00	0.00	1.99	0.00	1.84	0.93	0.00	0.00	0.00
52.00	1.47	2.00	2.00	0.00	0.34	0.00	0.00	2.00	0.04	1.99	0.82	0.00	0.00	0.31
53.00	1.31	1.93	1.67	0.00	0.77	0.00	0.01	2.00	0.00	1.73	1.07	0.00	0.01	0.00
54.00	1.42	2.07	1.81	0.00	0.00	0.00	0.05	2.00	0.00	1.79	1.61	0.00	0.00	0.74
55.00	0.39	1.78	1.27	0.00	0.19	0.00	0.00	2.00	0.34	1.42	0.57	0.00	0.00	0.61
56.00	0.00	1.87	1.52	0.00	0.02	0.00	0.00	2.00	0.69	1.60	1.39	0.00	0.00	0.61
57.00	0.00	1.15	0.35	0.00	0.00	0.00	0.01	1.99	0.18	1.06	0.52	0.00	0.00	0.00
58.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
59.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
60.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
61.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
62.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
63.00	0.00	1.47	1.38	0.00	0.32	0.00	0.00	1.99	1.58	1.22	1.10	0.00	0.00	0.11
64.00	0.00	1.98	1.08	0.00	0.35	0.00	0.00	2.00	1.27	0.86	0.92	0.00	0.00	0.15
65.00	0.00	2.01	1.94	0.00	0.20	0.00	0.00	2.00	1.99	1.88	1.65	0.00	0.00	0.00
66.00	0.00	2.00	2.04	0.00	0.31	0.00	0.00	2.00	2.01	1.93	1.97	0.00	0.00	0.29
67.00	0.00	1.93	1.78	0.00	0.21	0.00	0.00	2.00	2.00	1.73	1.52	0.00	0.00	0.00
68.00	0.00	1.93	1.81	0.00	0.58	0.00	0.00	2.00	2.00	1.92	1.28	0.00	0.00	0.62
69.00	0.00	2.00	1.99	0.00	1.13	0.00	0.15	1.99	1.99	2.00	2.08	0.00	0.22	0.41
70.00	0.00	1.99	1.94	0.00	0.18	0.00	0.00	2.00	1.79	1.73	1.81	0.00	0.00	0.00
71.00	0.00	1.98	1.80	0.00	0.32	0.00	0.00	2.00	1.95	1.92	1.63	0.00	0.00	0.28
72.00	0.00	1.98	1.98	0.00	0.31	0.00	0.00	2.00	2.00	2.00	1.99	0.00	0.00	0.00
73.00	0.00	1.90	1.85	0.00	0.00	0.00	0.00	2.00	1.99	1.99	1.70	0.00	0.00	0.07
74.00	0.00	1.98	1.98	0.00	0.00	0.00	0.00	2.00	2.01	1.95	1.66	0.00	0.00	0.41
75.00	1.07	2.00	2.00	0.00	0.04	0.00	0.00	1.99	1.94	1.31	0.94	0.00	0.00	0.94
76.00	2.00	2.00	1.98	0.00	0.00	0.00	0.02	2.00	1.97	2.13	0.01	0.00	0.00	0.49
77.00	2.00	1.99	1.73	0.00	0.00	0.00	0.06	2.00	2.03	1.85	0.60	0.00	0.00	0.00
78.00	1.98	1.73	1.67	0.00	0.00	0.00	0.00	2.00	1.79	1.71	0.27	0.02	0.00	0.00
79.00	2.03	1.92	1.61	0.16	0.15	0.00	0.00	2.00	2.01	1.75	0.15	0.00	0.00	0.07
80.00	1.85	1.75	1.97	0.04	0.04	0.00	0.08	2.00	1.97	1.57	0.85	0.00	0.00	0.61
81.00	1.99	1.94	1.28	0.47	0.20	0.00	0.00	1.99	2.00	1.61	0.15	0.00	0.00	0.31
82.00	2.00	1.86	1.81	0.19	0.00	0.00	0.00	2.00	1.87	1.45	0.27	0.00	0.00	0.00
83.00	2.00	2.03	1.74	0.00	0.00	0.00	0.00	2.00	1.77	0.28	1.14	0.00	0.00	0.00
84.00	2.00	2.00	2.00	0.00	0.87	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.01	0.00
85.00	0.58	0.58	0.60	0.15	0.00	0.00	0.00	2.00	0.58	0.00	0.00	0.00	0.00	0.00
86.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
87.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
88.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
89.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
90.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
91.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
92.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
93.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
94.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
95.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
96.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
97.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
98.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
99.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
101.00	0.00	1.33	1.01	0.00	0.59	0.00	0.00	2.00	1.38	0.51	0.41	0.00	0.00	0.00
102.00	0.00	1.99	1.91	0.00	0.73	0.00	1.19	2.00	1.90	2.19	1.88	0.00	0.00	0.46
103.00	0.00	2.01	2.01	0.00	1.37	0.00	0.14	2.00	2.01	2.05	1.80	0.00	0.00	0.00
104.00	0.00	1.79	1.88	0.00	0.42	0.00	0.25	2.00	2.00	1.88	1.85	0.00	0.00	0.22
105.00	0.00	2.00	1.97	0.00	0.31	0.00	0.05	2.00	1.99	1.90	1.73	0.00	0.00	0.00
106.00	0.00	2.00	1.71	0.00	0.79	0.00	0.00	1.99	2.00	1.85	1.75	0.00	0.00	0.27
107.00	0.00	1.99	1.83	0.00	0.88	0.00	0.02	2.00	2.00	1.99	0.54	0.00	0.00	0.02
108.00	0.00	2.00	1.95	0.00	0.38	0.00	0.61	2.00	1.98	1.92	1.07	0.00	0.00	0.00
109.00	0.00	1.97	1.75	1.10	0.40	0.00	0.27	2.00	1.90	1.86	1.32	0.00	0.00	0.08
110.00	0.00	1.97	1.64	1.40	0.24	0.00	0.14	2.00	1.99	1.95	1.70	1.28	0.00	0.12
111.00	0.00	1.98	1.48	0.41	0.04	0.00	0.00	2.00	0.31	1.18	0.45	0.57	0.00	0.00
112.00	0.00	2.00	1.52	0.29	0.29	0.00	0.00	1.99	0.27	0.64	0.42	0.00	0.00	0.16
