Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.353s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	1.97	0.14	1.34	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.59	0.00	0.00
4.00	1.74	1.92	1.59	0.00	0.00	0.00	0.00	0.00	2.00	1.77	0.00	0.00	0.39	0.54	0.01	0.01
5.00	2.00	1.81	1.67	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.69	0.04	0.00	0.00
6.00	1.99	1.97	1.81	0.00	0.00	0.00	0.00	0.00	2.00	1.98	0.00	0.00	1.14	0.48	0.00	0.29
7.00	2.00	2.04	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.01	0.00	0.00	1.55	0.73	0.00	0.31
8.00	2.00	1.99	1.95	0.00	0.00	0.06	0.00	0.00	1.99	2.00	0.00	0.00	1.32	0.01	0.00	0.00
9.00	2.00	2.01	1.93	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	1.31	0.00	0.00	0.00
10.00	2.00	2.00	1.99	0.00	0.00	0.00	0.00	0.08	2.00	2.00	0.00	0.00	1.25	0.18	0.00	0.00
11.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.04	2.00	2.00	0.00	0.00	1.06	0.04	0.04	0.13
12.00	1.99	1.91	1.95	0.00	0.00	0.12	0.00	0.00	2.00	1.98	0.00	0.00	1.51	0.00	0.02	0.51
13.00	1.98	2.08	2.03	0.00	0.00	0.00	0.00	0.29	2.00	2.01	0.00	0.00	1.61	0.61	0.00	0.31
14.00	2.00	2.00	1.98	0.00	0.00	0.00	0.00	0.00	1.99	1.97	0.00	0.00	0.40	0.00	0.00	0.08
15.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	1.35	0.00	0.00	0.00
16.00	2.00	2.00	1.97	0.00	0.00	0.00	0.00	0.00	2.00	1.98	0.00	0.00	1.67	0.00	0.00	0.00
17.00	2.00	2.00	1.92	0.00	0.00	0.00	0.00	0.07	2.00	2.00	0.00	0.00	0.08	0.16	0.00	0.01
18.00	2.00	1.99	2.00	0.00	0.00	0.00	0.00	0.62	2.00	1.99	0.00	0.00	0.88	0.52	0.00	0.00
19.00	2.00	1.99	1.88	0.00	0.00	0.00	0.00	0.28	2.00	1.97	0.00	0.00	0.05	0.27	0.00	0.00
20.00	1.99	2.00	2.00	0.00	0.00	0.00	0.00	0.01	1.99	2.00	0.00	0.00	0.74	0.00	0.00	0.37
21.00	2.00	1.99	1.98	0.00	0.00	0.05	0.00	1.32	2.00	2.00	0.00	0.00	1.68	1.33	0.00	0.00
22.00	1.98	2.01	1.94	0.00	0.00	0.06	0.00	0.28	2.00	2.00	0.00	0.00	0.27	0.48	0.25	0.00
23.00	2.00	2.00	1.98	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.57	0.00	0.00	0.00
24.00	2.00	2.00	1.94	0.00	0.00	0.04	0.00	0.00	2.00	1.85	0.00	0.00	0.38	0.00	0.00	0.92
25.00	1.99	1.97	1.97	0.00	0.00	0.00	0.00	0.15	2.00	1.97	0.00	0.00	0.34	0.15	0.00	0.31
26.00	2.00	2.00	2.01	0.00	0.00	0.00	0.00	0.07	1.99	2.00	0.00	0.00	0.60	0.00	0.00	0.25
27.00	2.00	1.85	1.63	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.65	0.00	0.00	0.00
28.00	2.00	1.90	1.75	0.00	0.00	0.00	0.00	0.25	2.00	2.00	0.00	0.00	0.38	0.20	0.00	0.24
29.00	2.00	2.07	2.06	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	1.12	0.00	0.00	0.00
30.00	2.00	1.95	1.81	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	1.41	0.00	0.00	0.00
31.00	2.00	1.93	1.86	0.00	0.00	0.00	0.00	0.15	2.00	1.99	0.00	0.00	0.73	0.15	0.00	0.05
32.00	1.99	2.00	1.97	0.00	0.00	0.00	0.00	0.00	1.99	1.86	0.00	0.00	0.00	0.00	0.00	0.00
