Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.201s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	1.47	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	1.45	1.46	1.22	0.00	2.00	1.28	1.22	0.00
6.00	2.00	2.00	1.67	0.00	2.00	1.66	1.67	0.00
7.00	1.91	1.91	1.17	0.62	2.00	1.34	1.24	0.87
8.00	2.00	1.98	1.94	1.87	1.99	2.00	1.99	1.88
9.00	2.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00
10.00	2.00	1.99	1.99	2.00	2.00	2.00	2.00	2.00
11.00	2.00	2.00	1.97	2.00	2.00	2.00	1.99	1.99
12.00	2.00	1.98	1.94	2.00	2.00	1.99	2.00	2.00
13.00	1.99	2.00	1.97	2.00	2.00	2.00	2.00	2.00
14.00	2.00	2.00	2.00	2.00	1.99	2.00	2.00	1.99
15.00	2.00	1.99	1.99	2.00	2.00	2.00	1.99	2.00
16.00	2.00	2.00	1.97	1.99	2.00	2.00	2.00	1.99
17.00	2.00	2.00	1.99	2.00	2.00	2.00	2.00	1.99
18.00	2.00	1.98	1.97	2.00	2.00	2.00	2.00	2.00
19.00	1.99	2.00	1.95	2.00	2.00	1.99	2.00	2.00
20.00	1.99	1.99	1.98	2.00	1.99	2.00	2.00	2.00
21.00	2.00	2.00	1.97	2.00	2.00	2.00	2.00	2.00
22.00	2.00	1.99	1.99	1.99	2.00	1.99	2.00	1.99
23.00	2.00	2.00	1.98	2.00	2.00	2.00	1.99	2.00
24.00	2.00	1.99	1.97	2.00	2.00	2.00	2.00	2.00
25.00	1.83	1.80	1.81	1.83	2.00	1.83	1.83	1.83
26.00	2.00	2.00	1.93	0.42	1.99	2.00	2.04	2.04
27.00	2.00	2.00	1.93	0.00	2.00	2.00	2.00	1.99
28.00	2.00	2.00	1.92	0.00	2.00	2.00	2.00	2.00
29.00	2.00	2.00	1.91	0.00	2.00	2.00	2.00	2.00
30.00	2.00	1.98	1.98	0.00	2.00	1.99	1.99	2.00
31.00	2.00	1.97	0.98	1.66	2.00	1.15	1.26	1.17
32.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
33.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
34.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
35.00	2.00	2.00	0.19	0.37	2.00	0.40	0.31	0.32
36.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
37.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
38.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
39.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
40.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
41.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
42.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
