Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.255s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
5.00	1.05	0.00	1.24	0.69	0.66	2.00	0.94	0.58	0.51	0.00
6.00	1.80	1.37	1.26	1.00	0.48	2.00	1.80	1.53	0.71	0.00
7.00	1.99	1.88	1.57	0.46	0.00	2.00	1.95	1.13	0.25	0.00
8.00	2.00	1.74	1.61	0.28	0.00	1.99	1.98	1.55	0.31	0.00
9.00	2.00	2.04	1.93	0.99	0.60	2.00	2.01	1.90	0.51	0.00
10.00	2.00	2.00	1.67	1.67	0.66	2.00	2.00	0.71	0.41	0.00
11.00	1.99	1.94	1.71	1.19	0.11	2.00	1.99	1.24	0.28	0.00
12.00	1.98	1.80	1.67	0.22	0.00	2.00	1.98	1.73	0.29	0.08
13.00	2.03	1.85	2.14	1.08	0.61	2.00	2.01	1.53	1.08	0.97
14.00	1.99	1.78	1.50	0.53	0.00	1.99	1.79	1.86	1.08	1.08
15.00	1.91	1.81	1.47	0.52	0.12	2.00	1.87	1.72	0.81	0.00
16.00	2.00	1.80	0.94	0.93	0.72	2.00	1.84	1.60	0.00	0.00
17.00	1.67	1.58	0.34	0.19	0.00	2.00	1.52	1.10	0.05	0.00
18.00	2.07	2.12	1.05	0.74	0.00	2.00	1.21	0.35	0.00	0.00
19.00	1.93	1.27	1.55	1.05	0.00	2.00	1.45	1.10	0.48	0.31
20.00	2.01	2.03	1.24	0.79	0.00	1.99	2.04	1.80	0.45	0.00
21.00	2.00	1.71	1.72	0.48	0.00	2.00	1.79	0.79	0.16	0.26
22.00	2.00	1.80	1.67	0.62	0.21	2.00	1.98	0.65	0.00	0.00
23.00	1.98	1.93	1.15	0.92	0.92	2.00	1.75	0.64	0.00	0.00
24.00	1.67	1.98	1.58	0.37	0.00	2.00	1.90	1.19	0.77	0.00
25.00	1.99	1.68	1.50	0.53	0.06	2.00	1.86	1.31	0.85	0.28
26.00	2.00	1.73	1.60	0.93	0.00	1.99	2.00	1.35	0.51	0.06
27.00	2.00	2.07	1.46	0.72	0.75	2.00	1.92	1.71	1.04	0.27
28.00	1.93	1.97	1.53	0.69	0.00	2.00	1.79	1.75	1.39	0.22
29.00	1.98	1.74	1.61	0.04	0.26	2.00	1.98	1.33	0.74	0.33
