Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.371s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	0.27	1.18	1.45	0.00	0.27	0.00	0.00	1.99	1.32	0.45	0.00	0.00	0.00	0.00	0.00
3.00	1.40	1.50	1.71	0.00	0.00	0.00	1.19	2.00	1.74	1.27	0.00	0.00	0.00	0.22	0.00
4.00	1.08	1.44	1.33	0.00	0.00	0.00	1.25	2.00	1.45	0.98	0.00	0.00	0.00	0.00	0.00
5.00	1.32	1.12	0.80	0.00	0.00	0.00	1.15	2.00	1.00	0.54	0.00	0.02	0.44	0.15	0.00
6.00	0.44	0.82	0.80	0.11	0.00	0.00	1.15	2.00	0.57	0.53	0.00	0.73	0.21	0.59	0.00
7.00	0.01	0.28	0.00	0.31	0.00	0.00	0.81	2.00	0.38	0.06	0.00	0.07	0.86	0.42	0.15
8.00	0.32	0.42	0.86	0.46	0.00	0.00	1.15	1.99	1.05	0.27	0.00	0.94	0.54	0.98	0.32
9.00	0.00	0.92	1.31	0.84	0.00	0.00	0.74	2.00	1.01	0.62	0.00	0.42	0.88	0.38	0.64
10.00	0.47	1.53	0.97	1.14	0.00	0.00	0.61	2.00	0.79	0.99	0.00	0.79	1.90	1.31	0.73
11.00	0.53	1.24	0.65	0.55	0.00	0.00	0.07	2.00	1.33	0.21	0.00	0.40	0.51	1.50	0.40
12.00	0.00	0.27	1.05	0.58	0.00	0.00	0.88	2.00	1.02	0.16	0.00	0.72	0.53	1.04	0.14
13.00	0.31	0.39	0.80	0.85	0.00	0.00	1.34	2.00	0.97	0.00	0.00	0.00	1.60	0.68	0.00
14.00	0.61	1.25	1.47	1.90	0.00	0.00	1.39	1.99	1.17	0.53	0.00	1.50	1.13	0.52	0.58
15.00	0.00	0.00	1.04	0.86	0.00	0.00	1.04	2.00	0.53	0.41	0.00	0.33	0.80	0.71	0.38
16.00	1.00	1.30	0.26	0.87	0.00	0.00	1.33	2.00	1.73	0.21	0.00	1.08	1.38	1.19	0.26
17.00	0.31	1.72	0.37	0.18	0.00	0.00	1.51	2.00	0.13	0.38	0.00	1.88	1.73	0.52	0.45
18.00	0.07	0.35	0.18	0.98	0.00	0.00	0.27	2.00	0.68	0.33	0.00	0.29	0.07	0.35	0.33
19.00	0.00	0.22	1.38	0.92	0.00	0.00	0.73	2.00	1.02	0.00	0.00	0.86	0.08	1.42	0.00
20.00	0.34	0.31	0.27	0.00	0.00	0.00	1.53	1.99	0.38	0.00	0.00	0.72	0.74	0.61	0.00
21.00	0.25	0.29	0.71	0.58	0.00	0.00	1.18	2.00	0.73	0.24	0.00	0.49	1.14	0.48	0.19
22.00	0.07	0.02	1.75	1.61	0.00	0.00	1.55	2.00	1.10	0.39	0.00	0.24	0.65	1.18	0.40
23.00	0.19	0.66	0.78	1.06	0.00	0.00	0.48	2.00	1.37	0.99	0.00	0.71	0.77	1.30	0.99
24.00	0.00	0.14	1.12	0.82	0.00	0.00	0.97	2.00	0.13	0.44	0.00	0.67	1.21	0.77	0.24
25.00	0.24	0.79	1.14	0.89	0.00	0.00	0.81	2.00	1.27	0.46	0.00	1.06	1.11	1.11	0.35
26.00	0.11	0.91	0.98	0.65	0.00	0.00	1.20	1.99	1.05	0.20	0.00	0.25	0.49	0.37	0.20
27.00	0.18	0.51	0.41	1.54	0.00	0.00	0.66	2.00	0.86	0.12	0.00	0.32	0.82	0.84	0.13
28.00	0.57	2.08	1.86	1.05	0.00	0.00	1.25	2.00	0.85	0.75	0.00	0.51	0.86	1.02	0.73
