Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.349s)
CreateVariables () DONE !!!
Creating 20 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	1.10	0.00	0.00	0.00	1.81	0.00	0.00	0.00	0.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	0.00	1.72	0.00	0.00	0.00	1.81	0.00	0.85	0.00	0.00	2.00	1.99	1.26	0.00	0.00	0.00	0.00	0.00	0.00	1.00
5.00	0.00	0.89	0.00	0.00	0.00	1.51	0.16	0.49	0.14	0.00	2.00	0.57	0.52	0.00	0.00	0.00	0.00	0.00	0.21	0.09
6.00	0.00	1.05	0.00	0.00	0.09	1.66	1.41	0.00	0.06	0.00	2.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.04
7.00	0.00	0.34	0.00	0.00	0.00	1.83	1.40	0.00	0.00	0.00	2.00	2.10	1.52	0.00	0.00	0.00	0.00	0.00	0.94	0.00
8.00	0.00	1.46	0.00	0.00	0.41	1.58	0.81	0.00	0.00	0.61	1.99	1.28	0.37	0.00	0.00	0.00	0.00	0.00	1.34	0.00
9.00	0.00	1.92	0.00	0.00	0.31	2.00	1.71	1.24	0.00	1.15	2.00	2.30	0.27	0.00	0.00	0.00	0.00	0.00	1.20	0.00
10.00	0.00	0.62	0.00	0.00	0.04	1.87	0.88	0.00	0.00	0.15	2.00	1.20	0.11	0.00	0.00	0.00	0.00	0.00	1.00	0.00
11.00	0.00	1.28	0.00	0.00	0.00	1.75	1.35	0.00	0.08	0.31	2.00	1.92	0.52	0.00	0.00	0.00	0.00	0.00	1.18	0.00
12.00	0.00	0.91	0.00	0.00	0.44	1.34	1.07	0.00	0.00	0.11	2.00	1.33	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00
13.00	0.00	0.62	0.00	0.00	0.60	1.80	2.17	0.88	0.00	0.00	2.00	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00
14.00	0.00	1.46	0.00	0.00	0.00	1.79	0.92	0.20	0.00	0.18	1.99	1.92	1.05	0.00	0.15	0.00	0.00	0.00	0.15	0.00
15.00	0.00	1.17	0.00	0.00	0.00	1.00	0.49	0.33	0.00	0.15	2.00	0.87	0.00	0.00	0.12	0.00	0.00	0.00	0.13	0.00
16.00	0.00	1.39	0.00	0.00	0.31	1.48	0.00	0.64	0.00	0.02	2.00	1.79	0.61	0.00	0.12	0.00	0.00	0.00	0.39	0.00
17.00	0.00	1.06	0.00	0.00	0.00	1.15	0.00	1.19	0.00	0.00	2.00	0.95	0.00	0.00	0.51	0.00	0.00	0.00	0.82	0.00
18.00	0.00	0.69	0.00	0.00	0.16	2.17	1.11	0.64	0.00	0.26	2.00	1.75	0.32	0.00	0.09	0.00	0.00	0.00	0.41	0.00
19.00	0.00	1.53	0.00	0.00	0.61	1.58	0.04	0.00	0.00	0.06	2.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	1.42	0.00
20.00	0.00	0.58	0.00	0.00	0.00	1.32	0.38	0.00	0.00	0.00	1.99	1.46	1.39	0.00	0.42	0.00	0.00	0.00	0.49	0.00
21.00	0.00	2.37	0.00	0.00	0.00	1.67	0.08	0.72	0.00	0.00	2.00	0.34	1.01	0.00	0.15	0.00	0.00	0.00	0.15	0.00
22.00	0.00	1.52	0.00	0.00	0.41	1.68	0.00	1.74	0.00	0.16	2.00	1.92	0.31	0.00	0.52	0.00	0.00	0.00	0.58	0.00
23.00	0.00	1.19	0.00	0.00	0.20	1.47	1.85	1.64	0.00	0.28	2.00	1.28	0.25	0.00	0.84	0.00	0.00	0.00	0.77	0.00
24.00	0.00	0.66	0.00	0.00	0.15	1.99	0.00	0.57	0.11	0.00	2.00	1.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	0.00	0.60	0.00	0.00	0.07	0.68	0.00	0.74	0.00	0.22	2.00	1.30	0.00	0.00	0.29	0.00	0.00	0.00	0.28	0.27
