Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.273s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
5.00	1.17	1.34	1.04	0.38	0.00	0.35	2.00	0.00	0.81	0.41	0.00	0.00
6.00	1.85	1.79	1.11	0.51	0.09	0.19	2.00	0.74	1.33	0.64	0.34	0.00
7.00	2.14	2.17	1.68	0.84	0.52	0.00	2.00	1.93	1.92	1.21	0.28	0.00
8.00	2.00	1.95	1.86	0.93	0.77	0.44	1.99	2.00	1.99	1.45	0.99	0.04
9.00	1.91	1.73	0.84	1.10	0.27	0.14	2.00	1.85	1.63	0.98	0.79	0.00
10.00	2.00	1.73	0.92	0.29	0.00	0.00	2.00	1.58	0.94	0.00	0.00	0.00
11.00	1.91	2.01	1.24	1.14	0.00	0.01	2.00	1.38	1.77	0.40	0.27	0.00
12.00	1.97	1.90	1.18	0.51	0.00	0.00	2.00	2.36	1.61	0.61	0.00	0.00
13.00	1.93	1.63	1.13	0.41	0.00	0.00	2.00	1.88	1.81	0.39	0.00	0.00
14.00	2.00	1.81	1.21	0.49	0.00	0.00	1.99	2.01	1.52	0.92	0.00	0.00
15.00	1.77	1.77	1.24	1.12	0.66	0.00	2.00	1.78	1.38	0.18	0.00	0.00
16.00	2.00	2.00	1.41	1.33	0.72	0.00	2.00	1.93	1.58	0.00	0.31	0.16
17.00	1.97	1.90	1.81	0.65	0.48	0.26	2.00	2.00	1.98	0.44	0.22	0.21
18.00	1.98	1.93	1.88	0.20	0.00	0.00	2.00	1.99	1.77	0.65	0.18	0.00
19.00	2.01	1.59	0.94	0.24	0.00	0.00	2.00	1.87	1.34	0.49	0.15	0.00
20.00	2.00	1.91	0.81	0.25	0.00	0.00	1.99	1.97	1.97	0.16	0.00	0.00
21.00	1.93	1.97	1.61	0.94	0.00	0.00	2.00	1.70	2.05	0.04	0.00	0.00
22.00	2.00	2.00	2.00	0.53	0.18	0.32	2.00	2.00	2.00	0.61	0.20	0.00
23.00	2.00	1.90	1.81	0.54	0.58	0.00	2.00	2.00	1.98	1.02	0.31	0.00
24.00	2.00	1.95	1.98	2.74	0.00	0.00	2.00	2.00	1.95	1.08	0.00	0.00
25.00	1.98	1.93	1.14	0.02	0.32	0.00	2.00	1.93	1.63	0.95	0.08	0.00
26.00	1.99	2.00	1.35	0.86	0.26	0.00	1.99	1.98	1.05	0.85	0.41	0.09
27.00	1.97	1.65	0.73	0.09	0.00	0.00	2.00	1.97	1.19	0.11	0.00	0.00
28.00	2.03	2.06	2.10	0.61	0.06	0.09	2.00	2.04	1.81	0.58	0.00	0.00
29.00	2.00	1.99	1.93	1.25	0.00	0.00	2.00	2.00	1.97	0.37	0.67	0.00
30.00	2.00	1.99	1.57	1.12	0.18	0.04	2.00	1.92	1.53	1.07	0.13	0.07
31.00	2.00	1.94	1.88	0.89	0.00	0.00	2.00	1.98	0.84	0.00	0.31	0.00
32.00	1.92	1.78	1.47	0.11	0.00	0.00	1.99	1.93	1.64	1.20	1.39	0.00
33.00	1.54	1.51	1.30	1.24	0.44	0.95	2.00	1.59	1.60	0.44	0.11	0.00
34.00	1.98	1.97	1.32	1.40	0.61	0.00	2.00	2.00	1.98	0.26	0.27	0.00
35.00	1.97	1.85	0.67	0.32	0.31	0.00	2.00	2.00	1.46	1.73	0.00	0.00
36.00	1.95	1.37	0.68	0.65	0.00	0.00	2.00	1.93	1.13	0.00	0.04	0.00
37.00	2.03	2.03	1.97	2.00	0.00	0.00	2.00	2.05	2.00	0.81	0.00	0.00
38.00	2.00	2.00	1.46	0.86	0.58	0.00	1.99	1.91	1.55	0.73	0.00	0.00
39.00	1.84	1.91	0.80	0.12	0.00	0.00	2.00	1.79	1.41	0.49	0.00	0.00
40.00	2.06	1.80	1.01	0.77	0.19	0.08	2.00	1.79	1.71	0.34	0.00	0.00
41.00	2.05	2.06	1.71	0.31	0.00	0.00	2.00	2.07	2.04	0.20	0.00	0.00
42.00	2.00	1.99	1.67	0.28	0.07	0.00	2.00	1.99	1.48	1.67	0.00	0.26
43.00	2.00	2.00	0.37	0.00	0.00	0.00	2.00	0.02	0.37	0.00	0.00	0.00
44.00	1.98	2.00	2.56	0.00	0.00	0.00	1.99	0.00	2.48	1.75	0.00	0.00
45.00	1.99	1.98	1.58	0.49	0.04	0.00	2.00	0.04	1.81	0.49	0.00	0.00
46.00	1.92	1.86	1.15	0.26	0.05	0.00	2.00	0.02	1.75	0.00	0.00	0.00
47.00	1.70	1.57	1.66	0.19	0.19	0.00	2.00	0.89	1.71	1.86	0.00	0.00
48.00	1.93	0.06	1.46	0.18	0.00	0.00	2.00	0.08	1.27	1.22	0.00	0.75
49.00	1.98	2.39	1.19	0.19	0.29	0.00	2.00	0.11	1.59	0.39	0.00	0.08
50.00	1.99	2.00	1.81	0.24	0.18	0.16	2.00	0.00	1.93	1.13	0.00	0.00
51.00	2.00	1.95	1.32	0.40	0.00	0.00	1.99	1.40	1.94	1.55	0.04	0.00
52.00	1.79	2.00	1.40	0.38	0.80	0.00	2.00	1.60	1.34	1.00	0.57	0.00
53.00	1.67	2.00	1.53	0.41	0.00	0.00	2.00	1.68	1.61	0.47	0.00	0.00
54.00	2.00	1.77	1.77	0.32	0.05	0.05	2.00	2.00	1.45	0.11	0.06	0.00
55.00	1.99	1.99	1.98	0.08	0.00	0.06	2.00	1.99	1.78	0.33	0.00	0.00
56.00	1.74	1.40	1.53	0.59	0.00	0.47	2.00	1.99	1.84	1.47	0.00	0.00
57.00	2.01	2.14	1.83	0.89	0.00	0.00	1.99	2.01	1.94	1.25	0.00	0.00
58.00	2.00	1.97	1.79	0.80	0.00	0.00	2.00	2.00	1.78	1.06	0.00	0.00
59.00	2.00	1.71	0.98	0.33	0.00	0.00	2.00	1.95	1.59	1.40	0.33	0.04
60.00	2.00	1.73	1.61	0.00	0.00	0.00	2.00	1.50	1.51	0.31	0.00	0.00
61.00	1.99	1.97	1.81	0.27	0.21	0.00	2.00	1.87	1.60	0.07	0.00	0.04
62.00	2.00	1.91	1.71	0.32	0.00	0.00	2.00	1.92	0.89	0.53	0.00	0.01
63.00	1.99	1.98	1.64	0.00	0.00	0.00	1.99	1.72	1.42	1.02	0.00	0.00
64.00	1.99	1.94	1.97	0.20	0.00	0.00	2.00	1.87	1.91	1.59	0.00	0.14
65.00	2.00	2.01	1.79	1.20	0.01	0.00	2.00	1.93	1.87	0.91	0.33	0.28
66.00	1.98	2.00	1.98	1.60	0.00	0.00	2.00	2.00	1.93	0.80	0.00	0.00
67.00	2.00	1.86	1.87	1.05	0.00	0.00	2.00	1.92	1.50	0.26	0.28	0.00
68.00	2.00	2.13	1.91	0.27	0.00	0.00	2.00	2.04	1.90	0.60	0.00	0.00
69.00	1.99	2.00	1.87	1.60	0.00	0.00	1.99	2.00	1.77	0.00	0.00	0.00
70.00	1.98	1.91	1.13	0.85	0.00	0.00	2.00	1.88	1.07	0.00	0.00	0.00
71.00	1.80	1.77	1.55	0.00	0.00	0.00	2.00	1.75	0.41	0.00	0.00	0.00
72.00	1.92	1.92	2.12	0.99	0.00	0.00	2.00	1.98	1.92	0.00	0.00	0.00
73.00	1.99	1.98	1.86	1.08	0.00	0.00	2.00	1.99	1.81	0.00	0.00	0.00
74.00	1.99	1.94	1.39	0.01	0.00	0.00	2.00	1.99	1.57	0.00	0.00	0.00
75.00	1.99	1.94	1.81	0.61	0.00	0.00	1.99	1.93	1.61	0.00	0.00	0.00
76.00	1.73	1.57	1.39	0.73	0.00	0.00	2.00	1.66	1.19	0.00	0.00	0.00
77.00	1.99	2.04	2.04	0.84	0.37	0.00	2.00	1.98	0.68	0.00	0.58	0.00
78.00	2.00	1.99	1.87	2.01	0.28	0.00	2.00	2.00	0.00	0.00	0.02	0.00
79.00	2.00	1.99	1.67	1.97	0.31	0.00	2.00	1.99	0.00	0.00	0.00	0.00
80.00	2.00	2.01	1.97	1.81	0.61	0.00	2.00	1.92	0.00	0.00	0.18	0.00
81.00	1.98	1.98	1.44	1.47	0.91	0.00	1.99	1.99	0.00	0.00	0.25	0.00
82.00	2.01	2.01	1.97	1.63	0.00	0.00	2.00	2.01	0.00	0.00	0.61	0.00
83.00	2.00	1.94	1.80	1.84	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00
84.00	2.00	2.05	1.99	1.95	0.69	0.27	2.00	2.00	0.00	0.00	0.18	0.86
85.00	0.71	2.00	1.65	1.54	1.27	0.00	2.00	2.00	0.00	1.22	0.19	0.31
86.00	0.00	1.99	1.73	1.66	0.00	0.00	2.00	2.00	0.00	1.92	0.31	0.00
87.00	0.00	2.00	2.00	1.25	0.57	0.00	1.99	1.99	0.00	1.22	0.51	0.00
88.00	0.00	1.78	1.64	0.00	0.00	0.00	2.00	1.83	0.00	1.30	0.00	0.00
89.00	0.00	0.05	1.75	1.17	0.54	0.00	2.00	1.45	0.00	0.95	0.00	0.29
90.00	0.00	0.00	1.93	1.24	1.32	0.29	2.00	1.99	0.00	1.46	1.31	0.41
91.00	0.00	0.00	1.90	1.84	0.00	0.00	2.00	1.93	0.00	1.79	1.10	0.00
92.00	0.00	0.00	2.01	1.99	0.00	0.00	2.00	2.00	0.00	1.95	0.00	0.00
93.00	0.00	0.00	1.93	1.44	0.00	0.00	1.99	1.95	0.00	0.07	0.00	0.00
94.00	0.00	0.00	1.72	0.81	0.21	0.00	2.00	1.85	0.00	1.93	0.02	0.12
95.00	0.00	0.00	1.94	1.08	0.24	0.06	2.00	1.99	0.00	1.00	1.01	0.00
96.00	0.00	0.00	1.14	1.06	0.00	0.00	2.00	1.98	0.00	1.00	0.65	0.00
97.00	1.08	0.00	1.60	0.61	0.00	0.26	2.00	2.00	0.00	0.59	0.21	0.16
98.00	2.00	0.00	1.77	1.90	0.00	0.00	2.00	1.99	0.00	0.58	0.21	0.00
99.00	1.99	0.00	2.00	1.95	0.00	0.00	2.00	2.00	1.45	2.00	0.00	0.00
100.00	2.00	0.00	1.35	0.38	0.08	0.57	1.99	1.72	1.79	0.55	0.01	0.09
101.00	1.59	0.00	1.87	0.00	0.00	0.00	2.00	1.91	1.87	0.31	0.00	0.00
102.00	2.00	0.00	1.81	1.91	0.48	0.00	2.00	1.97	1.95	0.57	0.00	0.00
103.00	0.86	0.00	1.92	1.80	0.00	0.00	2.00	1.97	1.83	2.07	0.00	0.00
104.00	0.00	0.00	2.07	2.11	0.00	0.00	2.00	2.04	2.16	2.19	0.00	0.00
105.00	0.00	0.00	1.91	1.64	0.33	0.00	2.00	1.99	1.42	1.08	0.71	0.18
106.00	0.00	0.00	1.95	0.42	0.31	0.00	1.99	1.99	1.19	1.15	0.05	0.00
107.00	0.00	0.00	1.83	2.38	0.27	0.00	2.00	2.00	2.00	0.06	0.24	0.00
108.00	0.00	0.00	1.57	1.20	0.00	0.00	2.00	2.00	1.61	1.38	0.04	0.27
109.00	1.57	1.58	0.42	1.58	0.00	0.00	2.00	2.00	2.01	1.70	0.00	0.00
110.00	2.04	1.99	0.00	1.37	0.00	0.00	2.00	1.93	1.77	0.86	0.00	0.04
111.00	2.00	2.00	0.00	0.74	0.00	0.00	2.00	1.99	1.92	0.94	0.00	0.00
112.00	1.99	2.00	0.00	1.80	0.00	0.00	1.99	2.00	1.98	1.87	0.00	0.00
113.00	1.99	1.86	0.19	1.24	0.54	0.00	2.00	2.00	1.70	0.92	0.00	0.00
114.00	2.00	2.00	0.00	1.28	0.00	0.00	2.00	2.00	1.64	0.00	0.00	0.00
