Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.233s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	1.42	0.00	0.00	0.00
4.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	0.00	0.00	1.17	2.00	1.35	1.26	1.15
6.00	1.17	1.28	2.00	2.00	1.99	1.92	1.99
7.00	2.00	1.86	1.99	2.00	2.00	1.88	2.00
8.00	2.00	1.88	2.00	1.99	1.99	1.84	2.00
9.00	2.00	1.91	2.00	2.00	1.99	1.91	2.00
10.00	2.00	1.88	2.00	2.00	2.00	1.85	2.00
11.00	1.99	1.84	2.00	2.00	1.99	1.91	1.99
12.00	1.99	1.83	2.00	2.00	1.98	1.86	2.00
13.00	2.00	1.86	1.99	2.00	1.99	1.90	2.00
14.00	2.00	1.93	2.00	1.99	1.99	1.91	2.00
15.00	2.00	1.86	2.00	2.00	1.99	1.93	1.99
16.00	2.00	1.91	2.00	2.00	1.99	1.90	1.99
17.00	1.98	1.90	2.00	2.00	1.99	1.90	1.98
18.00	2.00	1.93	2.00	2.00	1.99	1.84	1.99
19.00	1.98	1.93	2.00	2.00	1.99	1.88	1.99
20.00	2.00	1.90	1.99	1.99	1.98	1.92	2.00
21.00	1.99	1.92	2.00	2.00	2.00	1.93	2.00
22.00	2.00	1.80	2.00	2.00	1.99	1.86	2.00
23.00	1.99	1.91	2.00	2.00	2.00	1.90	2.00
24.00	2.00	1.86	2.00	2.00	2.00	1.85	1.99
25.00	2.00	1.91	2.00	2.00	1.99	1.93	2.00
26.00	1.99	1.87	1.99	1.99	2.00	1.94	1.99
27.00	1.99	1.87	2.00	2.00	2.00	1.87	1.95
28.00	2.00	1.91	2.00	2.00	2.00	1.90	2.00
29.00	1.99	1.95	2.00	2.00	2.00	1.91	2.00
30.00	2.00	1.87	2.00	2.00	1.99	1.87	1.99
31.00	2.00	1.93	2.00	2.00	1.99	1.85	1.99
32.00	2.00	1.87	1.99	1.99	1.99	1.87	2.00
33.00	2.00	1.88	2.00	2.00	1.99	1.92	1.99
34.00	2.00	1.90	2.00	2.00	1.99	1.91	2.00
35.00	1.99	1.92	2.00	2.00	2.00	1.91	1.99
36.00	1.98	1.85	2.00	2.00	2.00	1.91	1.99
37.00	2.00	1.90	2.00	2.00	2.00	1.88	2.00
38.00	2.00	1.91	1.99	1.99	1.99	1.91	2.00
39.00	1.98	1.88	2.00	2.00	2.00	1.93	2.00
40.00	2.00	1.88	2.00	2.00	1.98	1.88	2.00
41.00	1.99	1.92	2.00	2.00	2.00	1.90	1.99
42.00	2.00	1.86	2.00	2.00	1.99	1.87	1.99
43.00	1.99	1.86	2.00	2.00	1.99	1.92	1.99
44.00	2.00	1.92	1.99	1.99	1.99	1.94	2.00
45.00	1.99	1.92	2.00	2.00	2.00	1.91	1.99
46.00	1.99	1.95	2.00	2.00	1.99	1.97	1.98
47.00	1.98	1.90	2.00	2.00	2.00	1.91	1.99
48.00	2.00	1.88	2.00	2.00	2.00	1.91	1.99
49.00	1.97	1.95	2.00	2.00	1.99	1.92	2.00
50.00	2.00	1.86	1.99	2.00	2.00	1.91	2.00
51.00	1.99	1.88	2.00	1.99	1.99	1.90	1.98
52.00	2.00	1.91	2.00	2.00	2.00	1.91	2.00
53.00	1.99	1.90	2.00	2.00	1.98	1.90	1.98
54.00	1.99	1.92	2.00	2.00	1.99	1.88	1.99
55.00	1.99	1.90	2.00	2.00	2.01	1.91	2.00
56.00	1.99	1.87	2.00	2.00	1.99	1.91	1.99
57.00	2.00	1.85	1.99	1.99	2.00	1.93	2.00
58.00	2.00	1.92	2.00	2.00	1.99	1.94	2.00
59.00	1.99	1.85	2.00	2.00	2.00	1.93	1.98
60.00	2.00	1.88	2.00	2.00	1.99	1.92	2.00
61.00	1.99	1.87	2.00	2.00	2.00	1.86	1.99
62.00	2.00	1.88	2.00	2.00	1.99	1.90	2.00
63.00	2.00	1.90	1.99	1.99	1.99	1.88	2.00
64.00	2.00	1.90	2.00	2.00	2.00	1.91	2.00
65.00	2.00	1.87	2.00	2.00	2.00	1.90	2.00
66.00	1.99	1.87	2.00	2.00	1.99	1.92	1.99
67.00	2.00	1.90	2.00	2.00	1.99	1.90	2.00
68.00	2.00	1.81	2.00	2.00	1.97	1.90	2.00
69.00	1.99	1.88	1.99	1.99	1.99	1.93	1.98
70.00	2.00	1.87	2.00	2.00	1.99	1.88	2.00
71.00	1.99	1.92	2.00	2.00	2.00	1.90	1.98
72.00	2.00	1.87	2.00	2.00	2.00	1.90	1.99
73.00	1.99	1.88	2.00	2.00	1.99	1.88	1.99
74.00	2.00	1.93	2.00	2.00	1.99	1.90	2.00
75.00	2.00	1.90	1.99	1.99	2.00	1.93	1.99
76.00	1.99	1.91	2.00	2.00	1.98	1.93	2.00
77.00	2.00	1.95	2.00	2.00	2.00	1.92	2.00
78.00	1.99	1.87	2.00	2.00	2.00	1.86	2.00
79.00	1.99	1.90	2.00	2.00	1.99	1.88	1.99
80.00	2.00	1.90	2.00	2.00	1.99	1.88	2.00
81.00	1.99	1.94	1.99	1.99	2.00	1.91	2.00
82.00	2.00	1.88	2.00	2.00	2.00	1.86	2.00
83.00	2.00	1.93	2.00	2.00	1.99	1.88	1.99
84.00	2.00	1.90	2.00	2.00	1.99	1.91	1.99
85.00	1.97	1.86	2.00	2.00	1.98	1.86	1.99
86.00	1.97	1.91	2.00	2.00	2.00	1.88	2.00
87.00	2.00	1.93	1.99	1.99	1.99	1.90	1.99
88.00	2.00	1.88	2.00	2.00	1.99	1.93	2.00
89.00	1.98	1.91	2.00	2.00	2.00	1.93	2.00
90.00	1.99	1.91	2.00	2.00	2.00	1.95	2.00
91.00	2.00	1.91	2.00	2.00	1.98	1.90	1.98
92.00	2.00	1.91	2.00	2.00	1.99	1.92	2.00
93.00	2.00	1.94	1.99	1.99	2.00	1.86	2.00
94.00	2.00	1.87	2.00	2.00	2.00	1.87	2.00
95.00	1.99	1.90	2.00	2.00	2.00	1.87	1.98
96.00	2.00	1.91	2.00	2.00	1.99	1.91	1.99
97.00	1.99	1.87	2.00	2.00	1.99	1.88	2.00
98.00	2.00	1.88	2.00	2.00	1.99	1.88	2.00
99.00	2.00	1.93	1.99	2.00	2.00	1.88	2.00
100.00	2.00	1.92	2.00	1.99	1.99	1.90	2.00
101.00	2.00	1.93	2.00	2.00	2.00	1.91	1.99
102.00	2.00	1.87	2.00	2.00	1.99	1.88	2.00
103.00	1.99	1.90	2.00	2.00	1.99	1.92	1.98
104.00	2.00	1.90	2.00	2.00	1.98	1.91	2.00
105.00	1.99	1.87	2.00	2.00	1.99	1.91	2.00
106.00	1.97	1.90	1.99	1.99	2.00	1.91	1.98
107.00	1.99	1.91	2.00	2.00	2.00	1.91	1.98
108.00	2.00	1.95	2.00	2.00	1.95	1.90	2.00
109.00	2.00	1.92	2.00	2.00	1.98	1.86	1.98
110.00	1.99	1.83	2.00	2.00	2.00	1.91	2.00
111.00	2.00	1.92	2.00	2.00	1.99	1.90	1.99
112.00	2.00	1.91	1.99	1.99	1.99	1.86	2.00
113.00	1.98	1.88	2.00	2.00	2.00	1.87	1.99
114.00	2.00	1.94	2.00	2.00	1.99	1.87	1.99
115.00	1.99	1.92	2.00	2.00	2.00	1.92	2.00
116.00	1.99	1.90	2.00	2.00	1.98	1.85	2.00
117.00	2.00	1.91	2.00	2.00	1.99	1.92	1.99
118.00	2.00	1.87	1.99	1.99	2.00	1.87	2.00
119.00	1.99	1.93	2.00	2.00	2.00	1.87	1.98
120.00	2.00	1.91	2.00	2.00	1.99	1.90	2.00
121.00	1.98	1.88	2.00	2.00	1.98	1.86	1.98
122.00	2.00	1.86	2.00	2.00	1.99	1.81	1.99
123.00	2.00	1.87	2.00	2.00	1.99	1.91	2.00
124.00	2.00	1.87	1.99	1.99	1.99	1.87	2.00
125.00	1.99	1.87	2.00	2.00	2.00	1.93	1.98
126.00	2.00	1.92	2.00	2.00	2.00	1.93	2.00
127.00	2.00	1.87	2.00	2.00	1.99	1.90	1.99
128.00	1.99	1.92	2.00	2.00	1.98	1.85	2.00
129.00	1.99	1.87	2.00	2.00	1.98	1.90	1.99
130.00	2.00	1.81	1.99	1.99	1.98	1.88	2.00
131.00	2.00	1.87	2.00	2.00	1.99	1.91	2.00
132.00	2.00	1.86	2.00	2.00	1.99	1.90	2.00
133.00	1.99	1.91	2.00	2.00	2.00	1.92	2.00
134.00	1.99	1.85	2.00	2.00	1.99	1.86	1.99
135.00	2.00	1.87	2.00	2.00	1.98	1.88	2.00
136.00	1.99	1.95	1.99	1.99	1.99	1.90	2.00
137.00	1.99	1.93	2.00	2.00	2.00	1.94	2.00
138.00	2.00	1.91	2.00	2.00	1.99	1.87	2.00
139.00	1.99	1.92	2.00	2.00	2.00	1.88	2.00
140.00	2.00	1.92	2.00	2.00	2.00	1.90	1.99
141.00	1.98	1.90	2.00	2.00	2.00	1.87	1.98
142.00	2.00	1.88	1.99	2.00	1.99	1.88	2.00
143.00	1.99	1.92	2.00	1.99	2.00	1.93	1.99
144.00	2.00	1.90	2.00	2.00	2.00	1.91	2.00
145.00	1.99	1.92	2.00	2.00	1.99	1.97	2.00
146.00	1.97	1.92	2.00	2.00	1.99	1.90	1.98
147.00	1.98	1.91	2.00	2.00	2.00	1.91	2.00
148.00	2.00	1.97	1.99	2.00	2.00	1.88	2.00
149.00	1.99	1.92	2.00	1.99	2.00	1.92	2.00
150.00	2.00	1.88	2.00	2.00	2.00	1.88	2.00
151.00	2.00	1.92	2.00	2.00	1.99	1.95	1.99
152.00	1.99	1.92	2.00	2.00	2.00	1.92	1.99
